FID,(atom depth)-seq,Multiplicity seq
1, C 0 O 1, 1
2, C 0 C 1, 1
3, C 0 O 1, 2
4, C 0 C 1 C 2, 1 1
5, C 0 C 1 O 2 O 2, 1 1 2
6, C 0 C 1 O 2, 1 1
7, C 0 C 1 C 1, 1 1
8, C 0 O 1 C 2, 1 1
9, C 0 N 1, 1
10, C 0 C 1, 2
11, C 0 C 1 C 2, 1 2
12, C 0 C 1 C 1 C 2 C 2, 1 1 1 1
13, C 0 C 1 C 2 C 2, 1 1 1
14, O 0 C 1 C 2, 1 1
15, C 0 C 1 O 2 O 1, 1 1 1
16, O 0 C 1 C 2 O 2, 1 1 2
17, C 0 C 1 O 2, 1 2
18, C 0 C 1 C 1 O 2 O 2, 1 1 1 2
19, C 0 C 1 C 2 C 2, 2 1 1
20, C 0 C 1 O 2 O 2 N 1, 1 1 2 1
21, C 0 O 1 O 1 C 2, 2 1 1
22, N 0 C 1, 1
23, C 0 C 1 C 2 C 2, 1 1 2
24, C 0 C 1 C 2 O 2, 1 1 2
25, C 0 N 1 C 2 O 1, 1 1 2
26, C 0 C 1 C 2 C 2 C 2, 1 1 1 1
27, C 0 N 1 C 2, 1 1
28, C 0 C 1 C 1 C 1 O 2, 1 1 1 1
29, C 0 C 1 C 2, 2 1
30, C 0 C 1 C 2 O 1, 1 2 2
31, C 0 C 1 O 1, 1 2
32, N 0 C 1 N 2 N 2, 2 1 1
33, C 0 N 1 C 2 C 2, 1 1 1
34, C 0 C 1 C 2 O 1, 1 1 2
35, C 0 C 1 N 2, 1 1
36, C 0 C 1 O 1, 1 1
37, C 0 C 1 C 2 O 2, 1 1 1
38, C 0 C 1 N 2, 1 3
39, O 0 C 1 C 2 C 2, 1 1 1
40, C 0 C 1 C 1 C 1, 1 1 1
41, C 0 C 1 O 2 O 2 O 1, 1 1 2 1
42, C 0 N 1 C 2 C 2 O 1, 1 1 1 2
43, N 0 C 1 O 2, 2 2
44, C 0 C 1 O 2 O 1, 1 2 1
45, N 0 C 1 C 2 C 1 C 2, 1 1 1 1
46, C 0 C 1 C 2 C 2 O 2 C 1 C 2 O 2, 1 1 1 1 1 1 1
47, C 0 C 1 C 2 O 2 O 1 C 2, 1 1 1 1 1
48, N 0 C 1 C 2 C 2, 1 1 1
49, C 0 C 1 N 2 O 2, 1 1 2
50, C 0 C 1 C 2 C 1 O 2 O 2, 2 1 1 1 2
51, C 0 C 1 O 2 O 1, 1 1 2
52, C 0 C 1 C 2 C 1 O 2, 1 1 1 1
53, C 0 N 1 N 2 O 1, 1 1 2
54, O 0 C 1 C 2 C 2 C 2, 1 1 1 1
55, C 0 C 1 C 2 C 2 O 1, 1 1 2 2
56, C 0 C 1 C 1, 1 2
57, O 0 C 1 C 2 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 1 2
58, C 0 C 1 C 1 O 1, 1 1 1
59, O 0 O 1, 1
60, N 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
61, O 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 2
62, C 0 C 1 C 2 O 1 O 1 C 2, 1 2 2 1 1
63, C 0 N 1 O 2, 1 1
64, C 0 C 1 C 1 C 2, 2 1 2
65, C 0 C 1 C 2 C 1 O 2, 1 1 1 2
66, C 0 C 1 C 2 N 2 O 1, 1 1 1 1
67, C 0 C 1 O 2 N 1 C 2 C 2, 1 1 1 1 1
68, C 0 C 1 C 2 O 2 O 1, 1 1 1 2
69, C 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 2
70, C 0 C 1 C 2 C 2 O 2 C 1 C 2 O 2, 1 1 1 1 1 1 2
71, O 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
72, C 0 C 1 C 1 C 2 O 1, 1 1 2 1
73, C 0 N 1, 3
74, O 0 C 1 C 2 C 1 C 2, 1 1 1 1
75, C 0 C 1 C 1 C 1 C 1, 1 1 1 1
76, C 0 C 1 C 1 C 1, 1 1 2
77, C 0 C 1 C 2 C 2 C 1 O 2 O 2, 1 1 1 1 1 2
78, C 0 C 1 C 2 O 2 C 1 C 2 O 2, 1 1 2 1 1 2
79, C 0 N 1 C 2 C 2 N 1 C 2 C 2 O 1, 1 1 1 1 1 1 2
80, C 0 C 1 C 2 C 1 O 2, 2 1 1 2
81, C 0 C 1 C 2 C 1 N 2, 1 1 1 1
82, C 0 C 1 C 1 C 2, 1 1 2
83, C 0 N 1 N 2, 1 1
84, N 0 C 1 C 1, 1 1
85, C 0 C 1 C 1 C 1 O 1, 1 1 1 1
86, N 0 C 1 C 2 O 2, 1 1 2
87, C 0 C 1 C 2 C 2 C 1 O 2, 1 1 1 1 2
88, C 0 C 1 C 2 O 2 C 1 O 2, 1 1 1 1 2
89, N 0 N 1 C 2 C 2, 1 1 1
90, C 0 C 1 C 1 C 2, 1 1 1
91, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 2 1 1 1 1 2
92, O 0 C 1 C 2 C 1 C 2 O 2, 1 2 1 1 2
93, C 0 C 1 C 1 O 1 O 2, 1 1 1 1
94, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
95, C 0 C 1 C 2 C 1 C 2 C 2, 1 1 1 1 1
96, O 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
97, C 0 C 1 C 2 C 2 C 1 C 2 C 2 C 2, 1 1 2 1 1 1 1
98, C 0 O 1 O 1, 1 2
99, C 0 C 1 C 2 O 2 C 1 O 2, 1 1 1 1 1
100, C 0 C 1 C 2 C 1 O 2 O 2, 1 1 1 1 2
101, C 0 C 1 C 2 C 2 O 1 O 1 C 2, 1 1 2 2 1 1
102, C 0 C 1 O 2 C 1 O 2 C 1 O 2 C 1 O 2, 1 1 1 1 1 1 1 1
103, O 0 C 1 N 2 O 2, 1 1 2
104, C 0 N 1 O 2, 1 2
105, C 0 C 1 C 2 C 1 C 2, 1 1 1 1
106, C 0 C 1 C 2 C 2 C 1 O 2, 1 1 1 1 1
107, N 0 N 1 O 2, 1 2
108, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 1
109, N 0 C 1 C 2 C 1 C 2 C 1 C 2, 1 1 1 1 1 1
