CID,a
1014,-1.9
1060,-3.1
1107,-3.62
1115,-2.88
330,2.4
1,-0.96
2,-0.92
3,-0.9
4,-0.83
5,-0.82
6,-0.79
7,-0.78
8,-0.77
9,-0.77
10,-0.77
11,-0.75
12,-0.75
13,-0.74
14,-0.73
15,-0.73
16,-0.7
17,-0.68
18,-0.67
19,-0.66
20,-0.64
21,-0.6
22,-0.57
23,-0.55
24,-0.52
25,-0.51
26,-0.5
27,-0.5
28,-0.39
29,-0.48
30,-0.47
31,-0.46
32,-0.43
33,-0.43
34,-2.92
35,-0.43
36,-0.43
37,-0.41
38,-0.41
39,-0.4
40,-0.39
41,-0.36
42,-0.34
43,-0.34
44,-0.32
45,-0.32
46,-0.31
47,-0.28
48,-0.26
49,-0.24
50,-0.23
51,-0.21
52,-0.2
53,-0.2
54,-0.2
55,-0.19
56,-0.17
57,-0.16
58,-0.13
59,-0.12
60,-0.08
61,-0.06
62,-2.75
63,-0.07
64,-0.05
65,-0.04
66,-0.03
67,-0.02
68,0.008
69,0.02
70,0.02
71,0.03
72,0.04
73,0.05
74,0.05
75,0.05
76,0.05
77,0.05
78,0.19
79,0.11
80,0.12
81,0.16
82,0.16
83,0.18
84,0.2
85,0.2
86,0.2
87,0.21
88,0.22
89,0.25
90,0.254
91,-2.59
92,0.3
93,0.3
94,0.3
95,0.31
96,0.31
97,0.31
98,0.32
99,0.37
100,0.39399999999999996
1000,-0.29
1001,-0.05
1002,-0.72
1003,-0.39
1004,-0.1
1005,-0.51
1006,0.12
1007,0.39
1008,-0.87
1009,0.63
101,0.4
1010,-0.35
1011,-0.67
1012,-0.85
1013,0.45
1015,1.54
1016,-0.44
1017,2.22
1018,-2.56
1019,0.4
102,0.4
1020,1.3
1021,1.4
1022,0.86
1023,-1.31
1024,1.92
1025,-0.6
1026,0.45
1027,2.61
1028,0.41
1029,2.1
103,0.4
1030,1.09
1031,-2.0
1032,-0.53
1033,-0.29
1034,2.44
1035,3.71
1036,3.5
1037,-0.6
1038,-2.38
1039,1.44
104,0.4
1040,2.89
1041,2.34
1042,-1.19
1043,2.91
1044,3.45
1045,-1.95
1046,1.07
1047,3.13
1048,0.12
1049,-1.0
105,0.42
1050,2.45
1051,2.39
1052,-1.0
1053,0.65
1054,3.01
1055,-1.77
1056,0.98
1057,2.1
1058,-0.98
1059,-0.34
106,0.47
1061,1.41
1062,2.56
1063,0.37
1064,-0.5
1065,0.78
1066,-1.85
1067,-0.87
1068,2.38
1069,2.13
107,0.49
1070,2.06
1071,-0.77
1072,-0.07
1073,2.41
1074,-0.51
1075,-0.3
1076,2.49
1077,0.68
1078,2.7
1079,-0.56
108,0.5
1080,-0.4
1081,-0.11
1082,3.53
1083,-0.5
1084,-1.25
1085,1.83
1086,4.2
1087,1.9
1088,1.51
1089,3.5
109,0.5
1090,-0.36
1091,-0.06
1092,1.58
1093,1.08
1094,0.91
1095,1.14
1096,0.25
1097,0.41
1098,1.54
1099,0.68
110,0.5
1100,0.34
1101,-0.23
1102,-0.11
1103,1.14
1104,0.78
1105,1.17
1106,2.8
1108,0.33
1109,-1.12
111,0.5
1110,0.08
1111,3.42
1112,4.15
1113,-0.54
1114,3.31
1116,-0.72
1117,-3.34
1118,-0.58
1119,1.81
112,0.5
1120,3.48
1121,-0.9
1122,0.3
1123,-2.0
1124,0.1
1125,1.4
1126,1.0
1127,1.14
1128,1.415
1129,1.67
113,0.5
1130,1.53
114,0.5
115,-2.73
116,0.55
117,0.57
118,0.6
119,0.6
120,0.6
121,0.6
122,0.6
123,0.61
124,0.64
125,0.65
126,0.69
127,0.693
128,0.7
129,0.7
130,0.7
131,0.72
132,0.72
133,0.73
134,0.73
135,0.75
136,0.79
137,0.8
138,0.8
139,0.83
140,0.85
141,0.86
142,0.86
143,0.88
144,0.89
145,0.89
146,0.9
147,0.9
148,0.96
149,0.98
150,1.0
151,1.0
152,1.01
153,1.04
154,1.06
155,1.09
156,1.09
157,1.09
158,1.1
159,-2.12
160,1.1
161,1.1
162,1.1
163,1.1
164,1.1
165,1.1
166,1.1
167,1.12
168,1.14
169,1.14
170,1.15
171,1.17
172,1.18
173,1.2
174,1.2
175,1.2
176,1.2
177,1.2
178,1.21
179,1.22
180,1.22
181,1.24
182,1.25
183,1.26
184,-1.99
185,1.27
186,1.3
187,1.3
188,1.3
189,1.3
190,1.3
191,1.3
192,1.3
193,1.3
194,1.31
195,1.31
196,1.36
197,1.37
198,1.38
199,1.4
200,1.4
201,1.4
202,1.45
203,1.4
204,1.41
205,1.42
206,1.44
207,1.45
208,1.47
209,1.47
210,1.47
211,1.49
212,1.5
213,1.5
214,1.52
215,-1.71
216,1.54
217,1.55
218,1.67
219,1.58
220,1.59
221,1.6
222,1.6
223,1.6
224,1.6
225,1.6
226,1.6
227,1.61
228,1.61
229,1.63
230,1.63
231,1.64
232,1.64
233,1.64
234,1.66
235,1.68
236,1.69
237,1.7
238,1.7
239,1.7
240,1.7
241,-1.7
242,1.7
243,1.7
244,1.7
245,1.73
246,1.76
247,1.76
248,1.76
249,1.78
250,1.79
251,1.79
252,1.8
253,1.8
254,-1.6
255,1.8
256,1.8
257,1.85
258,1.87
259,1.88
260,1.89
261,1.9
262,1.9
263,1.9
264,1.92
265,1.93
266,1.94
267,1.94
268,1.94
269,1.95
270,1.99
271,2.0
272,2.0
273,2.0
274,2.0
275,2.01
276,2.02
277,2.03
278,2.06
279,2.14
280,2.07
281,2.09
282,-1.55
283,2.1
284,2.1
285,2.1
286,2.1
287,2.1
288,2.1
289,2.1
290,2.1
291,2.13
292,2.16
293,2.17
294,2.17
295,2.18
296,2.18
297,2.2
298,2.21
299,-1.51
300,2.22
301,2.23
302,2.24
303,2.27
304,2.27
305,2.27
306,2.28
307,2.3
308,2.3
309,2.3
310,2.3
311,2.3
312,2.3
313,2.3
314,2.3
315,2.3
316,2.31
317,2.31
318,2.31
319,2.32
320,2.34
321,2.35
322,2.35
323,2.48
324,2.38
325,2.38
326,2.4
327,2.4
328,2.4
329,2.4
331,2.4
332,2.4
333,2.4
334,2.4
335,2.41
336,2.41
337,2.41
338,2.42
339,2.42
340,2.45
341,2.48
342,2.49
343,2.49
344,-1.38
345,2.5
346,2.5
347,2.5
348,2.5
349,2.51
350,2.53
351,2.59
352,-1.38
353,2.55
354,2.58
355,2.59
356,2.59
357,2.6
358,2.6
359,2.6
360,2.6
361,2.6
362,2.6
363,2.6
364,2.6
365,2.61
366,2.61
367,2.61
368,2.83
369,2.63
370,2.64
371,2.64
372,2.65
373,2.66
374,2.66
375,2.66
376,2.7
377,2.7
378,2.7
379,-1.33
380,2.7
381,2.7
382,2.71
383,2.71
384,2.73
385,2.74
386,2.75
387,-1.32
388,2.76
389,2.77
390,2.77
391,2.78
392,2.8
393,2.8
394,2.8
395,2.8
396,2.8
397,2.8
398,2.8
399,2.81
400,2.81
401,2.83
402,2.84
403,2.85
404,2.87
405,2.87
406,2.9
407,2.9
408,2.9
409,2.9
410,2.9
411,2.9
412,2.91
413,2.92
414,2.93
415,2.93
416,2.94
417,2.96
418,2.97
419,2.97
420,2.97
421,2.99
422,-1.18
423,3.0
424,3.0
425,-1.17
426,3.0
427,3.02
428,3.02
429,3.02
430,3.08
431,3.1
432,3.1
433,3.1
434,3.1
435,3.11
436,3.13
437,3.14
438,3.2
439,3.2
440,3.2
441,3.2
442,3.2
443,3.34
444,3.28
445,3.26
446,3.29
447,3.29
448,3.3
449,3.3
450,3.35
451,4.76
452,3.4
453,3.4
454,3.4
455,3.4
456,3.44
457,3.47
458,3.48
459,3.48
460,3.5
461,3.5
462,3.5
463,3.5
464,3.5
465,2.47
466,3.54
467,5.77
468,3.6
469,3.6
470,3.6
471,3.6
472,3.61
473,5.39
474,3.65
475,3.7
476,3.7
477,3.7
478,-1.15
479,3.7
480,3.7
481,3.7
482,3.7
483,3.71
484,3.74
485,3.77
486,3.8
487,3.8
488,-1.13
489,3.8
490,3.81
491,3.81
492,3.84
493,3.9
494,3.9
495,4.0
496,4.0
497,-1.12
498,4.0
499,4.02
500,4.02
501,4.03
502,4.04
503,4.09
504,4.12
505,4.22
506,6.03
507,4.25
508,6.16
509,4.3
510,4.3
511,-1.11
512,4.3
513,4.3
514,4.38
515,4.38
516,4.42
517,4.44
518,4.5
519,-1.1
520,4.52
521,6.66
522,4.6
523,4.65
524,4.7
525,4.7
526,-1.1
527,4.8
528,4.84
529,4.85
530,-1.08
531,5.07
532,5.1
533,5.2
534,5.34
535,5.61
536,-1.05
537,-1.0
538,-0.97
539,-0.97
540,-0.94
541,0.21
542,3.39
543,3.46
544,3.52
545,3.65
546,3.94
547,4.1
548,6.07
549,0.3
550,0.36
551,0.51
552,1.58
553,-0.44
554,2.1
555,6.1
556,4.77
557,0.72
558,-0.07
559,1.14
560,1.41
561,1.11
562,0.79
563,3.06
564,1.05
565,1.83
566,5.07
567,1.34
568,0.81
569,4.01
570,2.91
571,2.18
572,2.98
573,1.55
574,0.91
575,2.77
576,1.71
577,4.4
578,2.72
579,-0.02
580,0.47
581,3.37
582,2.1
583,3.17
584,-0.52
585,2.3
586,0.29
587,-0.61
588,1.53
589,2.3
590,1.81
591,1.26
592,2.03
593,2.3
594,3.29
595,2.29
596,-0.27
597,3.34
598,-0.09
599,0.57
600,5.4
601,1.21
602,0.43
603,3.61
604,0.63
605,0.74
606,2.5
607,0.09
608,0.7
609,2.63
610,1.8
611,2.2
612,2.4
613,2.4
614,2.5
615,2.5
616,2.6
617,2.6
618,2.8
619,2.9
620,2.9
621,2.9
622,2.9
623,3.0
624,3.0
625,3.0
626,3.0
627,3.0
628,3.1
629,3.1
630,3.1
631,3.2
632,3.4
633,3.4
634,3.4
635,3.7
636,4.2
637,1.68
638,2.73
639,2.92
640,1.37
641,2.06
642,1.34
643,2.51
644,0.88
645,3.26
646,2.86
647,1.56
648,3.44
649,1.17
650,1.55
651,1.37
652,0.9
653,2.67
654,1.91
655,1.5
656,3.29
657,2.32
658,1.75
659,2.54
660,1.52
661,1.13
662,0.95
663,3.36
664,3.52
665,2.8
666,3.61
667,2.1
668,2.88
669,3.62
670,3.13
671,1.91
672,2.34
673,1.1
674,1.22
675,1.11
676,1.46
677,1.83
678,1.15
679,2.35
680,2.22
681,1.63
682,1.24
683,1.44
684,1.98
685,1.56
686,1.34
687,2.86
688,2.0
689,1.77
690,1.69
691,1.57
692,2.84
693,2.68
694,2.32
695,2.44
696,2.41
697,2.74
698,2.62
699,2.59
700,2.59
701,1.81
702,1.92
