CID,a
3,-2.06
13,-2.68
15,-7.96
16,-1.41
17,-0.47
20,-2.94
23,-4.11
26,-1.81
30,-3.17
32,-4.755
34,-1.64
36,-0.85
40,-4.81
42,-0.15
45,-0.63
46,-1.55
51,-3.66
57,-5.05
60,-0.19
62,-0.82
69,-2.68
75,-2.25
76,-1.92
79,-1.73
81,-1.995
83,0.32
86,-3.67
88,-0.8
94,-1.34
1001,0.15
1004,-2.18
1006,-2.54
1007,-0.28
1008,0.15
1010,-0.8
1012,-5.16
1013,-1.68
1021,-0.22
1030,-0.85
1036,-1.3
104,-0.63
1048,-1.44
1052,-1.47
1056,-2.11
1057,-4.2860000000000005
106,0.58
1061,-3.9
1063,-3.63
1064,-4.23
1065,1.1440000000000001
1067,-0.01
1069,-2.57
1072,-2.6
1074,0.1
1076,-2.34
1077,-1.4
1078,-1.89
1081,-2.74
1082,0.32
1083,0.94
1088,-3.39
1089,-1.06
109,-2.55
1092,-2.54
1093,-1.62
1098,-8.172
1100,-1.17
1102,-1.3
1104,-0.8
1106,-0.4
1109,-1.08
1113,-2.09
1119,-1.21
1120,-4.36
1124,-1.71
1125,0.106
1126,-3.091
1127,-3.18
113,-3.18
121,-3.03
122,-4.8
125,-5.51
126,-0.6
130,-4.43
134,-0.82
141,-2.54
143,-1.96
147,1.57
149,0.52
153,-1.24
154,-2.73
155,-1.87
156,-0.72
158,-0.02
163,-1.3
166,-2.46
169,-0.22
172,-1.807
174,-1.0
179,-2.58
181,-3.68
184,-0.092
191,-3.8
194,-1.96
197,-2.36
198,-4.24
200,-1.1
202,1.34
203,-0.41
205,-3.408
206,0.57
210,-1.47
211,-0.04
212,-4.36
215,-3.8960000000000004
228,-2.03
229,-1.99
234,0.06
238,-1.3
239,-0.72
243,-2.168
245,-3.3
252,-0.45
254,0.85
256,-1.22
268,-2.37
270,-0.74
277,1.09
278,-0.6
279,-1.48
285,-4.0
288,-1.74
293,0.523
297,-3.12
300,-8.334
302,-1.29
308,-2.31
315,-0.24
317,-7.0
328,-1.04
329,-1.75
333,-0.49
336,-4.26
348,-4.1
350,-0.66
351,0.43
353,-1.9
355,-3.37
357,0.32
360,-1.87
368,-0.14
378,-1.92
381,-2.35
385,-4.44
389,-0.8
394,-2.74
396,-0.83
404,-0.89
431,-4.86
436,-2.39
437,-1.34
438,-1.06
439,-2.51
440,-1.32
445,-5.05
447,-0.36
455,-0.89
461,-0.6
464,-0.29
471,-0.18
473,-4.69
475,-2.43
476,-1.6
478,-3.81
479,-3.74
485,-1.91
486,-0.22
491,-1.59
492,-4.74
495,-1.94
506,-0.85
507,-1.24
509,-1.6
517,0.26
520,-2.18
521,0.0
525,-0.51
527,-2.33
529,-2.4
539,-2.29
541,0.62
543,-0.29
549,-4.92
551,-0.71
554,-2.96
565,-3.39
566,-2.42
567,-0.77
570,-3.73
575,-3.53
576,-1.37
578,-1.54
582,-0.79
599,-2.73
601,-1.36
606,1.58
609,-0.62
610,-1.36
614,-3.01
615,-1.17
618,-3.68
619,-2.22
621,-2.03
629,-1.46
631,-1.34
636,-1.28
639,-1.09
640,-1.99
642,-2.73
652,-0.43
654,-0.42
664,-1.62
667,-3.65
668,-1.94
671,-3.04
672,0.28
680,1.12
685,-0.99
688,1.11
690,-0.4
691,-0.5
699,-2.24
701,-5.54
706,-1.52
713,-0.39
714,-0.55
721,-1.75
723,-3.14
735,-5.88
744,-5.08
748,-0.7
752,-4.53
758,-1.45
759,0.54
760,-5.14
763,-2.56
767,-0.98
768,-5.24
771,0.58
774,-1.17
778,-2.13
782,-1.52
783,-1.62
784,-5.84
786,0.96
787,-1.64
789,-8.4
794,-1.52
797,0.43
801,-0.62
803,0.7
805,0.6509999999999999
807,-4.28
812,-3.01
816,-2.0
818,-4.69
819,-2.58
821,-3.08
822,-3.82
827,-2.0
832,-0.09
841,0.48
843,0.47
849,-0.83
857,-1.01
860,-3.84
870,-2.28
874,-0.92
881,-3.55
883,-2.09
893,-1.98
896,-1.11
897,-1.08
903,-5.19
904,-0.66
910,-0.31
911,-2.0
915,-2.74
920,0.46
922,-0.59
924,-1.85
925,-4.8
927,-0.49
930,-1.72
935,-0.9
938,-0.67
941,0.26
942,-4.88
943,-2.68
946,-3.23
949,-2.58
954,0.29
957,-2.5180000000000002
959,-1.6
960,-2.46
961,-4.23
970,-6.35
973,-2.09
975,-0.12
976,-8.4
979,-2.05
980,-3.38
984,1.1
990,-5.06
993,-0.24
995,-1.14
999,0.15
1,-0.77
2,-3.3
4,-7.87
5,-1.33
6,-1.5
7,-7.32
8,-5.03
9,-6.29
10,-4.42
11,1.07
12,-4.14
14,-2.64
18,-1.0
19,-3.64
21,-7.43
22,-4.593999999999999
24,-2.35
25,-5.47
27,-1.39
28,-1.661
29,-6.9
31,-3.75
33,-4.805
35,-5.22
37,-3.5039999999999996
38,-3.927
39,-4.15
41,-4.88
43,-1.655
44,-2.53
47,-3.083
48,-3.127
49,-4.76
50,-1.94
52,-2.17
53,-8.057
54,-2.523
55,-8.6
56,-0.62
58,-4.14
59,-6.57
61,-9.15
63,-3.68
64,-0.8
65,-2.81
66,-5.931
67,-4.06
68,-0.667
70,-5.27
71,-3.38
72,-5.46
73,-1.96
74,-2.369
77,-5.886
78,-6.01
80,-3.4930000000000003
82,-0.466
84,-2.77
85,-3.28
87,-6.876
89,-2.35
90,-5.36
91,-3.48
92,-3.46
93,-6.0
95,-4.29
96,-4.07
97,-5.64
98,-7.25
99,-1.6
100,-3.27
1000,-0.73
1002,-1.92
1003,-5.19
1005,-7.8
1009,-5.6129999999999995
101,-3.45
1011,-3.239
1014,-2.863
1015,-3.22
1016,-6.68
1017,-2.46
1018,-6.09
1019,-5.03
102,-5.43
1020,-7.2
1022,-4.89
1023,-4.45
1024,-3.77
1025,-1.79
1026,0.79
1027,0.35
1028,-0.17
1029,-2.1109999999999998
103,0.39
1031,-5.41
1032,-3.5
1033,-2.34
1034,-5.16
1035,-4.7989999999999995
1037,-2.593
1038,-2.943
1039,-0.8759999999999999
1040,-4.173
1041,-1.38
1042,-3.96
1043,-8.56
1044,0.61
1045,-2.12
1046,-2.5810000000000004
1047,-6.86
1049,-0.96
105,-4.17
1050,-3.19
1051,-0.742
1053,-4.553999999999999
1054,-1.34
1055,-5.85
1058,-2.21
1059,-3.76
1060,-3.18
1062,-3.2460000000000004
1066,-3.15
1068,-4.9
107,-1.74
1070,-1.96
1071,-4.099
1073,-2.35
1075,-4.12
1079,-3.37
108,-1.506
1080,-3.37
1084,-4.59
1085,-4.8
1086,-3.35
1087,-3.59
1090,-3.24
1091,-3.46
1094,-2.9819999999999998
1095,-4.24
1096,-3.62
1097,-3.12
1099,-2.92
110,-1.23
1101,1.02
1103,-3.3
1105,-3.928
1107,-3.61
1108,-2.461
111,-3.61
1110,-3.9530000000000003
1111,-4.632
1112,-5.19
1114,-2.281
1115,-4.06
1116,-0.4
1117,-6.237
1118,-3.451
112,-4.7
1121,-7.66
1122,-2.38
1123,-2.44
1128,-4.522
114,0.0
115,-5.17
116,-2.523
117,-1.45
118,-4.4319999999999995
119,-5.21
120,-4.54
123,-5.65
124,-1.01
127,-2.24
128,-7.337000000000001
129,0.76
131,0.36
132,-3.43
133,-2.09
135,-4.26
136,-3.04
137,-2.41
138,-1.886
139,-3.55
140,-4.35
142,0.45
144,-1.92
145,-2.82
146,-1.9469999999999998
148,-2.468
150,-1.077
151,-1.95
152,0.81
157,-1.99
159,-6.62
160,-3.08
161,-2.253
162,-6.01
164,-3.082
165,-3.043
167,-5.28
168,-6.523
170,-6.124
171,-4.57
173,-4.65
175,-1.13
176,-6.301
177,-1.06
178,-2.39
180,-2.3369999999999997
182,-8.6
183,-2.925
185,-5.752000000000001
186,-5.66
187,1.1
188,-4.63
189,-7.32
190,-0.72
192,-1.601
193,-2.05
195,-2.28
196,-5.696000000000001
199,-3.52
201,-3.094
204,-4.862
207,-2.296
208,-2.16
209,-1.8
213,-4.0
214,-1.64
216,-6.56
217,0.38
218,-2.06
219,-5.736000000000001
220,-3.571
221,-8.804
222,-2.82
223,-4.4
224,-2.34
225,-1.139
226,-3.19
227,-3.658
230,-4.57
231,-0.44
232,-1.16
233,-4.16
235,-4.62
236,-3.85
237,-1.77
240,-0.7
241,-0.6
242,-0.85
244,-4.046
246,-3.785
247,-2.616
248,-3.59
249,-4.09
250,0.62
251,-2.62
253,-2.23
255,-5.35
257,-3.6
258,-1.7
259,-4.0969999999999995
260,-7.02
261,-6.34
262,-6.89
263,-7.28
264,-4.678
265,-2.89
266,-3.37
267,-4.13
269,-6.98
271,-3.4
272,-2.78
273,-8.402000000000001
274,-2.016
275,-4.04
276,-4.55
280,-2.09
281,-1.82
282,-2.33
283,-2.766
284,-3.21
286,-2.4
287,-4.62
289,-5.153
290,-5.84
291,-4.4
292,-4.02
294,-5.282
295,-4.5760000000000005
296,-2.41
298,-9.16
299,-0.41
301,-3.324
303,-1.34
304,-6.49
305,-4.64
306,-4.194
307,-4.0
309,-3.2
310,-1.29
311,-3.9989999999999997
312,-2.17
313,-4.47
314,-2.68
316,-3.13
318,-1.4880000000000002
319,-2.12
320,-7.21
321,-2.596
322,-8.23
323,-3.15
324,-2.322
325,-6.29
326,-3.536
327,-1.716
330,-3.22
331,-4.2
332,-3.51
334,-3.76
335,-1.37
337,-4.6
338,-3.42
339,-3.43
340,-3.67
341,-3.11
342,0.74
343,-0.68
344,-3.5860000000000003
345,-6.005
346,-3.39
347,-2.696
349,-1.6
352,-3.77
354,-4.43
356,-2.39
358,-3.924
359,-6.57
361,-4.328
362,-1.78
363,-3.26
364,-2.59
365,-3.09
366,1.1
367,-2.92
369,-2.55
370,-4.77
371,-1.8769999999999998
372,-1.8
373,-3.01
374,-3.78
375,-0.985
376,-4.19
377,-1.3
379,-3.0
380,-2.404
382,-1.84
383,-5.47
384,-2.478
386,-1.21
387,-0.36
388,-1.8030000000000002
390,-4.73
391,-6.96
392,-3.2
393,-2.36
395,-3.35
397,-3.33
398,-6.39
399,-4.873
400,-2.54
401,-3.14
402,-3.81
403,-4.28
405,-2.23
406,-4.63
407,-0.95
408,-3.483
409,-3.592
410,-0.88
411,-2.154
412,-3.36
413,-2.36
414,-0.74
415,-6.307
416,0.49
417,-1.96
418,-7.28
419,-3.81
420,-3.0
421,-4.42
422,-4.4110000000000005
423,-5.4
424,-4.5
425,-3.952
426,-2.356
427,-2.08
428,-1.77
429,-3.083
430,-5.2589999999999995
432,-3.1
433,-7.278
434,-2.86
435,-5.24
441,-2.37
442,-0.244
443,-2.86
444,-2.38
446,-4.56
448,-4.64
449,-1.6
450,-4.571000000000001
451,-7.2
452,-5.184
453,-3.93
454,-4.749
456,-4.74
457,-4.735
458,-1.25
459,-8.017000000000001
460,-1.16
462,-3.03
463,-2.0
465,-4.15
466,-2.322
467,-3.54
468,-0.78
469,-2.8
470,-1.29
472,-2.55
474,-4.31
477,-1.95
480,-7.321000000000001
481,-2.73
482,-2.19
483,-8.003
484,0.522
487,-5.233
488,-0.4
489,-2.84
490,-1.09
493,-2.89
494,-3.7960000000000003
496,-1.989
497,-4.22
498,-8.49
499,-5.666
500,-4.63
501,-6.34
502,-4.07
503,-2.82
504,-3.48
505,-2.56
508,-1.11
510,-3.27
511,-4.47
512,-1.9809999999999999
513,-2.42
514,-1.11
515,-1.57
516,-2.15
518,-4.7
519,-3.59
522,-4.11
523,-4.48
524,-0.1
526,-1.63
528,-1.19
530,-4.71
531,-3.6719999999999997
532,-5.0
533,-3.85
534,-1.99
535,-1.827
536,0.11
537,-3.09
538,-0.85
540,-3.04
542,-3.8169999999999997
544,-2.85
545,-1.19
546,-2.77
547,-0.624
548,-6.57
550,-4.0
552,-0.12
553,-5.507000000000001
555,-4.4
556,-4.081
557,-2.51
558,-6.144
559,-4.38
560,-7.8
561,-8.01
562,-3.8930000000000002
563,-1.93
564,-1.66
568,-5.56
569,-2.7
571,-3.028
572,-2.39
573,-1.52
574,-2.78
577,-3.18
579,-3.48
580,-7.11
581,-0.96
583,-3.8
584,-5.8389999999999995
585,-4.29
586,-1.4580000000000002
587,-7.92
588,-4.21
589,-3.685
590,-2.7
591,-1.55
592,-6.291
593,-4.16
594,-4.907
595,-2.64
596,-2.21
597,-2.92
598,-2.93
600,1.02
602,-3.05
603,-3.18
604,-11.6
605,-3.6639999999999997
607,-3.7
608,-3.57
611,-3.03
612,-5.26
613,0.38
616,-3.59
617,-4.89
620,-2.19
622,-4.19
623,-4.445
624,-6.2
625,-3.955
626,-4.706
627,-0.59
628,-3.7960000000000003
630,-2.67
632,-0.41
633,-4.678999999999999
634,-2.63
635,-3.96
637,-2.084
638,-8.699
641,-5.292999999999999
643,-2.42
644,-4.37
645,-2.9
646,-5.6
647,-5.72
648,-2.436
649,-1.56
650,-1.7080000000000002
651,-6.176
653,-2.338
655,-5.82
656,-4.402
657,-4.047
658,-1.3
659,-1.24
660,-1.8
661,-2.8310000000000004
662,-7.92
663,-1.25
665,-2.67
666,-3.63
669,-7.68
670,-1.155
673,-6.51
674,-1.96
675,-4.12
676,-4.8
677,-9.017999999999999
678,-3.38
679,-1.899
681,-1.96
682,-5.67
683,-5.89
684,0.715
686,-0.8540000000000001
687,-4.55
689,-2.676
692,-1.614
693,-2.67
694,-1.85
695,-4.53
696,-3.85
697,-4.16
698,-3.11
700,-2.29
702,-2.21
703,-4.21
704,-1.22
705,-1.66
707,-0.82
708,-2.928
709,-3.1710000000000003
710,-3.66
711,-3.27
712,-4.37
715,-2.55
716,-2.35
717,-5.071000000000001
718,-5.37
719,-9.332
720,-2.266
722,-2.98
724,-4.871
725,-2.61
726,-4.38
727,-1.85
728,-0.807
729,-3.73
730,-6.47
731,-3.29
732,-3.8
733,-2.1
734,-1.99
736,-1.06
737,-6.59
738,-2.33
739,-3.0
740,-2.484
741,-3.4989999999999997
742,-1.74
743,-2.617
745,-8.176
746,-3.5380000000000003
747,-3.7539999999999996
749,-2.3
750,-2.32
751,-4.02
753,-2.22
754,-4.3
755,-3.638
756,-7.85
757,-5.27
761,-2.932
762,-2.68
764,-3.31
765,-2.21
766,-2.78
769,-6.35
770,0.07
772,-4.15
773,-2.077
775,-2.273
776,-5.915
777,-3.27
779,-3.0210000000000004
780,-2.658
781,-8.0
785,-2.64
788,-3.54
790,-1.33
791,-2.7
792,0.009000000000000001
793,-5.46
795,-1.28
796,-5.4
798,-1.85
799,-0.91
800,-5.64
802,-5.27
804,-2.452
806,0.3
808,-4.16
809,-4.6339999999999995
810,-3.68
811,-0.03
813,-4.314
814,-7.92
815,-2.32
817,-4.3
820,-8.6
823,-1.26
824,-6.08
825,-7.42
826,-2.148
828,-2.57
