CID,a
mols_001,-0.77
mols_002,-3.3
mols_004,-7.87
mols_005,-1.33
mols_006,-1.5
mols_007,-7.32
mols_008,-5.03
mols_009,-6.29
mols_010,-4.42
mols_011,1.07
mols_012,-4.14
mols_014,-2.64
mols_018,-1.0
mols_019,-3.64
mols_021,-7.43
mols_022,-4.593999999999999
mols_024,-2.35
mols_025,-5.47
mols_027,-1.39
mols_028,-1.661
mols_029,-6.9
mols_031,-3.75
mols_033,-4.805
mols_035,-5.22
mols_037,-3.5039999999999996
mols_038,-3.927
mols_039,-4.15
mols_041,-4.88
mols_043,-1.655
mols_044,-2.53
mols_047,-3.083
mols_048,-3.127
mols_049,-4.76
mols_050,-1.94
mols_052,-2.17
mols_053,-8.057
mols_054,-2.523
mols_055,-8.6
mols_056,-0.62
mols_058,-4.14
mols_059,-6.57
mols_061,-9.15
mols_063,-3.68
mols_064,-0.8
mols_065,-2.81
mols_066,-5.931
mols_067,-4.06
mols_068,-0.667
mols_070,-5.27
mols_071,-3.38
mols_072,-5.46
mols_073,-1.96
mols_074,-2.369
mols_077,-5.886
mols_078,-6.01
mols_080,-3.4930000000000003
mols_082,-0.466
mols_084,-2.77
mols_085,-3.28
mols_087,-6.876
mols_089,-2.35
mols_090,-5.36
mols_091,-3.48
mols_092,-3.46
mols_093,-6.0
mols_095,-4.29
mols_096,-4.07
mols_097,-5.64
mols_098,-7.25
mols_099,-1.6
mols_100,-3.27
mols_1000,-0.73
mols_1002,-1.92
mols_1003,-5.19
mols_1005,-7.8
mols_1009,-5.6129999999999995
mols_101,-3.45
mols_1011,-3.239
mols_1014,-2.863
mols_1015,-3.22
mols_1016,-6.68
mols_1017,-2.46
mols_1018,-6.09
mols_1019,-5.03
mols_102,-5.43
mols_1020,-7.2
mols_1022,-4.89
mols_1023,-4.45
mols_1024,-3.77
mols_1025,-1.79
mols_1026,0.79
mols_1027,0.35
mols_1028,-0.17
mols_1029,-2.1109999999999998
mols_103,0.39
mols_1031,-5.41
mols_1032,-3.5
mols_1033,-2.34
mols_1034,-5.16
mols_1035,-4.7989999999999995
mols_1037,-2.593
mols_1038,-2.943
mols_1039,-0.8759999999999999
mols_1040,-4.173
mols_1041,-1.38
mols_1042,-3.96
mols_1043,-8.56
mols_1044,0.61
mols_1045,-2.12
mols_1046,-2.5810000000000004
mols_1047,-6.86
mols_1049,-0.96
mols_105,-4.17
mols_1050,-3.19
mols_1051,-0.742
mols_1053,-4.553999999999999
mols_1054,-1.34
mols_1055,-5.85
mols_1058,-2.21
mols_1059,-3.76
mols_1060,-3.18
mols_1062,-3.2460000000000004
mols_1066,-3.15
mols_1068,-4.9
mols_107,-1.74
mols_1070,-1.96
mols_1071,-4.099
mols_1073,-2.35
mols_1075,-4.12
mols_1079,-3.37
mols_108,-1.506
mols_1080,-3.37
mols_1084,-4.59
mols_1085,-4.8
mols_1086,-3.35
mols_1087,-3.59
mols_1090,-3.24
mols_1091,-3.46
mols_1094,-2.9819999999999998
mols_1095,-4.24
mols_1096,-3.62
mols_1097,-3.12
mols_1099,-2.92
mols_110,-1.23
mols_1101,1.02
mols_1103,-3.3
mols_1105,-3.928
mols_1107,-3.61
mols_1108,-2.461
mols_111,-3.61
mols_1110,-3.9530000000000003
mols_1111,-4.632
mols_1112,-5.19
mols_1114,-2.281
mols_1115,-4.06
mols_1116,-0.4
mols_1117,-6.237
mols_1118,-3.451
mols_112,-4.7
mols_1121,-7.66
mols_1122,-2.38
mols_1123,-2.44
mols_1128,-4.522
mols_114,0.0
