FID,(atom depth)-seq,Multiplicity seq
1, C 0 O 1, 2
2, C 0 C 1, 1
3, C 0 O 1, 1
4, C 0 O 1 C 2, 1 1
5, C 0 C 1 C 2, 1 1
6, N 0 C 1, 1
7, C 0 C 1 O 2 O 2, 1 1 2
8, C 0 N 1, 1
9, C 0 C 1 C 2 C 2, 1 1 1
10, C 0 N 1 C 2 C 2, 1 1 1
11, C 0 C 1 O 2, 1 1
12, C 0 N 1 O 2, 2 1
13, N 0 C 1 C 2 C 2, 1 1 1
14, C 0 C 1 N 2 O 2, 1 1 2
15, C 0 N 1, 2
16, C 0 C 1 N 2, 1 1
17, O 0 C 1 C 2, 1 1
18, C 0 C 1 C 1, 1 1
19, N 0 C 1 C 2, 1 1
20, N 0 C 1 C 2 O 2, 1 1 2
21, C 0 C 1 C 2, 1 2
22, C 0 O 1 O 1 C 2, 2 1 1
23, C 0 C 1 C 2 O 2, 1 1 2
24, C 0 N 1 C 2, 1 1
25, O 0 C 1 C 2 O 2, 1 1 2
26, C 0 C 1 C 1 O 2 O 2, 1 1 1 2
27, C 0 C 1 C 2 C 2 C 2, 1 1 1 1
28, C 0 C 1 C 2 O 2, 1 1 1
29, C 0 C 1 O 2 O 1, 1 1 2
30, C 0 C 1 O 1, 1 1
31, C 0 C 1 N 2, 1 3
32, N 0 C 1 C 2 C 1 C 2, 1 1 1 1
33, C 0 C 1 C 2, 2 1
34, C 0 N 1 C 2 C 2 O 1, 1 1 1 2
35, C 0 N 1 O 2 O 1, 1 1 2
36, C 0 C 1 C 1 C 2, 1 1 1
37, N 0 C 1 O 2, 1 2
38, N 0 C 1 N 2 N 2, 1 1 2
39, C 0 N 1 C 2 O 1, 1 1 2
40, C 0 C 1 O 1 C 2, 1 1 1
41, C 0 C 1 O 2 O 1, 1 1 1
42, C 0 C 1 N 2 O 1, 1 1 2
43, C 0 C 1 C 2 O 1, 1 1 2
44, C 0 C 1 C 2 C 2 C 2 O 1, 1 1 1 1 2
45, N 0 C 1 N 2, 1 3
46, N 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
47, C 0 N 1 N 1 O 2, 1 2 1
48, C 0 C 1 N 2 N 2, 1 1 2
49, C 0 C 1 C 2 C 2 N 2, 1 1 1 1
50, C 0 C 1 C 2 O 1, 1 1 1
51, C 0 C 1 C 2 N 2, 1 1 1
52, C 0 C 1 C 2 C 2 O 2, 1 1 1 1
53, C 0 C 1 O 2 C 1 O 2, 1 1 1 1
54, N 0 C 1 C 2 C 2 C 2, 1 1 1 1
55, N 0 C 1 N 2 O 2, 1 1 2
56, C 0 C 1 N 1 O 2, 1 2 1
57, O 0 C 1 N 2 O 2, 1 1 2
58, C 0 C 1 C 2, 1 3
59, C 0 C 1 C 2 C 1 O 2, 1 1 1 1
60, C 0 C 1 C 1 C 1 O 2, 1 1 1 1
61, C 0 C 1 N 1 C 2, 1 1 1
62, C 0 O 1 C 2 O 1 C 2, 1 1 1 1
63, C 0 C 1 O 2, 1 2
64, O 0 C 1 C 2 C 2, 1 1 1
65, O 0 C 1 C 2 C 2 C 2, 1 1 1 1
66, C 0 C 1 C 2 C 2 C 1 N 2, 1 1 1 1 3
67, C 0 C 1 C 1 O 2, 1 1 1
68, C 0 C 1 O 2 O 2 O 1, 1 1 2 2
69, C 0 C 1 C 2 O 1, 1 3 1
70, N 0 C 1 C 1 C 2, 1 1 1
71, N 0 C 1 N 2 N 2, 2 1 1
