FID,(atom depth)-seq,Multiplicity seq, Charge seq
1, C3 0,, 0
2, C2 0,, 0
3, C4 0 H1 1 H1 1, 1 1, 0 0 0
4, C4 0,, 0
5, O2 0,, 0
6, C4 0 O2 1, 2, 0 0
7, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
8, C4 0 C1 1, 1, 0 0
9, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 O2 2 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
10, C4 0 O1 1, 1, 0 0
11, N3 0,, 0
12, C2 0 C2 1 C1 2, 1 1, 0 0 0
13, C4 0 N1 1, 1, 0 0
14, O2 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
15, C4 0 C1 1 C1 1, 1 1, 0 0 0
16, O2 0 C4 1 O2 2 C4 2 H1 3 H1 3 H1 3, 1 2 1 1 1 1, 0 0 0 0 0 0 0
17, C3 0 O1 1, 1, 0 0
18, C4 0 O2 1 C1 2, 1 1, 0 0 0
19, C4 0 C4 1 H1 2 H1 2 H1 2, 1 1 1 1, 0 0 0 0 0
20, C4 0 H1 1 C4 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 2 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
21, C3 0 C1 1, 1, 0 0
22, C4 0 H1 1 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0
23, C4 0 H1 1, 1, 0 0
24, N2 0,, 0
25, C4 0 H1 1 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3, 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0
