CID,a
11,1243.9
34,1214.1
174,1189.2
176,874.2
177,1168.79
178,1184.6
180,1789
196,2800
222,382.8
240,3525.0
241,3267.6
242,3227
243,3227
261,2479.34
263,2676.6
281,282.9
284,254.6
297,890.8
300,715.9
311,1986.2
335,3696
342,3706
379,4799.9
398,1999.2
402,575.9
453,3025.5
527,1822.7
674,1768.9
679,1978.8
700,1520.9
702,1336.8
712,570.7
713,568.2
753,1661.4
757,697.23
768,642
785,2740
867,864
878,1236.4
887,726.1
931,4983.2
971,245.61
980,2870.5
985,10030.6
991,6266.5
995,7097.1
996,3053.5
999,3896.7
1017,3265.6
1031,2021.3
1032,1528.3
1049,2646.7
1057,2673
1068,1907.7
1110,1491.5
1115,5650.9
1133,1450
1140,3910.3
1146,2443.1
1480,3862.9
1486,3978.5
2345,6690
2347,10559.1
2682,9797
2879,3701
2969,6108.7
3026,8628.5
3283,2732.4
3485,2569
3776,2005.5
3893,7413.7
3931,10300
4101,4345.9
4133,3776.5
4510,1501.9
4650,2748.4
4684,2788.5
5054,2710
5143,3644.7
5251,3107
5281,11342.4
5641,1662.6
5780,3025.5
5976,1979
5988,5650.9
6061,1304.2
6108,3881
6115,3392.8
6228,1921
6276,3320.8
6278,1467.4
6319,9340
6323,787.0
6325,1411.2
6327,621.5
6329,1085.6
6332,1284.4
6335,1849.6
6341,1713.3
6342,1273.8
6348,1029.5
6351,2078.2
6354,1280.9
6360,2849.9
6361,2017.6
6363,2328.9
6365,1098.4
6366,1095.9
6367,1099
6368,1221.9
6369,692
6370,231.2
6375,709
6377,2055
6378,1755.7
6385,2995.5
6403,4159.5
6405,3304.5
6413,1614.8
6416,3483.7
6421,498.3
6492,5777.1
6511,5899.5
6527,452.8
6544,5196.7
6557,2986.4
6558,3013.5
6559,2560.65
6562,2299
6565,1811.6
6568,2668.32
6569,2444.1
6573,1751.7
6575,861.8
6581,1368.4
6584,1592.7
6586,689
6587,1362
6589,3877.86
6591,834.6
6616,6157.6
6629,4717.8
6654,5849.6
6734,6219.3
6781,5644.9
6811,3259
6854,6215.2
6944,3593.1
6946,3204.4
6947,2879.6
7005,4957.4
7042,4013
7044,6179.8
7047,4709.0
7095,624.3
7187,6495.2
7198,4921
7219,4797.4
7237,4335.7
7239,2725.4
7242,4028.84
7245,2790.0
7247,5194.8
7282,4161.3
7285,1553.6
7288,3100.2
7294,2105.0
7296,3938.1
7302,20145.1
7303,1080
7343,3355.7
7344,3189.51
7357,4557
7360,302.9
7361,2548
7362,2344.1
7367,3684
7393,5918.7
7407,4863.73
7410,4149.2
7412,3277.8
7416,2985.4
7422,49.6
7463,5865.4
7498,3591.6
7500,4389.7
7501,4395.63
7503,3708
7515,4074.9
7519,3783.12
7564,6290
7583,6139.1
7641,13304.5
7705,5872.50
7720,5290.1
7751,2058.8
7768,3609.8
7809,4331.3
7810,3754
7812,3189.2
7819,4024.5
7834,2552.7
7835,1752.3
7839,1890
7843,2637.8
7844,2719.1
7847,1625.7
7848,2833.1
7852,2365.3
7854,1910.62
7855,1761.8
7858,1853.8
7863,1320.1
7865,972.6
7867,2129.6
7868,4937.2
7870,3435.6
7892,3272
7895,3099.4
7900,2327.3
7903,2014.9
7904,1953.4
7912,4657.2
7914,4015.3
7915,2234.8
7918,1676.3
7922,1537.9
7923,1389.5
7929,4331.3
7933,2760.0
7955,1967
7958,5305.5
7959,4831.0
7961,3108.8
7962,4565.3
7964,3100
7966,3722
7967,3521.3
7991,2837.8
8003,3272
8007,3018.4
8008,2568.68
8012,3481.3
8016,2219.6
8019,1672.1
8020,1940.3
8023,2401.2
8025,1629.8
8026,1351.3
8027,2241.8
8028,2525
8030,2807
8058,4163.2
8062,2285.38
8064,2585
8067,4137.5
8071,2520.6
8078,3919.6
8079,3751.7
8082,3453.2
8102,3998
8103,3984.3
8105,3151.05
8117,2373.9
8128,4368.8
8129,4637.9
8130,4447.0
8133,3549.6
8141,6125
8142,5313.1
8158,5456.1
8174,6612.1
8193,7338
8200,4758.6
8202,11876.5
8252,1927.4
8254,1455
8285,2763.8
8343,13749.1
8370,2372
8404,5644.4
8418,7148.8
8461,3568
8471,4340.6
8489,2820
8497,3053
8561,9896.7
8640,5088.6
8821,2743.8
8846,4078.9
8857,2238.1
8858,3238.6
8881,1754.0
8892,3492.4
8900,4817.0
8902,4411.8
8909,5352.4
8914,5943.4
8946,5050
9033,1539.6
9275,10478.6
9321,622.0
9731,3266.6
9864,738.4
9868,413.4
10005,1382
10038,1025.4
10040,919.84
10041,3230
10800,3249.3
10899,2021.8
10900,1092.2
10928,1280
10961,1145.6
10977,3346.9
11005,8721.4
11006,10040.6
11185,3359.2
11487,6413.4
11583,3745.98
11641,1294.1
11772,3217.7
