CID,a
176,23.36
180,30.99
241,33.83
261,33.68
263,52.35
264,40.45
284,20.1
342,61.71
356,41.49
398,41.337920000000004
527,29.62
674,25.05
702,42.32
784,51.6
887,37.34
944,39.1
949,52.83
957,70.98
995,75.5
996,57.82
1031,47.45
1140,38.01
1146,21.66
2314,70.98396000000001
3024,36.97
3776,45.39
4685,49.0
5558,46.05
6228,47.6
6278,32.5
6323,23.26
6324,5.16
6327,18.92
6328,27.97
6329,23.37
6334,14.79
6344,28.82
6351,16.93
6354,24.75
6360,19.120880000000003
6361,26.86128
6363,28.36
6366,26.48
6368,19.08
6375,38.3
6385,29.64
6403,27.68
6428,28.04
6497,48.56005
6553,42.43
6554,34.41
6556,26.43
6557,26.39
6558,33.85
6559,36.65
6568,49.72
6569,34.79
6574,40.24
6575,34.54
6584,32.29
6587,41.6
6589,29.2
6591,45.71
7237,43.43
7240,56.75596
7250,59.66384
7282,30.275424
7288,38.52
7344,49.4
7406,45.13
7407,47.80971900000001
7416,55.01
7500,42.24
7501,43.932
7503,50.1
7515,53.1368
7519,46.84
7564,92.6
7583,66.90216000000001
7705,51.36
7762,42.68
7765,43.2
7852,31.27
7855,32.6
7865,28.35
7892,27.89
7895,38.4
7896,67.7808
7903,43.388079999999995
7909,40.61
7912,34.580760000000005
7929,42.65
7947,5193.1
7961,44.5
7962,35.36
7963,44.56
7964,40.97
7966,62.00688
7967,45.06
7970,44.44
7997,39.72
8002,36.64
8003,26.43
8007,35.72
8008,39.33
8019,45.17
8021,31.31
8027,45.14536
8054,210.32968000000002
8058,31.56
8076,48.21
8078,33.059
8079,33.47
8083,43.99560000000001
8102,45.1
8103,61.83952
8105,82.4
8129,66.81
8130,33.78
8133,56.59
8142,53.26232
8174,81.5
8182,61.52
8193,90.8
8209,98.9
8268,1.07e-06
8471,34.84
8680,47.98
8857,35.6
8900,36.57
8902,44.04
8914,76.86
9253,28.52
9321,44.7
10039,27.51
10485,31.810952
10899,28.501408
10908,39.03
11006,81.35
11535,23.426
11641,22.6
12161,62.0
12348,48.56
12375,43.2
12388,66.68
12389,71.3
12391,76.77
15600,51.42
23931,61.303968
24273,42.5
24526,17.76
24682,43.14
24816,29.7
24874,32.85
25135,23.1
25914,40.14
31272,43.86
31275,38.6
104752,0.045810000000000003
104775,40.45
16213094,151.05245000000002
