CID,n,M,C,O,N,S,Cl,Pb,Si,Br,P,H,C1O,C2O,C1C,C1N,C2C,C1S,O1N,C2N,S1S,C2S,C1Cl,C1Pb,C3N,O1O,O1Si,C1Br,C3C,O1P,N1N,#degree1,#degree2,#degree3,#degree4,#degree5,#degree6,#double_bond,#triple_bond,Diameter,Bc_121,Bc_122,Bc_123,Bc_131,Bc_132,Bc_141,Bc_221,Bc_222,Bc_223,Bc_231,Bc_232,Bc_241,Bc_331,Bc_332,Bc_341,Bc_441,C_1,C_2,C_3,C_1_1,C_1_2,C_1_3,C_2_2,C_1_1_1,C_1_1_2,C_1_1_1_1,O_1,O_2,O_1_1,N_1,N_2,N_3,N_1_1,N_1_2,N_1_1_1,S_1,S_2,S_1_1,Cl_1,Pb_1,Pb_2,Pb_1_1,Si_1,Si_2,Si_3,Si_1_1,Si_1_2,Si_1_3,Si_2_2,Si_1_1_1,Si_1_1_2,Si_1_1_1_1,Br_1,P_1,P_2,P_3,P_1_1,P_1_2,P_1_1_1,2-branch_height,2-branch_number
179,6,133.333,4,2,0,0,0,0,0,0,0,8,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0.5,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
196,10,136,6,4,0,0,0,0,0,0,0,10,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,0,0,2,0,0.7,0,0,0,2,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
261,5,128,4,1,0,0,0,0,0,0,0,8,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0.8,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,6,133.333,4,2,0,0,0,0,0,0,0,10,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0.5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
263,5,128,4,1,0,0,0,0,0,0,0,10,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,6,133.333,4,2,0,0,0,0,0,0,0,8,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0,0.666667,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,13,141.538,6,7,0,0,0,0,0,0,0,8,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,1,0,0,3,0,0.461538,0,0,0,3,3,1,0,0,0,2,0,2,0,0,1,0,0,0,0,2,0,0,0,0,3,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
356,8,120,8,0,0,0,0,0,0,0,0,18,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0.875,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
379,10,128,8,2,0,0,0,0,0,0,0,16,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,1,0,0.8,1,0,0,1,1,0,5,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
424,9,140,4,4,1,0,0,0,0,0,0,7,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,2,0,0.555556,0,0,0,3,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
453,12,140,6,6,0,0,0,0,0,0,0,14,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,0,0,0.583333,2,0,0,4,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
525,9,142.222,4,5,0,0,0,0,0,0,0,6,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,2,0,0.555556,0,0,0,3,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
611,10,138,5,4,1,0,0,0,0,0,0,9,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,2,0,0.6,0,0,0,3,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
650,6,133.333,4,2,0,0,0,0,0,0,0,6,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,0.5,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
957,9,124.444,8,1,0,0,0,0,0,0,0,18,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0.888889,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
965,20,124,18,2,0,0,0,0,0,0,0,34,1,1,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,1,0,0,0,2,0,0.9,1,0,0,1,1,0,14,1,0,1,0,0,0,0,0,0,1,0,0,14,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
988,15,134.667,9,5,1,0,0,0,0,0,0,17,3,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,1,0,0,2,0,0.6,1,0,0,2,2,2,2,0,0,2,0,1,1,0,1,0,2,0,0,3,0,0,0,1,2,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
1101,12,140,6,6,0,0,0,0,0,0,0,12,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,0,0,0,1,0,0.583333,2,0,0,3,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,0,3,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
