FID,(atom depth)-seq,Multiplicity seq, Charge seq
1, C4 0 H1 1, 1, 0 0
2, C4 0,, 0
3, C4 0 H1 1 H1 1, 1 1, 0 0 0
4, C4 0 O2 1, 2, 0 0
5, C4 0 Cl1 1, 1, 0 0
6, N3 0,, 0
7, C4 0 C4 1 H1 2 H1 2 H1 2, 1 1 1 1, 0 0 0 0 0
8, N3 0 H1 1, 1, 0 0
9, O2 0,, 0
10, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
11, C4 0 O2 1 H1 2, 1 1, 0 0 0
12, C4 0 H1 1 O2 1 H1 2, 1 1 1, 0 0 0 0
13, O2 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
14, C4 0 N3 1 O2 2 O2 2, 1 1 2, 0 1 -1 0
15, S2 0,, 0
16, C4 0 H1 1 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1, 0 0 0 0 0 0
17, C4 0 O2 1 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1, 0 0 0 0 0 0
18, C4 0 N3 1 H1 2 H1 2, 1 1 1, 0 0 0 0
19, C4 0 Br1 1, 1, 0 0
20, N3 0 C4 1 H1 2 H1 2 H1 2, 1 1 1 1, 0 0 0 0 0
21, C4 0 F1 1, 1, 0 0
22, C4 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
23, C4 0 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
24, P5 0 S2 1, 2, 0 0
25, C4 0 H1 1 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3, 1 1 1 1 2 1 1, 0 0 0 0 0 0 0 0
26, C4 0 O2 1 O2 1 C4 2 H1 3 H1 3 H1 3, 2 1 1 1 1 1, 0 0 0 0 0 0 0
27, O2 0 C4 1 O2 2 C4 2 H1 3 H1 3 H1 3, 1 2 1 1 1 1, 0 0 0 0 0 0 0
28, C4 0 O2 1 N3 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 2 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
29, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 O2 2 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
30, N3 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
31, C4 0 H1 1 C4 1 H1 2 H1 2 O2 2 H1 3, 1 1 1 1 1 1, 0 0 0 0 0 0 0
32, N3 0 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
33, C4 0 O2 1 N3 1 H1 2 C4 2 H1 3 H1 3 H1 3, 2 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
34, C4 0 H1 1 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0
35, C4 0 S6 1 O2 2 O2 2 N3 2 H1 3 H1 3, 1 2 2 1 1 1, 0 0 0 0 0 0 0
36, N3 0 H1 1 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0
37, C4 0 C4 1 F1 2 F1 2 F1 2, 1 1 1 1, 0 0 0 0 0
38, N3 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39, C4 0 O2 1 C4 1 H1 2 H1 2 O2 2 H1 3, 2 1 1 1 1 1, 0 0 0 0 0 0 0
40, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1, 0 0 0 0 0 0 0
