CID,n,rank,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_Br1,na_ex_C4,na_ex_Cl1,na_ex_F1,na_ex_N3,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_2_3,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_2_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_2_S2_2_1,C4_2_S6_4_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_4_C4_4_1,C4_4_N3_2_1,N3_2_N3_2_1,FC_1_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_2_C4_0_H1_1_/_1_/_0_0,FC_3_C4_0_/_/_0,FC_4_C4_0_O2_1_/_2_/_0_0,FC_5_N3_0_/_/_0,FC_6_N3_0_H1_1_/_1_/_0_0,FC_7_O2_0_/_/_0,FC_8_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_9_S2_0_/_/_0,FC_10_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_11_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_12_C4_0_Cl1_1_/_1_/_0_0,FC_13_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_14_C4_0_F1_1_/_1_/_0_0,FC_15_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,FC_16_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_17_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_18_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_19_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_20_C4_0_Br1_1_/_1_/_0_0,FC_21_N3_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_22_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_23_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_24_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_25_C4_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,LeafAC_Br1_C4_1,LeafAC_C4_C4_1,LeafAC_C4_N3_1,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_F1_C4_1,LeafAC_N3_C4_1,LeafAC_O2_C4_1,LeafAC_O2_C4_2,LeafAC_O2_S6_2
137628619,67,8,55,74.8,0,33,21,1,0,41,14,0,14,0,44,8,2,1,0,0,5,0,1,1,5,7,3,0,11,6,2,1,1,6,2,1,0,6,2,1,4,2,3,2,1,0,0,1,12,14,9,3,6,2,2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,2,3,0
92044400,65,8,56,82.3571,0,33,23,0,0,42,14,0,14,0,43,8,4,1,0,0,3,1,0,0,5,8,3,0,9,5,0,1,0,0,7,0,0,8,3,0,6,3,6,1,2,0,0,1,11,13,10,5,5,3,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,5,0
162661974,75,7,58,79.1045,0,36,22,0,0,46,12,0,14,0,45,8,4,1,0,0,7,0,3,0,7,6,3,0,13,5,0,3,1,1,6,1,0,7,3,0,8,2,2,2,1,0,0,0,12,13,10,5,4,4,4,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,1,5,0
137628657,66,7,53,84.9074,0,32,21,0,0,41,12,0,12,0,42,7,4,0,0,0,2,0,3,0,8,8,3,0,10,4,0,2,0,0,6,0,0,8,3,0,8,2,3,2,0,0,0,0,12,11,10,7,3,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,7,0
162644604,75,7,58,79.1045,0,36,22,0,0,46,12,0,14,0,45,8,4,1,0,0,7,0,3,0,7,6,3,0,13,5,0,3,1,1,6,1,0,7,3,0,8,2,2,2,1,0,0,0,12,13,10,5,4,4,4,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,0,1,5,0
137628637,63,7,50,83.6111,0,27,22,1,0,38,12,0,10,0,40,6,2,1,1,0,2,0,0,1,10,7,2,0,11,4,0,2,0,1,2,0,2,8,3,0,5,1,4,2,2,0,0,0,12,10,9,7,2,3,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,7,2
137628658,68,8,58,75.4839,0,36,22,0,0,44,14,0,10,0,44,10,4,0,0,0,3,0,0,0,7,11,2,0,8,3,0,3,0,5,7,0,0,7,2,0,6,3,7,1,0,0,0,0,19,9,8,6,7,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,7,0
137628618,67,8,55,74.8,0,33,21,1,0,41,14,0,14,0,44,8,2,1,0,0,5,0,1,1,5,7,3,0,11,6,2,1,1,6,2,1,0,6,2,1,4,2,3,2,1,0,0,1,12,14,9,3,6,2,2,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,1,2,3,0
124201820,69,7,55,77.6279,0,32,23,0,0,43,12,0,13,0,41,9,3,2,0,0,8,1,0,0,5,5,2,0,11,4,0,2,1,1,6,1,0,7,3,0,6,3,5,0,3,0,0,1,11,11,8,4,6,3,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,4,0
134160242,82,6,64,71.8293,0,42,22,0,0,54,10,0,10,0,48,8,6,2,0,0,10,0,0,0,8,7,2,0,14,4,0,2,2,2,12,2,0,6,2,0,8,0,4,0,2,0,0,0,18,12,6,6,4,4,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,6,0
134160243,82,6,64,71.8293,0,42,22,0,0,54,10,0,10,0,48,8,6,2,0,0,10,0,0,0,8,7,2,0,14,4,0,2,2,2,12,2,0,6,2,0,8,0,4,0,2,0,0,0,18,12,6,6,4,4,6,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,6,0
145874883,69,6,56,70.3623,0,36,20,0,0,46,10,0,8,0,46,7,2,1,0,0,5,0,0,0,8,15,2,0,10,3,0,2,1,1,4,1,0,7,2,0,7,0,5,0,1,0,0,0,20,10,6,7,3,4,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,7,0
118912822,49,7,40,87.3,0,19,21,0,0,28,12,0,11,0,31,8,0,1,0,0,3,1,0,0,5,4,2,0,7,3,0,2,0,0,0,0,0,8,3,0,5,3,6,0,2,0,0,1,5,9,8,5,5,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,5,0
135156947,65,6,52,76.5082,0,33,19,0,0,42,10,0,13,0,41,7,3,1,0,0,6,1,1,0,5,7,2,0,12,5,0,2,2,1,5,1,0,5,3,0,7,1,2,1,1,0,0,0,12,12,8,3,4,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,1,3,0
139035048,61,7,52,85.7453,0,31,21,0,0,40,12,0,11,0,45,6,0,1,0,1,0,0,0,0,8,13,4,0,10,4,0,3,0,1,0,0,0,8,3,0,5,0,5,0,2,0,0,0,14,13,9,8,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0
131986956,63,9,54,83.8491,0,31,21,2,0,40,12,2,12,1,48,6,0,0,0,0,0,2,1,0,6,11,4,1,11,5,2,1,0,1,0,0,0,8,3,3,8,0,2,0,0,1,1,0,11,16,12,6,1,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0
122201421,69,7,55,77.6279,0,32,23,0,0,43,12,0,13,0,41,9,3,2,0,0,8,1,0,0,5,5,2,0,11,4,0,2,1,1,6,1,0,7,3,0,6,3,5,0,3,0,0,1,11,11,8,4,6,3,3,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,4,0
122551841,73,7,58,74.4892,0,36,22,0,0,46,12,0,14,0,47,7,3,1,0,0,8,1,0,0,6,6,4,0,16,7,0,2,1,1,6,1,0,6,2,0,7,0,4,0,1,0,0,0,11,18,9,4,2,4,3,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,0,1,0,0,1,5,0
131801483,60,6,50,77.5,0,33,17,0,0,40,10,0,7,0,36,8,4,2,0,0,4,0,0,0,6,8,1,0,7,3,0,4,0,3,6,1,0,5,1,0,6,2,3,2,3,0,0,0,16,7,6,6,4,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,6,0
138454768,71,8,55,72.029,0,31,23,1,0,41,14,0,12,0,45,8,1,1,0,0,8,0,1,0,7,7,2,0,12,4,2,2,2,8,1,1,0,7,4,1,4,0,3,1,1,0,0,0,15,11,9,4,5,2,1,1,1,1,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,2,0,1,0,1,4,0
132427808,55,7,44,85.2609,0,22,22,0,1,30,13,0,11,0,35,8,0,1,0,0,3,1,0,0,7,7,2,0,7,3,0,2,0,0,0,0,0,9,3,0,5,3,6,0,2,0,0,1,8,9,9,5,5,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,6,0
