SLN,Smiles,logS
FC[2:s=N]CH(C[5:s=N]HC[s=N](C[s=I](OH)(C[s=I]H(OH)CH2@5)C(=O)CH2OH)(CH2C[s=I]H@2OH)CH3)CH2CH2C[42]C[s=N]@2(CH3)CH=CHC(=O)CH=@42,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F,-3.3707
OHC[3]=CHC[6]C[7:s=N](C[s=I]H(CH(N(CH2CH2@7)CH2CH=C(CH3)CH3)CH2C=@6CH=CH@3)CH3)CH3,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,-3.8032
OHC[3:s=I](C[4:s=I](CH(C[7:s=N]HC[s=N]H(C[11:s=I](C(CH2CH2@7)=CHC[21]ON=CHC=@21CH2@11)CH3)CH2CH2@4)CH2CH2@3)CH3)C#CH,C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C,-5.507
OHC[3:s=N](C[4:s=I](CH(C[7:s=N]HC[s=N]H(C[11:s=I](C(CH2CH2@7)=CHC(=O)CH2CH2@11)CH3)C[s=N]H(OH)CH2@4)CH2CH2@3)CH3)C(=O)CH2OH,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,-3.0461
FC[2]CH(C[5]HC(C(OH)(CH(CH2@5)CH3)C(=O)CH2OH)(CH2CH@2OH)CH3)CH2CH2C[44]C@2(CH3)CH=CHC(=O)CH=@44,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.7945
ClC[2]C[3]OC[5:s=N](C[s=N]H(CH2C(=O)CH=C@5OCH3)CH3)C(=O)C=@3C(OCH3)=CHC=@2OCH3,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,-4.0718
ClC[2]=CHC[5]=C(N(C(=O)CH2N=C@5C[15]=CHCH=CHCH=CH@15)CH3)CH=CH@2,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-3.6402
FC[2:s=N]CH(C[5]HC[s=N](C[s=I](OC(=O)CH2CH2CH2CH3)(C[s=I]H(CH2@5)CH3)C(=O)CH2OH)(CH2C[s=I]H@2OH)CH3)CH2CH2C[58]C[s=N]@2(CH3)CH=CHC(=O)CH=@58,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-4.9073
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NH2)=O)=O,NC(=O)COC(=O)c1ccccc1,-1.6405
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHC(CH2OH)(CH2OH)CH2OH)=O)=O,O=C(COC(=O)c1ccccc1)NC(CO)(CO)CO,-1.2675
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH3)CH3)=O)=O,CN(C)C(=O)COC(=O)c1ccccc1,-1.372
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2CH=CH2)CH2CH=CH2)=O)=O,C=CCN(CC=C)C(=O)COC(=O)c1ccccc1,-2.5625
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH3)=O)=O,CNC(=O)COC(=O)c1ccccc1,-1.7178
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2C(NH2)=O)CH3)=O)=O,CN(CC(N)=O)C(=O)COC(=O)c1ccccc1,-0.9184
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2CH2OH)CH3)=O)=O,CN(CCO)C(=O)COC(=O)c1ccccc1,-1.0897
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2CH2OCH3)CH2CH2OCH3)=O)=O,COCCN(CCOC)C(=O)COC(=O)c1ccccc1,-1.5732
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2C(OH)=O)CH3)=O)=O,CN(CC(=O)O)C(=O)COC(=O)c1ccccc1,-2.254
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(CH2C(OCH2CH3)=O)CH3)=O)=O,CCOC(=O)CN(C)C(=O)COC(=O)c1ccccc1,-1.6679
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH2CH3)=O)=O,CCNC(=O)COC(=O)c1ccccc1,-2.2373
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2@18)=O)=O,O=C(OCC(=O)N1CCC1)c1ccccc1,-1.6085
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH2@18)=O)=O,O=C(OCC(=O)N1CCCC1)c1ccccc1,-1.5685
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH2CH2@18)=O)=O,O=C(OCC(=O)N1CCCCC1)c1ccccc1,-2.5011
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2OCH2CH2@18)=O)=O,O=C(OCC(=O)N1CCOCC1)c1ccccc1,-1.7734
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH2CH@18CH2CH3)=O)=O,CCC1CCCCN1C(=O)COC(=O)c1ccccc1,-2.7239
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH(CH2CH2CH2CH@18CH3)CH3)=O)=O,CC1CCCC(C)N1C(=O)COC(=O)c1ccccc1,-3.2638
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH(CH2CH2@18)OH)=O)=O,O=C(OCC(=O)N1CCC(O)CC1)c1ccccc1,-1.3486
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH2CH2CH3)=O)=O,CCCNC(=O)COC(=O)c1ccccc1,-2.5387
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH@18C(OH)=O)=O)=O,O=C(OCC(=O)N1CCC1C(=O)O)c1ccccc1,-2.1416
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH@18C(OCH3)=O)=O)=O,COC(=O)C1CCCN1C(=O)COC(=O)c1ccccc1,-2.0841
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N[18]CH2CH2CH2CH@18C(NH2)=O)=O)=O,NC(=O)C1CCCN1C(=O)COC(=O)c1ccccc1,-2.2653
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH(CH3)CH3)=O)=O,CC(C)NC(=O)COC(=O)c1ccccc1,-2.7321
C[1]H=CHCH=CHC(=CH@1)C(OCH(C(N(CH2CH3)CH2CH3)=O)CH3)=O,CCN(CC)C(=O)C(C)OC(=O)c1ccccc1,-2.2828
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHC(CH3)=O)=O)=O,CC(=O)NC(=O)COC(=O)c1ccccc1,-2.4003
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(N(C(CH3)=O)CH3)=O)=O,CC(=O)N(C)C(=O)COC(=O)c1ccccc1,-2.8664
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH2CH2CH2CH3)=O)=O,CCCCNC(=O)COC(=O)c1ccccc1,-2.7588
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHC(CH3)(CH3)CH3)=O)=O,CC(C)(C)NC(=O)COC(=O)c1ccccc1,-2.8664
C[1]H=CHCH=CHC(=CH@1)C(OCH2C(NHCH2C(NH2)=O)=O)=O,NC(=O)CNC(=O)COC(=O)c1ccccc1,-1.4983
O=C[2]N(C(=O)NHC@2(C[9]=CHCH=CHCH=CH@9)C[20]=CHCH=CHCH=CH@20)CH2OH,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CO,-4.4685
