CID,FC_2_C4_0_/_/_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,C4_2_C4_2_1,FC_13_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_9_C4_0_Cl1_1_/_1_/_0_0,C4_2_N3_3_1,n,dg_in_4,FC_19_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_2_O2_2_1,FC_21_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0
904,0.125,0.0,0.181818,0.0,0.0,0.0,0.08,0,1,0,0
60961,0.25,0.0,0.0,0.666667,0.0,0.142857,0.44,0,0,0,0
135401907,0.25,0.0,0.0,0.0,0.0,0.0,0.08,0,0,0,0
5578,0.25,0.0,0.0,0.0,0.0,0.0,0.52,0,0,0,0
1986,0.125,0.0,0.0,0.0,0.0,0.0,0.2,0,1,0,0
243,0.0,0.0,0.181818,0.0,0.0,0.0,0.04,0,0,0,0
2083,0.125,0.0,0.0,0.333333,0.0,0.0,0.36,0,0,0,0
441074,0.375,0.0,0.0909091,0.333333,0.0,0.285714,0.64,0,0,0,0
2331,0.0,0.0,0.181818,0.0,0.0,0.0,0.04,0,0,0,1
27200,0.125,0.0,0.0909091,0.333333,0.0,0.0,0.52,0,0,0,0
2249,0.25,0.0,0.0909091,0.333333,0.0,0.0,0.44,0,0,1,0
2756,0.125,0.0,0.0909091,0.0,0.0,0.0,0.36,0,0,0,0
3120,0.125,0.0,0.0,0.0,0.666667,0.0,0.24,0,0,0,0
667467,0.625,0.0,0.363636,0.0,0.333333,0.0,0.52,0,0,0,0
446220,0.125,0.5,0.272727,0.0,0.0,0.0,0.56,0,0,0,0
156391,0.375,0.0,0.0,0.0,0.0,0.0,0.36,0,0,0,0
68617,0.375,0.0,0.272727,0.0,0.666667,0.0,0.48,0,0,0,0
597,0.0,0.0,0.0909091,0.0,0.0,0.0,0.0,0,0,0,0
2950,0.5,0.0,0.181818,0.0,0.0,0.0,0.4,0,0,0,0
222786,0.125,0.0,0.272727,0.0,0.0,0.0,0.72,0,0,0,0
3016,0.5,0.5,0.181818,0.0,0.333333,0.0,0.48,0,0,0,0
1548887,0.625,0.0,0.0909091,0.0,0.0,0.0,0.68,0,0,0,0
3647,0.25,0.0,0.0,0.0,0.0,0.0,0.48,0,0,0,0
3394,0.375,0.0,0.181818,0.0,0.0,0.0,0.4,0,0,0,0
3325,0.25,0.0,0.0909091,0.0,0.0,0.0,0.48,0,0,0,0
3371,0.25,0.0,0.272727,0.0,0.0,0.0,0.48,0,0,0,0
223368,0.375,0.0,0.272727,0.0,0.0,0.0,0.48,0,0,0,0
3639,0.25,0.0,0.0,0.0,0.333333,0.0,0.36,0,0,0,0
1983,0.125,0.0,0.0909091,0.0,0.0,0.0,0.12,0,1,0,0
3672,0.25,0.0,0.0909091,0.0,0.0,0.0,0.28,0,0,0,0
4946,0.375,0.0,0.272727,0.333333,0.0,0.0,0.44,0,0,1,0
6989,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0,0,0,0
4740,0.25,1.0,0.272727,0.0,0.0,0.285714,0.48,0,0,0,0
36679,0.125,0.0,0.0909091,0.0,0.0,0.0,0.28,0,0,0,0
135398634,0.25,0.0,0.0,0.0,0.0,0.0,0.12,0,0,0,0
5353830,0.125,0.0,0.0909091,0.0,0.0,0.142857,0.36,0,0,0,0
6047,0.125,0.0,0.0,0.0,0.0,0.0,0.24,0,0,0,0
3718,0.5,0.0,0.272727,0.0,0.0,0.142857,0.52,0,0,0,0
4168,0.125,0.0,0.0909091,0.0,0.333333,0.142857,0.48,0,0,0,0
4173,0.0,0.0,0.0,0.0,0.0,0.142857,0.16,0,0,0,0
4680,0.5,0.0,0.0,0.0,0.0,0.0,0.68,0,0,0,0
4421,0.25,0.0,0.0,0.0,0.0,0.142857,0.36,0,0,0,0
7005,0.25,0.0,0.272727,0.0,0.0,0.0,0.12,0,0,0,0
4488,0.25,0.0,0.181818,0.0,0.0,0.0,0.48,0,0,0,0
54675779,0.375,0.0,0.0909091,0.333333,0.0,0.0,1.0,0,0,0,1
9142,1.0,0.0,0.363636,0.0,0.0,0.0,0.48,0,0,0,0
4763,0.125,0.0,0.181818,0.0,0.0,0.0,0.36,0,0,0,0
1017,0.0,0.0,0.181818,0.0,0.0,0.0,0.16,0,0,0,0
1775,0.375,0.0,0.363636,0.0,0.0,0.0,0.44,1,0,0,0
4828,0.375,0.0,0.0909091,0.333333,0.0,0.0,0.4,0,0,1,0
5994,0.125,0.0,0.363636,0.0,0.0,0.0,0.6,0,0,0,0
4754,0.25,0.0,0.0909091,0.0,0.0,0.0,0.2,0,1,0,0
31423,0.75,0.0,0.181818,0.0,0.0,0.0,0.32,0,0,0,0
1046,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0,1
338,0.0,0.0,0.181818,0.0,0.0,0.0,0.08,0,0,0,0
3478,0.375,0.0,0.545455,0.0,0.0,0.0,0.92,0,0,0,0
3033,0.375,0.0,0.272727,0.0,0.666667,0.0,0.44,0,0,0,0
5329,0.25,0.0,0.0909091,0.0,0.0,0.0,0.36,0,0,0,0
5327,0.25,0.0,0.0909091,0.0,0.0,0.0,0.44,0,0,0,0
5320,0.125,0.0,0.0909091,0.0,0.0,0.0,0.24,0,1,0,0
5215,0.25,0.0,0.181818,0.0,0.0,0.0,0.36,0,0,0,0
39147,0.375,0.0,0.0909091,1.0,0.0,0.0,0.56,0,0,1,0
7950,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0,0,0,0
5426,0.25,0.0,0.272727,0.0,0.0,0.0,0.44,0,0,0,0
1135,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0,0
5324289,0.625,0.5,0.181818,0.0,0.0,0.142857,0.6,1,0,0,0
1174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
