CID,FC_2_C4_0_/_/_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,C4_2_C4_2_1,FC_13_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_9_C4_0_Cl1_1_/_1_/_0_0
904,0.125,0.0,0.181818,0.0,0.0
60961,0.25,0.0,0.0,0.666667,0.0
135401907,0.25,0.0,0.0,0.0,0.0
5578,0.25,0.0,0.0,0.0,0.0
1986,0.125,0.0,0.0,0.0,0.0
243,0.0,0.0,0.181818,0.0,0.0
2083,0.125,0.0,0.0,0.333333,0.0
441074,0.375,0.0,0.0909091,0.333333,0.0
2331,0.0,0.0,0.181818,0.0,0.0
27200,0.125,0.0,0.0909091,0.333333,0.0
2249,0.25,0.0,0.0909091,0.333333,0.0
2756,0.125,0.0,0.0909091,0.0,0.0
3120,0.125,0.0,0.0,0.0,0.666667
667467,0.625,0.0,0.363636,0.0,0.333333
446220,0.125,0.5,0.272727,0.0,0.0
156391,0.375,0.0,0.0,0.0,0.0
68617,0.375,0.0,0.272727,0.0,0.666667
597,0.0,0.0,0.0909091,0.0,0.0
2950,0.5,0.0,0.181818,0.0,0.0
222786,0.125,0.0,0.272727,0.0,0.0
3016,0.5,0.5,0.181818,0.0,0.333333
1548887,0.625,0.0,0.0909091,0.0,0.0
3647,0.25,0.0,0.0,0.0,0.0
3394,0.375,0.0,0.181818,0.0,0.0
3325,0.25,0.0,0.0909091,0.0,0.0
3371,0.25,0.0,0.272727,0.0,0.0
223368,0.375,0.0,0.272727,0.0,0.0
3639,0.25,0.0,0.0,0.0,0.333333
1983,0.125,0.0,0.0909091,0.0,0.0
3672,0.25,0.0,0.0909091,0.0,0.0
4946,0.375,0.0,0.272727,0.333333,0.0
6989,0.0,0.0,0.0,0.0,0.0
4740,0.25,1.0,0.272727,0.0,0.0
36679,0.125,0.0,0.0909091,0.0,0.0
135398634,0.25,0.0,0.0,0.0,0.0
5353830,0.125,0.0,0.0909091,0.0,0.0
6047,0.125,0.0,0.0,0.0,0.0
3718,0.5,0.0,0.272727,0.0,0.0
4168,0.125,0.0,0.0909091,0.0,0.333333
4173,0.0,0.0,0.0,0.0,0.0
4680,0.5,0.0,0.0,0.0,0.0
4421,0.25,0.0,0.0,0.0,0.0
7005,0.25,0.0,0.272727,0.0,0.0
4488,0.25,0.0,0.181818,0.0,0.0
54675779,0.375,0.0,0.0909091,0.333333,0.0
9142,1.0,0.0,0.363636,0.0,0.0
4763,0.125,0.0,0.181818,0.0,0.0
1017,0.0,0.0,0.181818,0.0,0.0
1775,0.375,0.0,0.363636,0.0,0.0
4828,0.375,0.0,0.0909091,0.333333,0.0
5994,0.125,0.0,0.363636,0.0,0.0
4754,0.25,0.0,0.0909091,0.0,0.0
31423,0.75,0.0,0.181818,0.0,0.0
1046,0.0,0.0,0.0,0.0,0.0
338,0.0,0.0,0.181818,0.0,0.0
3478,0.375,0.0,0.545455,0.0,0.0
3033,0.375,0.0,0.272727,0.0,0.666667
5329,0.25,0.0,0.0909091,0.0,0.0
5327,0.25,0.0,0.0909091,0.0,0.0
5320,0.125,0.0,0.0909091,0.0,0.0
5215,0.25,0.0,0.181818,0.0,0.0
39147,0.375,0.0,0.0909091,1.0,0.0
7950,0.0,0.0,0.0,0.0,1.0
5426,0.25,0.0,0.272727,0.0,0.0
1135,0.0,0.0,0.0,0.0,0.0
5324289,0.625,0.5,0.181818,0.0,0.0
1174,0.0,0.0,0.0,0.0,0.0
1175,0.25,0.0,0.0,0.0,0.0
174174,0.125,0.5,0.272727,0.0,0.0
9502,0.125,0.0,0.0,0.0,0.666667
4044,0.25,0.0,0.272727,0.0,0.0
5505,0.125,0.0,0.181818,0.0,0.0
5284371,0.5,0.5,0.0909091,0.333333,0.0
441071,0.5,0.0,0.363636,0.0,0.0
978,0.0,0.0,0.0909091,0.0,0.0
4649,0.0,0.0,0.0,0.0,0.0
2206,0.125,0.5,0.181818,0.0,0.0
5959,0.125,0.0,0.0909091,0.333333,0.0
5753,0.125,0.0,0.272727,0.333333,0.0
2955,0.25,0.0,0.181818,0.0,0.0
4909,0.125,0.0,0.181818,0.0,0.0
5870,0.25,0.0,0.272727,0.0,0.0
30951,0.25,0.0,0.0,0.0,0.333333
3385,0.0,0.0,0.0,0.0,0.0
441140,0.375,0.0,0.0,0.0,0.333333
16562,0.125,0.0,0.0909091,0.0,0.0
3365,0.125,0.0,0.0,0.0,0.0
3828,0.5,0.0,0.0,0.0,0.0
135398737,0.625,0.5,0.363636,0.0,0.333333
6230,0.125,0.0,0.363636,0.0,0.0
938,0.0,0.0,0.0909091,0.0,0.0
4748,0.5,0.0,0.545455,0.0,0.333333
1043,0.25,0.0,0.0,0.0,0.0
5147,0.0,0.0,0.181818,0.0,0.0
5333,0.0,0.0,0.0909091,0.0,0.0
3475,0.125,0.0,0.272727,0.0,0.0
5572,0.125,0.0,1.0,0.0,0.0
9170,0.75,0.0,0.545455,0.0,0.0
55245,0.5,0.0,0.363636,0.0,0.0
