CID,FC_2_C4_0_/_/_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,C4_2_C4_2_1,FC_13_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_9_C4_0_Cl1_1_/_1_/_0_0,C4_2_N3_3_1,n
904,0.125,0.0,0.181818,0.0,0.0,0.0,0.08
60961,0.25,0.0,0.0,0.666667,0.0,0.142857,0.44
135401907,0.25,0.0,0.0,0.0,0.0,0.0,0.08
5578,0.25,0.0,0.0,0.0,0.0,0.0,0.52
1986,0.125,0.0,0.0,0.0,0.0,0.0,0.2
243,0.0,0.0,0.181818,0.0,0.0,0.0,0.04
2083,0.125,0.0,0.0,0.333333,0.0,0.0,0.36
441074,0.375,0.0,0.0909091,0.333333,0.0,0.285714,0.64
2331,0.0,0.0,0.181818,0.0,0.0,0.0,0.04
27200,0.125,0.0,0.0909091,0.333333,0.0,0.0,0.52
2249,0.25,0.0,0.0909091,0.333333,0.0,0.0,0.44
2756,0.125,0.0,0.0909091,0.0,0.0,0.0,0.36
3120,0.125,0.0,0.0,0.0,0.666667,0.0,0.24
667467,0.625,0.0,0.363636,0.0,0.333333,0.0,0.52
446220,0.125,0.5,0.272727,0.0,0.0,0.0,0.56
156391,0.375,0.0,0.0,0.0,0.0,0.0,0.36
68617,0.375,0.0,0.272727,0.0,0.666667,0.0,0.48
597,0.0,0.0,0.0909091,0.0,0.0,0.0,0.0
2950,0.5,0.0,0.181818,0.0,0.0,0.0,0.4
222786,0.125,0.0,0.272727,0.0,0.0,0.0,0.72
3016,0.5,0.5,0.181818,0.0,0.333333,0.0,0.48
1548887,0.625,0.0,0.0909091,0.0,0.0,0.0,0.68
3647,0.25,0.0,0.0,0.0,0.0,0.0,0.48
3394,0.375,0.0,0.181818,0.0,0.0,0.0,0.4
3325,0.25,0.0,0.0909091,0.0,0.0,0.0,0.48
3371,0.25,0.0,0.272727,0.0,0.0,0.0,0.48
223368,0.375,0.0,0.272727,0.0,0.0,0.0,0.48
