CID,na_in_C4,na_ex_C4,ms,na_ex_O2,FC_28_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_16_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_2_N3_2_1,C4_2_C4_3_2,dg_in_3,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_3_N3_2_1,FC_49_C4_0_N3_1_O2_2_O2_2_/_1_1_2_/_0_1_-1_0,FC_43_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_33_C4_0_H1_1_C4_1_Cl1_2_Cl1_2_/_1_2_1_1_/_0_0_0_0_0,FC_23_O2_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,N3_2_S6_4_1,dg_3,FC_7_C4_0_Cl1_1_/_1_/_0_0,na_ex_Cl1,FC_30_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_N3_2_2,FC_47_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_60_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_48_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_36_S2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_51_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_57_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,n,C4_2_C4_3_1,na_in_S6,N3_2_O2_2_1,FC_12_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_5_O2_0_/_/_0,C4_3_N3_3_1,LeafAC_O2_S6_2
93541,0.722222,0.125,1.0,0.333333,0,0.0,0.0,0.4,0.6,0.0,0.666667,0,0,0,0,0,0.7,0.333333,0.333333,0,0.0,0,0,0,0,0,0,0.952381,0.571429,0,0,0.0,0.333333,0.0,0
40896,0.166667,0.625,0.620933,0.5,0,0.0,0.0,0.4,0.4,0.0,0.333333,0,0,0,0,1,0.2,0.0,0.0,0,0.0,0,0,0,0,0,0,0.380952,0.285714,1,0,0.0,0.0,0.0,1
36584,0.0,0.875,0.191211,0.166667,0,0.0,0.0,0.0,0.4,0.0,0.833333,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,0,0,0,0.190476,0.0,0,0,0.0,0.0,0.0,0
42586,0.388889,0.625,0.245743,0.666667,0,0.0,0.0,0.2,0.4,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0,0.0,0,0,0,0,0,0,0.380952,0.285714,0,0,0.333333,0.0,1.0,0
65651,0.888889,0.125,0.964211,0.333333,0,0.0,0.0,0.6,0.8,0.0,0.833333,0,0,0,0,0,0.9,0.666667,0.666667,0,0.5,0,0,0,0,0,0,1.0,0.857143,0,0,0.0,0.333333,0.0,0
91695,0.555556,0.875,0.0579654,0.0,0,0.0,0.0,0.4,0.4,0.0,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.47619,1.0,0,0,1.0,0.333333,0.0,0
13450,0.0,0.875,0.257457,0.0,0,0.0,0.0,0.0,0.4,0.0,0.833333,0,0,0,0,0,0.1,0.0,0.0,0,0.0,0,0,0,0,0,0,0.190476,0.0,0,0,0.0,0.0,0.0,0
54886,0.5,1.0,0.284012,0.333333,0,0.0,0.0,0.2,0.6,0.0,0.0,0,0,0,0,0,0.5,0.0,0.0,0,0.0,0,1,0,0,0,0,0.761905,0.428571,0,0,0.0,0.666667,0.333333,0
31573,0.0555556,0.875,0.23207,0.0,0,0.0,0.0,0.0,0.4,0.0,1.0,0,0,0,0,0,0.2,0.0,0.0,0,0.0,1,0,0,0,0,0,0.238095,0.0,0,0,0.0,0.0,0.0,0
91644,0.388889,0.875,0.219753,0.166667,0,1.0,0.0,0.2,0.4,0.5,0.0,0,0,0,0,0,0.3,0.0,0.333333,0,0.0,0,0,0,0,0,0,0.428571,0.142857,0,0,0.0,0.333333,0.666667,0
41384,0.555556,0.875,0.209057,0.166667,0,0.0,0.0,0.2,0.8,1.0,0.0,0,0,0,0,0,0.4,0.0,0.0,0,0.0,0,0,0,0,0,0,0.666667,0.285714,0,0,0.0,0.666667,0.333333,0
86211,0.666667,0.375,0.287585,0.166667,0,0.0,0.5,0.4,0.8,0.0,0.0,0,0,0,0,0,0.3,0.333333,0.333333,0,1.0,0,0,0,0,0,0,0.52381,0.857143,0,0,0.0,0.0,0.0,0
