CID,bd_in_2,FC_5_N3_0_H1_1_/_1_/_0_0,C4_2_N3_2_1,dg_in_1,FC_11_C4_0_Cl1_1_/_1_/_0_0,na_in_O2,C4_2_C4_4_1,FC_27_N3_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,N3_2_S6_4_1,FC_29_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,na_ex_Br1,C4_2_O2_2_1,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,na_ex_F1,FC_21_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_3_N3_3_1,FC_44_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_/_0_0_0_0_0_0,C4_2_S2_2_1,N3_2_N3_2_2,LeafAC_O2_C4_2,C4_3_C4_4_1,C4_3_O2_2_1,C4_3_C4_3_1,C4_3_S2_2_1,LeafAC_C4_C4_1,na_in_N3,FC_52_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_50_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,FC_56_N3_0_H1_1_C4_1_N3_2_/_1_1_3_/_0_0_0_0,LeafAC_F1_C4_1,FC_9_O2_0_/_/_0,dg_1,N3_3_N3_3_1,C4_3_N3_2_2,FC_26_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_35_C4_0_Br1_1_/_1_/_0_0,FC_53_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,bd_in_3,LeafAC_C4_C4_3,na_ex_S4,FC_14_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,N3_2_N3_3_1,LeafAC_Br1_C4_1,ms,FC_23_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0
7005,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.189723,0
79858,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0.5,0,1,0.634161,0
10894,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1.0,0
81814,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.111111,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,1,0,0,0,0,0.0,0,1,0.720948,0
1983,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.0,0.0,0.333333,0.166667,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.187211,0
1986,0.2,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.0,1.0,0.333333,0.5,0,0,0,0.0,0.0,0,0,1.0,0,0,0,0,0,0,0.0,0,0,0.546005,0
2119,0.3,0.0,0.5,1.0,0.0,0.5,0.0,1,0,0,0,0.5,0.285714,0.0,0,0.0,0,0.0,0,0.0,0.0,0.5,0.111111,0.0,0.666667,0.166667,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.059042,0
2130,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.0,0.857143,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.5,0,0,0.0,0
2160,0.7,0.0,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.428571,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.444444,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0783333,0
2165,0.8,0.333333,0.5,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.111111,0.0,0.666667,0.5,0,0,0,0.0,0.0,0,0,0.5,0,0,0,0,0,0,0.0,0,0,0.188226,0
174174,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0,0,0,0,0.0,0.571429,0.0,0,0.4,0,0.0,0,0.25,0.0,1.0,0.222222,0.0,0.0,0.166667,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.102002,0
2265,0.6,0.333333,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.2,0,0.0,0,0.0,0.0,0.0,0.111111,1.0,0.0,1.0,0,0,0,0.0,0.0,0,0,0.5,0,0,0,0,0,0,0.0,0,0,0.456583,0
77918,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.155258,0
2474,0.3,0.333333,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.714286,0.0,0,0.2,0,0.0,0,0.25,0.0,0.0,0.222222,0.0,1.0,0.333333,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0420649,0
2581,0.6,0.333333,0.0,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.0,0.0,1,0.0,0,0.0,0,0.25,0.0,0.0,0.222222,0.0,0.333333,0.166667,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.297374,0
2585,0.9,0.666667,1.0,0.0,0.0,1.0,0.0,0,0,0,0,1.0,0.571429,0.0,0,0.0,0,0.0,0,0.0,0.0,1.0,0.444444,0.0,0.0,0.333333,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.161175,0
6024,0.3,0.333333,0.0,0.5,0.0,0.5,0.0,0,0,0,0,0.5,0.428571,0.0,0,0.6,0,0.666667,0,1.0,0.0,0.0,0.222222,1.0,0.333333,0.333333,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.350246,0
2725,0.6,0.0,0.0,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.222222,0.0,0.0,0.166667,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.158663,0
2726,0.6,0.0,0.0,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.285714,0.0,0,0.4,0,0.0,0,0.0,0.0,0.0,0.111111,1.0,0.0,0.166667,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.222793,0
2727,0.3,0.666667,0.5,0.5,0.25,0.0,0.0,0,1,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0.0,0.0,0.0,0.0,0.333333,0.333333,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.331566,0
667467,0.7,0.0,0.0,0.5,0.25,0.0,0.0,0,0,0,0,0.0,0.142857,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.333333,1.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.233831,0
2733,0.3,0.333333,0.0,0.0,0.25,0.5,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.25,0.0,1.0,0.0,0.0,0.0,0.166667,0,0,0,0.0,0.5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.512082,0
2756,0.2,0.666667,1.0,0.5,0.0,0.0,0.0,0,0,0,0,0.0,0.428571,0.0,0,0.0,1,0.666667,0,0.0,0.0,0.0,0.0,0.0,0.333333,0.666667,0,0,1,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.194706,0
2764,0.4,0.333333,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.857143,0.333333,0,0.6,0,0.0,0,0.5,0.0,0.0,0.333333,0.0,0.0,0.5,0,0,0,0.333333,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.215933,0
71335,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.714286,0.333333,0,1.0,0,0.0,0,0.5,0.0,0.0,0.333333,0.0,0.0,0.5,0,0,0,0.333333,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.205512,0
