CID,bd_in_2,na_in_C4,FC_45_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,ms,C4_3_C4_3_1
1986,0.142857,0.0,0,0.443586,0.0
2244,0.214286,0.129032,0,0.226953,0.0625
30951,0.214286,0.193548,0,0.236436,0.0
2132,0.214286,0.354839,0,0.360784,0.0625
60795,0.428571,0.677419,0,0.177173,0.0625
74989,0.5,0.645161,0,0.197083,0.4375
2256,0.214286,0.0322581,0,0.16581,0.0
2284,0.214286,0.193548,0,0.201639,0.0625
2479,0.0,0.0967742,0,0.106366,0.0
2343,0.5,0.419355,0,0.381006,0.0625
2441,0.5,0.387097,0,0.388529,0.125
2540,0.857143,0.903226,0,0.167804,0.3125
2554,0.5,0.387097,0,0.177906,0.125
6854,0.428571,0.322581,0,0.158715,0.1875
25429,0.285714,0.193548,0,0.208366,0.0625
5361486,0.428571,0.354839,0,0.341685,0.25
5281006,0.285714,0.419355,1,0.218956,0.25
2662,0.571429,0.419355,0,0.293317,0.0625
38103,0.214286,0.387097,1,0.195277,0.25
2727,0.214286,0.193548,0,0.271626,0.0
222528,0.0,0.580645,0,0.031621,0.1875
2754,0.357143,0.580645,0,0.105992,0.0
2756,0.142857,0.16129,0,0.161878,0.0
2764,0.285714,0.451613,0,0.1789,0.1875
2769,0.428571,0.612903,0,0.161401,0.1875
5753,0.0714286,0.516129,0,0.0682418,0.25
5745,0.0714286,0.548387,0,0.104615,0.1875
5280754,0.0,0.903226,0,0.056873,0.75
5281708,0.5,0.419355,0,0.239981,0.1875
2995,0.428571,0.483871,0,0.0711943,0.125
5743,0.142857,0.516129,0,0.109044,0.0625
3019,0.285714,0.16129,0,0.39398,0.0
3033,0.428571,0.354839,0,0.316631,0.125
71414,0.142857,0.548387,0,0.143559,0.125
56206,0.5,0.548387,0,0.208933,0.1875
39186,0.428571,0.483871,0,0.154286,0.25
11487,0.428571,0.322581,0,0.12049,0.0
6047,0.214286,0.193548,0,0.178834,0.0
5388962,0.214286,0.451613,0,0.106202,0.125
68570,0.214286,0.483871,0,0.0606497,0.1875
5870,0.214286,0.483871,0,0.0778223,0.1875
3295,0.285714,0.16129,0,0.32102,0.0
6419930,0.428571,0.774194,0,0.183423,0.8125
2758,0.0,0.16129,0,0.0,0.0
3335,0.428571,0.419355,0,0.166096,0.125
3374,0.285714,0.322581,0,0.21637,0.1875
3394,0.428571,0.354839,0,0.178205,0.125
135398658,0.5,0.483871,0,0.232217,0.1875
135398740,0.214286,0.16129,0,0.2029,0.0625
3478,0.428571,0.580645,0,0.164387,0.0625
441140,0.285714,0.354839,0,0.228602,0.1875
3559,0.428571,0.612903,0,0.163608,0.0625
24821094,0.714286,0.677419,0,0.16765,0.1875
5362440,0.642857,0.967742,0,0.0941403,0.3125
3715,0.5,0.451613,0,0.237089,0.125
3718,0.428571,0.419355,0,0.173653,0.1875
456201,0.571429,0.709677,0,0.207628,0.0
4011,0.428571,0.548387,0,0.0685582,0.25
4170,0.428571,0.387097,0,0.266175,0.1875
4409,0.357143,0.322581,0,0.111264,0.0
1302,0.357143,0.290323,0,0.146775,0.0625
64143,0.428571,0.806452,0,0.0946654,0.3125
4463,0.428571,0.387097,0,0.174904,0.125
4485,0.357143,0.354839,0,0.190422,0.375
4495,0.428571,0.322581,0,0.279978,0.0
4539,0.285714,0.354839,0,0.171908,0.1875
4543,0.5,0.516129,0,0.0768524,0.25
275196,0.428571,0.516129,0,0.172741,0.4375
4583,0.285714,0.419355,0,0.176595,0.25
4616,0.5,0.419355,0,0.273392,0.1875
4641,0.428571,0.483871,0,0.142898,0.125
4680,0.571429,0.451613,0,0.14331,0.125
4748,0.428571,0.580645,0,0.160135,0.0625
4754,0.214286,0.129032,0,0.10956,0.0
4756,0.5,0.290323,0,0.179452,0.0
4828,0.285714,0.290323,0,0.0846248,0.0625
4889,0.142857,0.516129,0,0.0775211,0.3125
4159,0.142857,0.516129,0,0.0870667,0.25
4909,0.214286,0.258065,0,0.136149,0.0
4911,0.214286,0.193548,0,0.152388,0.0
4926,0.428571,0.419355,0,0.12455,0.125
4927,0.428571,0.387097,0,0.12455,0.125
65981,0.428571,0.612903,0,0.0863235,0.125
445154,0.5,0.387097,0,0.177586,0.0
