CID,C4_2_C4_2_2,na_ex_O2
137628619,0.666667,0.0
92044400,0.666667,0.0
162661974,0.666667,0.4
137628657,0.666667,0.6
162644604,0.666667,0.4
137628637,0.333333,1.0
137628658,0.333333,0.4
137628618,0.666667,0.0
124201820,0.333333,0.0
134160242,0.333333,0.6
134160243,0.333333,0.6
145874883,0.333333,0.6
118912822,0.333333,0.0
135156947,0.333333,0.0
139035048,1.0,0.6
131986956,1.0,0.2
122201421,0.333333,0.0
122551841,1.0,0.2
131801483,0.0,0.2
138454768,0.333333,0.4
132427808,0.333333,0.4
