CID,C4_2_C4_2_2,na_ex_O2,C4_2_C4_2_1,FC_16_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_4_C4_0_O2_1_/_2_/_0_0
137628619,0.666667,0.0,0.272727,0,0.0
92044400,0.666667,0.0,0.363636,0,0.4
162661974,0.666667,0.4,0.181818,1,0.4
137628657,0.666667,0.6,0.363636,1,0.8
162644604,0.666667,0.4,0.181818,1,0.4
137628637,0.333333,1.0,0.272727,0,0.8
137628658,0.333333,0.4,0.636364,0,0.6
137628618,0.666667,0.0,0.272727,0,0.0
124201820,0.333333,0.0,0.0909091,0,0.2
134160242,0.333333,0.6,0.272727,0,0.6
134160243,0.333333,0.6,0.272727,0,0.6
145874883,0.333333,0.6,1.0,0,0.8
118912822,0.333333,0.0,0.0,0,0.4
135156947,0.333333,0.0,0.272727,0,0.0
139035048,1.0,0.6,0.818182,0,1.0
131986956,1.0,0.2,0.636364,0,0.6
122201421,0.333333,0.0,0.0909091,0,0.2
122551841,1.0,0.2,0.181818,0,0.2
131801483,0.0,0.2,0.363636,0,0.6
138454768,0.333333,0.4,0.272727,0,0.2
132427808,0.333333,0.4,0.272727,0,0.4
