CID,n,C4_2_C4_2_2,LeafAC_C4_C4_1,FC_18_O2_0_/_/_0,dg_in_4,C4_3_C4_3_1,na_ex_O2,rank,FC_14_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,dg_1,bd_in_3,na_in_S2,na_ex_C4,N3_2_N3_3_1,C4_3_S2_2_1,FC_21_S2_0_/_/_0,FC_25_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,na_ex_S4,FC_29_C4_0_S4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,LeafAC_C4_S4_1,LeafAC_O2_S4_2,FC_22_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_24_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_2_N3_2_2,C4_4_C4_4_1,FC_20_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_30_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_/_3_1_1_1_1_/_0_0_0_0_0_0,C4_2_C4_4_1,FC_28_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,C4_3_C4_4_1
1548887,0.571429,0.4,0.333333,0,0,0.6,0.6,0.5,0.0,0,0,0,0.6,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.0,0,0.0
1302,0.190476,0.4,0.333333,0,0,0.2,0.6,0.25,0.0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1775,0.285714,0.8,0.0,0,1,0.0,0.4,0.5,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.75
2247,1.0,0.6,0.0,0,0,0.2,0.2,1.0,0.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2727,0.190476,0.2,0.333333,0,0,0.0,0.6,0.0,0.0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2733526,0.714286,1.0,0.333333,1,0,0.6,0.0,0.5,0.5,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
135398737,0.47619,0.4,0.0,0,0,0.4,0.0,0.75,0.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3016,0.333333,0.6,0.0,0,0,0.4,0.2,0.5,0.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3019,0.047619,0.2,0.333333,0,0,0.0,0.4,0.25,0.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3335,0.285714,0.6,0.0,0,0,0.4,0.6,0.25,0.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3475,0.428571,0.2,0.333333,0,0,0.2,0.6,0.5,0.0,0,0,0,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3488,0.952381,0.4,0.0,0,0,0.2,1.0,0.5,0.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3639,0.190476,0.0,0.0,0,0,0.2,0.8,0.25,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3672,0.0952381,0.2,1.0,0,0,0.2,0.4,0.0,0.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3715,0.571429,0.4,0.333333,0,0,0.4,0.8,0.5,0.0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3718,0.380952,0.4,0.333333,0,0,0.6,0.6,0.5,0.0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3825,0.285714,0.6,0.333333,0,0,0.6,0.6,0.25,0.0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3512,0.52381,0.0,0.333333,1,1,0.6,1.0,0.5,0.0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.75
448537,0.333333,0.4,0.666667,0,0,0.4,0.4,0.25,1.0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
4748,0.666667,0.4,0.0,0,0,0.2,0.2,0.75,0.0,0,0,1,0.2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
4754,0.0,0.2,0.666667,0,0,0.0,0.2,0.0,0.0,0,0,0,0.8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,0.0
4911,0.285714,0.2,0.666667,0,0,0.0,0.8,0.0,0.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
54676228,0.47619,0.4,0.0,0,0,0.6,0.8,0.5,0.0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0.0
4196,0.904762,0.2,0.666667,0,0,1.0,0.4,1.0,0.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0,0,0.25
5578,0.380952,0.0,0.0,0,0,0.4,0.6,0.25,0.0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
5408,0.380952,0.0,0.666667,0,0,0.4,0.4,0.75,0.0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,1,1.0
