CID,na_in_C4,FC_5_C4_0_Cl1_1_/_1_/_0_0,LeafAC_O2_C4_1,na_ex_C4,LeafAC_O2_C4_2,ms,FC_6_N3_0_/_/_0,FC_3_C4_0_/_/_0,C4_2_C4_2_1,LeafAC_C4_N3_1,C4_2_O2_2_1,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,LeafAC_O2_P5_2,C4_2_N3_2_1,FC_15_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,LeafAC_O2_N3_2,dg_in_4,LeafAC_O2_S6_1,na_ex_F1,C4_2_N3_3_1,LeafAC_O2_P5_1,na_ex_Cl1,LeafAC_Br1_C4_1,na_ex_S2,FC_76_C4_0_Cl1_1_Cl1_1_/_1_1_/_0_0_0,LeafAC_C4_Si4_1,FC_165_C4_0_O2_1_C4_1_H1_2_H1_2_H1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_68_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_C4_2_2,na_ex_N3
16724,0.0869565,0.0,0.0,0.2,0.166667,0.0350953,0.0,0.0,0.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16724,0.0869565,0.0,0.0,0.2,0.166667,0.0350953,0.0,0.0,0.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16724,0.0869565,0.0,0.0,0.2,0.166667,0.0350953,0.0,0.0,0.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16724,0.0869565,0.0,0.0,0.2,0.166667,0.0350953,0.0,0.0,0.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16724,0.0869565,0.0,0.0,0.2,0.166667,0.0350953,0.0,0.0,0.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16724,0.0869565,0.0,0.0,0.2,0.166667,0.0350953,0.0,0.0,0.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16724,0.0869565,0.0,0.0,0.2,0.166667,0.0350953,0.0,0.0,0.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16724,0.0869565,0.0,0.0,0.2,0.166667,0.0350953,0.0,0.0,0.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
16724,0.0869565,0.0,0.0,0.2,0.166667,0.0350953,0.0,0.0,0.0192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8425,0.188406,0.1,0.0416667,0.0,0.0,0.0804492,0.0,0.1,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.3,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
8125,0.057971,0.0,0.0,0.2,0.0,0.00989867,0.0,0.0,0.0576923,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
231431,0.0724638,0.0,0.0,0.1,0.0,0.0683908,0.375,0.1,0.0,0.333333,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.333333,0.0,0.142857
231431,0.0724638,0.0,0.0,0.1,0.0,0.0683908,0.375,0.1,0.0,0.333333,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.333333,0.0,0.142857
231431,0.0724638,0.0,0.0,0.1,0.0,0.0683908,0.375,0.1,0.0,0.333333,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.333333,0.0,0.142857
231431,0.0724638,0.0,0.0,0.1,0.0,0.0683908,0.375,0.1,0.0,0.333333,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.333333,0.0,0.142857
7674,0.0869565,0.0,0.0,0.1,0.0,0.0430521,0.0,0.05,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0
7674,0.0869565,0.0,0.0,0.1,0.0,0.0430521,0.0,0.05,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0
7674,0.0869565,0.0,0.0,0.1,0.0,0.0430521,0.0,0.05,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0
7674,0.0869565,0.0,0.0,0.1,0.0,0.0430521,0.0,0.05,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0
7674,0.0869565,0.0,0.0,0.1,0.0,0.0430521,0.0,0.05,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0
7674,0.0869565,0.0,0.0,0.1,0.0,0.0430521,0.0,0.05,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0
7674,0.0869565,0.0,0.0,0.1,0.0,0.0430521,0.0,0.05,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0
7674,0.0869565,0.0,0.0,0.1,0.0,0.0430521,0.0,0.05,0.0384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0
