CID,na_in_C4,na_ex_Cl1,LeafAC_C4_C4_1,FC_11_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,ms,na_ex_O2,FC_12_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_C4_3_2,LeafAC_O2_N3_2,C4_2_N3_3_1,na_ex_C4,FC_6_O2_0_/_/_0,C4_2_N3_2_1,FC_1_C4_0_H1_1_/_1_/_0_0,na_ex_N3,LeafAC_O2_S6_2,FC_14_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,bd_in_2,FC_63_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_Br1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,LeafAC_S2_P5_2,FC_10_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_28_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,na_in_S2,FC_21_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,LeafAC_Br1_C4_1,na_ex_I1,LeafAC_F1_C4_1,C4_2_O2_2_1,FC_24_O2_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,dg_3,FC_60_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,LeafAC_O2_P5_1,C4_2_S2_2_1,FC_57_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_41_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,LeafAC_O2_C4_2,dg_in_4,FC_95_P5_0_O2_1_C4_2_H1_3_H1_3_H1_3_O2_1_C4_2_H1_3_H1_3_H1_3_S2_1_/_1_1_1_1_1_1_1_1_1_1_2_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_108_C4_0_H1_1_H1_1_C4_1_H1_2_N3_2_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_79_C4_0_H1_1_N3_1_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0,FC_46_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,C4_4_C4_4_1,FC_38_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,LeafAC_O2_C4_1,LeafAC_N3_S6_1,FC_142_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_92_C4_0_H1_1_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_78_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,dg_in_2
5281915,0.77193,0.0,0.571429,0.0,0.0281786,0.173913,0.0,0.9,0.0,0.0,0.46875,0.0,0.0,0.28125,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.153846,0.0,0.0,0,0.387755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.823529
85283,0.666667,0.0,0.0952381,0.0,0.0208447,0.0869565,0.333333,0.2,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.136364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0,0.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.705882
33585,0.561404,0.0,0.0952381,0.0,0.0189466,0.0869565,0.333333,0.0,0.0,0.0,0.125,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0,0.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627451
16682974,0.210526,0.0,0.285714,0.0,0.00896547,0.0,1.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,0.122449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137255
75143,0.491228,0.0,0.0952381,0.0,0.020904,0.0869565,0.333333,0.0,0.0,0.0,0.125,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0,0.530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568627
66954,0.578947,0.0,0.0952381,0.0,0.0166908,0.0869565,0.333333,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0,0.591837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.647059
638072,0.350877,0.0,0.380952,0.0,0.01856,0.0,0.0,0.4,0.0,0.0,0.3125,0.0,0.0,0.125,0.0,0.0,0.0,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.204082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352941
266461,0.54386,0.166667,0.238095,0.0,0.0398288,0.0434783,0.0,0.3,0.0,0.166667,0.25,0.0833333,0.0,0.3125,0.0,0.0,0.0,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0,0.22449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372549
27990,0.45614,0.0,0.380952,0.0,0.0316034,0.0434783,0.0,0.1,0.0,0.0,0.28125,0.166667,0.125,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0,0.204082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45098
88909,0.421053,0.166667,0.0952381,0.0,0.0386926,0.0434783,0.166667,0.1,0.0,0.166667,0.15625,0.0833333,0.0,0.09375,0.0,0.0,0.0,0.136364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0,0.285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392157
5361,0.859649,0.0,0.0952381,0.0,0.116084,1.0,0.0,1.0,0.0,0.0,0.0625,0.0,0.0,0.6875,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.0,0.0,0.384615,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.803922
441165,0.561404,0.0,0.380952,0.0,0.0386386,0.173913,0.0,0.0,0.0,0.0,0.375,0.666667,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.307692,0.0,0.0,0,0.244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627451
86472,0.350877,0.0,0.428571,0.0,0.0254268,0.0434783,0.0,0.0,0.0,0.0,0.34375,0.0833333,0.0,0.0,0.0,0.0,0.0,0.136364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0,0.204082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.313725
64883,0.385965,0.0,0.571429,0.0,0.0394986,0.173913,0.0,0.4,0.0,0.0,0.5,0.166667,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.333333,0.0,0.25,0.0,0.0,0.0,0.0,0.117647,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.153846,0.0,0.0,0,0.163265,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0.0,1.0,0.45098
11657687,0.45614,0.0,0.0,0.0,0.0994488,0.26087,0.0,0.4,0.0,0.0,0.125,0.0,0.0,0.3125,0.0,0.0,0.285714,0.272727,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.307692,1.0,0.0,0,0.0408163,0.0,0.0,0.0714286,0.0,0.153846,0.0,0.0,0.0,0.0,0.431373
5284607,0.421053,0.0,0.285714,0.0,0.0293543,0.0869565,0.0,0.3,0.0,0.0,0.21875,0.0,0.0,0.15625,0.0,0.0,0.0,0.227273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0,0.183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392157
6433191,0.385965,0.0,0.333333,0.0,0.0191577,0.0434783,0.0,0.1,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.244898,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0.0,0.0,0.352941
16318,0.210526,0.833333,0.0,0.0,0.34948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196078
61043,0.596491,0.0,0.0,0.0,0.081989,0.0869565,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,0.727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.392157
8317,0.596491,0.0,0.0,0.0,0.0874267,0.0869565,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.352941
5282182,0.315789,0.0,0.333333,0.0,0.0252583,0.0434783,0.0,0.3,0.0,0.0,0.28125,0.0833333,0.0,0.09375,0.0,0.0,0.0,0.136364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0769231,0.0,0.0,0,0.183673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
4912,0.22807,0.0,0.666667,0.0,0.0391935,0.0869565,0.0,0.4,0.0,0.0,0.5625,0.0,0.0,0.125,0.0,0.0,0.0,0.272727,0.0,0.0,0.333333,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0.0,1.0,0.254902
3388,0.508772,0.0,0.047619,0.0,0.0531035,0.0434783,0.166667,0.3,0.0,0.583333,0.09375,0.0833333,0.0,0.21875,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.166667,0.0588235,0.0,0.225,0.0,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0,0.306122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509804
83950,0.491228,0.166667,0.047619,0.1,0.0560279,0.26087,0.166667,0.2,0.25,0.0,0.09375,0.166667,0.0,0.15625,0.166667,0.0,0.0,0.136364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.117647,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.230769,0.0,0.0,0,0.326531,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0.0,0.0,0.529412
14207954,0.45614,0.166667,0.047619,0.1,0.0526144,0.217391,0.166667,0.2,0.25,0.0,0.09375,0.0833333,0.0,0.15625,0.166667,0.0,0.0,0.136364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588235,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0,0.306122,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0.0,0.0,0.470588
35740,0.421053,0.0,0.0,0.0,0.269262,0.26087,0.0,0.2,0.0,0.0,0.0625,0.333333,0.0,0.0625,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.470588,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.307692,0.0,0.0,0,0.204082,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0.0,0.0,0.54902
3039548,0.403509,0.0,0.380952,0.0,0.0320473,0.0434783,0.0,0.3,0.0,0.5,0.40625,0.0,0.0,0.21875,0.166667,0.0,0.0,0.227273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,1.0,0.0,0.0769231,0.0,0.0,0,0.163265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294118
39786,0.403509,0.0,0.380952,0.0,0.0319457,0.0,0.0,0.3,0.0,0.5,0.40625,0.0,0.0,0.21875,0.166667,0.0,0.0,0.227273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.163265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294118
122361420,0.561404,0.0,0.52381,0.3,0.0365489,0.347826,0.0,0.0,0.0,0.0,0.40625,0.25,0.0,0.28125,0.0,0.0,0.0,0.136364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.230769,0.25,0.0,0,0.102041,0.0,0.0,0.0,0.0,0.384615,0.0,0.0,0.0,0.0,0.588235
3740,0.350877,0.0,0.0,0.0,0.324658,0.26087,0.0,0.2,0.0,0.0,0.0625,0.25,0.0,0.0625,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.352941,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.307692,0.0,0.0,0,0.122449,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0.0,0.0,0.45098
14969,1.0,0.166667,0.190476,0.5,0.0771636,0.782609,0.0,0.7,0.0,0.0,0.28125,0.5,0.0,0.65625,0.5,0.0,0.0,0.681818,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.615385,0.0,0.0,0,0.0204082,0.0,0.0,0.0,0.5,0.769231,0.0,0.0,0.0,0.0,0.921569
259846,0.368421,0.0,0.333333,0.1,0.0210972,0.0434783,0.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.204082,0.0,0.0,0.0714286,0.0,0.0769231,0.0,0.5,0.0,0.0,0.254902
94320,0.385965,0.0,0.380952,0.0,0.0355399,0.173913,0.0,0.1,0.0,0.0,0.3125,0.0,0.0,0.15625,0.0,0.0,0.0,0.0454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.230769,0.0,0.0,0,0.183673,0.0,0.0,0.0714286,0.0,0.0769231,0.0,0.0,0.0,0.0,0.254902
40484,0.210526,0.75,0.0,0.0,0.319932,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196078
42574,0.350877,0.166667,0.047619,0.0,0.206289,0.0869565,0.0,0.6,0.0,0.0,0.0625,0.0,0.0,0.25,0.166667,0.0,0.0,0.409091,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0769231,0.0,0.0,0.0,0.0,0.333333
5282181,0.368421,0.0,0.190476,0.2,0.0252583,0.0869565,0.0,0.2,0.0,0.0,0.1875,0.0,0.0,0.125,0.0,0.0,0.0,0.0909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.183673,0.0,0.0,0.0,0.0,0.153846,0.0,0.0,0.0,0.0,0.294118
