CID,na_in_C4,na_ex_Cl1,LeafAC_O2_C4_1,LeafAC_C4_C4_1,ms,FC_5_C4_0_O2_1_/_2_/_0_0,FC_13_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_2_C4_0_/_/_0,rank,C4_2_O2_2_1,na_ex_S2,C4_2_N3_2_1,LeafAC_O2_P5_2,C4_2_C4_2_2,C4_2_N3_3_1,na_ex_F1,FC_33_C4_0_O2_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,LeafAC_N3_C4_1,LeafAC_C4_O2_1,FC_28_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_71_C4_0_O2_1_C4_1_H1_2_Cl1_2_Cl1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_58_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_8_O2_0_/_/_0,N3_2_N3_2_1,n,N3_3_N3_3_1,C4_4_C4_4_1,C4_2_N3_2_2,LeafAC_O2_C4_2
5392,0.5,0.0,0.0,0.0,0.191189,0.0,0.0,0.333333,0.285714,0.0,1.0,0.0,0,0.333333,0.0,0.0,0,0.0,1.0,0,0,0.0,0,0.666667,0.0,0.724138,0,0.0,0.0,0.0
6973653,0.583333,0.0,0.166667,0.666667,0.0462082,0.0,0.0,0.0833333,0.428571,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.551724,0,0.0,0.0,0.25
6734,0.5,0.0,0.0,0.0,0.0883392,0.0,0.0,0.333333,0.428571,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.206897,0,0.0,0.0,0.0
9161,0.5,0.0,0.0,0.0,0.109541,0.0,0.0,0.333333,0.428571,0.0,0.0,0.0,0,0.5,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.206897,0,0.0,0.0,0.0
1982,0.0,0.0,0.0,0.166667,0.164134,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1,0.0,0.0,0.0,0,0.0,0.25,1,0,0.0,0,0.0,0.0,0.137931,0,0.0,0.0,0.25
904,0.25,0.0,0.0,0.166667,0.0920588,0.0,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,1,0,0.0,0,0.0,0.0,0.137931,0,0.0,0.0,0.25
67383412,0.291667,0.0,0.333333,0.166667,0.12662,0.0,0.0,0.0833333,0.142857,0.0,0.0,0.0,0,0.333333,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.275862,0,0.0,0.0,0.5
190,0.208333,0.0,0.0,0.0,0.159011,0.0,0.0,0.166667,0.285714,0.0,0.0,0.666667,0,0.0,0.0,0.0,0,0.333333,0.0,0,0,0.0,0,0.0,0.0,0.137931,0,0.0,0.5,0.0
196,0.166667,0.0,0.333333,0.0,0.0989399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.137931,0,0.0,0.0,0.5
11869445,0.708333,0.0,0.0,0.333333,0.0714395,0.75,0.0,0.0833333,0.571429,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.551724,0,0.0,0.0,0.75
