CID,na_in_C4,na_ex_Cl1,LeafAC_O2_C4_1,na_ex_C4,LeafAC_O2_C4_2,ms,C4_2_N3_2_2,FC_4_C4_0_O2_1_/_2_/_0_0,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_O2_2_1,FC_2_C4_0_/_/_0,FC_1_C4_0_H1_1_/_1_/_0_0,C4_3_N3_2_2,LeafAC_O2_P5_2,rank,LeafAC_O2_S6_2,C4_3_N3_2_1,FC_15_S2_0_/_/_0,FC_27_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_67_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_12_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,C4_3_O2_2_1,C4_2_C4_2_2,na_ex_S2,FC_110_C4_0_Cl1_1_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,N3_2_N3_3_1,LeafAC_S2_C4_2,LeafAC_C4_O2_1,C4_4_N3_2_1,FC_39_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,C4_2_C4_4_1,FC_16_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_18_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,FC_46_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_11_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_31_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_29_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_4_O2_2_1,FC_89_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_4_C4_4_1,na_in_N3,FC_72_C4_0_O2_1_C4_1_H1_2_H1_2_H1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,LeafAC_C4_N3_1,FC_82_O2_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,FC_146_C4_0_O2_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,C4_2_S2_2_1,FC_188_N3_0_C4_1_H1_2_O2_2_/_1_1_2_/_0_0_0_0,LeafAC_N3_C4_1,C4_2_N3_3_1,FC_70_C4_0_O2_1_H1_2_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0
2180,0.5,0.0,0.636364,0.222222,0.0,0.125725,0.0,0.0,0.0,0.25,0.0833333,0.347826,0.0,0,0.375,0.0,0.0,0.0,0.0,0,0.75,0.538462,0.333333,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
90590,0.305556,0.0,0.0,0.111111,0.166667,0.125201,0.0,0.166667,0.0,0.25,0.166667,0.304348,0.0,0,0.25,0.0,0.25,0.0,0.0,0,0.0,0.0769231,0.5,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.166667,0,0.0,0.0,0,0.0,0,0.0,0.0,0
8843,0.138889,0.0,0.0,0.555556,0.166667,0.0518814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
9162,0.611111,0.0,0.0,0.0,0.0,0.124903,0.0,0.0,0.0,0.0,0.666667,0.608696,0.0,0,0.625,0.0,0.0,0.0,0.0,0,0.0,0.0,0.833333,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
8030,0.111111,0.0,0.0,0.0,0.0,0.181123,0.0,0.0,0.0,0.0,0.0,0.173913,0.0,0,0.125,0.0,0.0,0.333333,0.0,0,0.0,0.0,0.333333,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.666667,0,0.0,0.0,0
7222,0.194444,0.0,0.0,0.0,0.0,0.191924,0.25,0.0,0.0,0.0,0.166667,0.217391,0.0,0,0.25,0.0,0.125,0.333333,0.0,0,0.0,0.0,0.166667,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.166667,0,0.0,0.0,0,0.333333,0,0.0,0.0,0
91662,0.333333,0.416667,0.0,0.0,0.0,0.372519,0.0,0.0,0.0,0.0,0.166667,0.217391,0.0,0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.166667,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
450,0.472222,0.0,0.181818,0.111111,0.0,0.0711502,0.0,0.0,0.0,0.0,0.166667,0.26087,0.0,0,0.5,0.0,0.0,0.0,0.0,0,0.125,0.0,0.166667,0.0,0,0.0,0.0,0.0,0,0,0.25,0.0,0.0,0.0,0.2,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
3048,0.333333,0.5,0.0,0.0,0.0,0.34707,0.0,0.0,0.0,0.0,0.0,0.26087,0.0,0,0.625,0.0,0.0,0.0,0.0,0,0.0,0.153846,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.142857,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
5102,0.5,0.0,0.0,0.555556,0.166667,0.125017,0.0,0.166667,0.0,0.25,0.5,0.26087,0.0,0,0.625,0.0,0.0,0.0,0.0,0,0.0,0.384615,0.166667,0.0,0,0.0,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0
