CID,na_in_C4,C4_2_O2_2_1,FC_3_C4_0_/_/_0,FC_17_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,na_ex_I1,LeafAC_O2_C4_1,FC_11_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,N3_2_N3_2_1,dg_in_1,LeafAC_C4_C4_1,na_ex_S2,C4_3_S2_2_1,FC_13_C4_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0,FC_35_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_2_N3_2_1,FC_52_S6_0_O2_1_O2_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_2_2_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,N3_2_N3_3_1,FC_28_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_22_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_14_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_1_C4_0_H1_1_/_1_/_0_0,FC_45_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_39_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_30_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_16_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_78_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_36_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,na_ex_C4,C4_2_N3_3_1,C4_2_C4_3_2
243,0.111111,0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.25,0,0,0,0.0,0,0,0.0833333,0.0,0.166667
2294,0.0555556,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.333333,0.0,0.0
681,0.138889,0.0,0.125,0.0,0.0,0.4,0.0,0,0.2,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.15,0,0,0,0.0,0,0,0.0833333,0.0,0.166667
37365,0.111111,0.0,0.0,0.0,0.0,0.0,0.0,0,0.2,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.416667,0.0,0.0
8275,0.111111,0.0,0.125,0.0,0.0,0.0,0.0,0,0.4,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.416667,0.0,0.0
11425995,0.333333,0.0,0.125,0.0,0.0,0.2,0.0,0,0.2,0.0,0,0.0,0.0,0,0.25,0,0,0,0.0,0.0,0.15,0,1,0,0.0,0,0,0.0833333,0.0,0.0
3000715,0.111111,0.0,0.0,0.333333,0.0,0.0,0.0,0,0.2,0.428571,1,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.416667,0.0,0.0
3672,0.166667,0.0,0.25,0.0,0.0,0.2,0.0,0,0.4,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.5,0.0,0.2,0,0,0,0.0,0,0,0.416667,0.0,0.333333
1563370,0.25,0.25,0.125,0.0,0.0,0.0,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.166667,0.0,0.333333
1923,0.194444,0.0,0.25,0.0,0.0,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,0,0.0,0,0,0.0,0.0,0.166667
2244,0.111111,0.0,0.125,0.0,0.0,0.2,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.2,0,0,0,0.0,0,0,0.25,0.0,0.333333
