CID,dg_3,na_ex_O2,FC_12_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,n,ms,C4_2_O2_2_1,FC_6_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_27_N3_0_/_/_0,FC_14_C4_0_N3_1_O2_2_O2_2_/_1_1_2_/_0_1_-1_0,FC_3_C4_0_/_/_0,FC_1_C4_0_H1_1_/_1_/_0_0,bd_in_2,na_ex_N3,LeafAC_C4_C4_1,na_in_O2,LeafAC_N3_C4_1,LeafAC_C4_O2_1,FC_22_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,P5_4_S2_2_1,C4_2_S2_2_1,C4_4_O2_2_1,FC_15_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_65_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_62_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,C4_2_C4_2_2,FC_101_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_49_C4_0_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_45_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_59_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_80_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
9161,0.2,0.0,0.0,0.156863,0.148118,0.0,0.0,0.0,0.0,0.5,0.666667,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.75,0,0,0,0,0
7410,0.05,0.142857,0.0,0.0980392,0.124932,0.0,0.0,0.0,0.0,0.0,0.416667,0.3,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
12348,0.0,0.142857,0.0,0.0980392,0.0646652,0.5,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.142857,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
16295,0.05,0.0,0.0,0.137255,0.0573521,0.0,0.0,0.0,0.0,0.125,0.416667,0.3,0.0,0.6,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
222865,0.3,0.285714,0.0,0.333333,0.0743213,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.4,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0
7519,0.05,0.142857,0.0,0.0784314,0.1117,0.0,0.0,0.0,0.0,0.0,0.416667,0.3,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
7519,0.05,0.142857,0.0,0.0784314,0.1117,0.0,0.0,0.0,0.0,0.0,0.416667,0.3,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
7519,0.05,0.142857,0.0,0.0784314,0.1117,0.0,0.0,0.0,0.0,0.0,0.416667,0.3,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
7519,0.05,0.142857,0.0,0.0784314,0.1117,0.0,0.0,0.0,0.0,0.0,0.416667,0.3,0.0,0.0,0.0,0.0,0.5,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
8418,0.2,0.0,0.0,0.196078,0.140263,0.0,0.0,0.0,0.0,0.5,0.833333,0.7,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.75,0,0,0,0,0
6780,0.3,0.285714,0.0,0.235294,0.193818,0.0,0.0,0.0,0.0,0.5,0.666667,0.6,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
240,0.05,0.142857,0.0,0.0784314,0.146894,0.0,0.0,0.0,0.0,0.0,0.416667,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
2331,0.05,0.142857,0.0,0.0980392,0.146511,0.0,0.0,0.0,0.0,0.0,0.416667,0.3,0.5,0.0,0.0,0.5,0.0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0,0
241,0.0,0.0,0.0,0.0392157,0.100989,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.75,0,0,0,0,0
