CID,na_in_C4,FC_9_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_11_C4_0_Cl1_1_/_1_/_0_0,C4_3_N3_3_1,na_ex_C4,ms,LeafAC_O2_P5_2,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_3_C4_0_/_/_0,FC_7_O2_0_/_/_0,C4_2_N3_2_1,LeafAC_O2_C4_1,FC_24_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,LeafAC_C4_C4_1,na_ex_Br1,LeafAC_O2_N3_2,N3_3_S6_4_1,S2_2_S2_2_1,na_ex_Cl1,FC_18_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_6_N3_0_H1_1_/_1_/_0_0,LeafAC_S2_P5_2,n,FC_13_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,LeafAC_C4_S2_1,FC_44_C4_0_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_2_1_1_/_0_0_0_0_0_0,LeafAC_O2_S4_2,LeafAC_N3_C4_3,FC_30_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_77_C4_0_O2_1_H1_2_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,FC_100_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,C4_2_C4_2_1,C4_2_N3_3_1,C4_2_N3_3_2,na_ex_F1,LeafAC_F1_C4_1,na_ex_S4,FC_56_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_60_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_3_C4_3_1,FC_131_C4_0_Br1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,C4_3_O2_2_1,FC_47_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,C4_2_C4_2_2,C4_2_C4_4_1,LeafAC_Br1_C4_1,FC_99_C4_0_O2_1_C4_1_H1_2_H1_2_Cl1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_197_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,na_ex_S2,FC_85_P5_0_S2_1_/_2_/_0_0
1547484,0.666667,0.0,0.0,0.166667,0.0,0.103019,0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.392857,0.0,0,0,0,0.0,0,0,0,0.818182,0.555556,0,0.0,0.0,0,0,0,0.2,0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0
77918,0.25641,0.0,0.0,0.0,0.0,0.138078,0,0.0,0.125,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.107143,0.0,0,0,0,0.0,0,0,0,0.181818,0.333333,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.428571,0.0,0.0,0,0,0.0,0
10328,0.205128,0.0,0.0,0.0,0.0,0.105299,0,0.0,0.25,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.25,0,0.0535714,0.0,0,0,0,0.0,0,0,0,0.272727,0.0,0,0.0,0.0,0,0,0,0.1,0,0.0,0.0,0.142857,0.0,0.0,0,0,0.0,0
114946,0.205128,0.0,0.0,0.0,0.0,0.131013,0,0.0,0.125,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0535714,0.0,0,0,0,0.0,0,0,0,0.181818,0.0,0,0.0,0.0,0,0,0,0.1,0,0.1,0.0,0.285714,0.0,0.0,0,0,0.0,0
8274,0.282051,0.0,0.0,0.0,0.142857,0.192728,0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0,0.214286,0.0,0,0,0,0.0,0,0,0,0.181818,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.285714,0.25,0.0,0,0,0.0,0
5842,0.153846,0.0,0.0,0.0,0.285714,0.168052,0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0,0.160714,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.5,0.0,0,0,0.0,0
51399529,0.0512821,0.0,0.0,0.0,0.285714,0.2153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0535714,0.0,0,0,1,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
55245,0.615385,0.0,0.0,0.0,0.357143,0.0933448,0,0.0,0.5,0.0,0.0,0.142857,0.0,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.464286,0.0,0,0,0,0.0,0,0,0,0.363636,0.0,0,0.0,0.0,0,0,0,0.5,0,0.0,0.0,0.142857,0.75,0.0,0,0,0.0,0
439570,0.153846,0.0,0.0,0.0,0.285714,0.0701991,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0892857,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
16724,0.153846,0.0,0.0,0.0,0.285714,0.0701991,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0892857,0.0,0,0,0,0.0,0,0,0,0.0909091,0.0,0,0.0,0.0,0,0,0,0.1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
6416,0.0,0.0,0.0,0.0,0.428571,0.0278781,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0178571,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
4740,0.230769,0.0,0.0,0.833333,0.285714,0.145772,0,0.0,0.25,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.25,0.0,0,0,0,0.0,0,0,0,0.272727,0.222222,0,0.0,0.0,0,0,0,0.1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0
54684598,0.435897,0.0,0.0,0.0,0.142857,0.17918,0,0.0,0.5,0.2,0.0,0.142857,0.0,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.303571,0.0,0,0,0,0.0,0,0,0,0.363636,0.0,0,0.0,0.0,0,0,0,0.5,0,0.2,0.0,0.428571,0.0,0.0,0,0,0.0,0
456201,0.615385,0.0,0.5,0.166667,0.142857,0.201942,0,0.0,0.5,0.6,0.333333,0.0,0.0,0.1,0.0,0.0,0,0,0.5,0.0,0.0,0,0.535714,0.0,0,0,0,0.0,0,0,0,0.272727,0.777778,0,0.0,0.0,0,0,0,0.0,0,0.2,0.0,0.428571,0.25,0.0,0,0,0.0,0
73214,0.384615,0.0,0.0,0.666667,0.214286,0.169304,0,0.0,0.25,0.2,0.333333,0.142857,0.5,0.1,0.0,0.0,0,0,0.0,0.0,0.0,0,0.392857,0.0,0,0,0,0.0,0,0,0,0.181818,0.555556,0,0.333333,0.333333,0,0,0,0.0,0,0.2,0.0,0.142857,0.0,0.0,0,0,0.0,0
