CID,na_in_C4,na_ex_Cl1,LeafAC_C4_C4_1,LeafAC_O2_C4_1,C4_3_C4_4_1,ms,dg_in_2,na_ex_S2,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_O2_2_1,C4_2_N3_3_1,LeafAC_C4_C4_2,LeafAC_O2_C4_2,LeafAC_O2_N3_1,C4_2_C4_2_1,FC_2_C4_0_/_/_0,n_in,na_ex_C4,LeafAC_O2_P5_2,N3_2_N3_2_2,LeafAC_O2_S6_1,na_in_S2,LeafAC_F1_C4_1,na_ex_N3,FC_1_C4_0_H1_1_/_1_/_0_0,FC_16_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,C4_2_N3_2_1,dg_in_4,FC_72_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_54_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,dg_2,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_62_C4_0_C4_1_N3_2_/_1_3_/_0_0_0,FC_55_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,N3_3_N3_3_1,FC_70_C4_0_H1_1_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_56_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_20_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_86_C4_0_H1_1_C4_1_H1_2_H1_2_/_1_2_1_1_/_0_0_0_0_0,FC_97_C4_0_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_66_O2_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,FC_37_O2_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,N3_2_S6_4_1,FC_246_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_1_/_0_1_0_0_0_0_0_0_0_0,na_ex_Br1,FC_36_P5_0_O2_1_C4_2_H1_3_H1_3_H1_3_O2_1_C4_2_H1_3_H1_3_H1_3_S2_1_/_1_1_1_1_1_1_1_1_1_1_2_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_44_C4_0_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_2_1_1_/_0_0_0_0_0_0,FC_101_C4_0_H1_1_H1_1_C4_1_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_132_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_22_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_75_C4_0_H1_1_H1_1_C4_1_H1_2_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_8_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,LeafAC_C4_O2_1,O2_2_O2_2_1,C4_3_C4_3_1,FC_23_C4_0_Br1_1_/_1_/_0_0,rank,FC_140_O2_0_N3_1_O2_2_O2_2_/_1_1_2_/_0_1_-1_0,FC_159_C4_0_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_15_S2_0_/_/_0,FC_95_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_3_N3_2_1,C4_2_C4_3_2,FC_108_C4_0_H1_1_O2_1_H1_2_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_17_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_38_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_89_C4_0_H1_1_H1_1_C4_1_H1_2_O2_2_/_1_1_1_1_2_/_0_0_0_0_0_0,FC_6_N3_0_/_/_0,FC_121_N3_0_H1_1_C4_1_S2_2_N3_2_H1_3_H1_3_/_1_1_2_1_1_1_/_0_0_0_0_0_0_0,FC_242_C4_0_O2_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3003,0.666667,0.0,0.5,0.375,0.75,0.0954155,0.434783,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0714286,0.1,0.6,0.444444,0,0,0,0.0,0.125,0.0,0.333333,0.0,0.0,0.0,0,0.0,0.291667,0.307692,0.0,0.0,0,0,0.0,0.333333,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.333333,0.0,0,0.111111,0.0,0.571429,0,0,0.0,0,0.0,0.125,0,0.166667,0.0,0,0.0,0,0
3641,0.703704,0.0,0.5,0.25,0.5,0.0865436,0.521739,0.0,0.0,0.125,0.0,0.0,0.75,0.0,0.214286,0.1,0.666667,0.444444,0,0,0,0.0,0.0,0.0,0.266667,0.0,0.0,0.0,0,0.0,0.416667,0.615385,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.333333,0.0,0,0.333333,0.0,0.571429,0,0,0.0,0,0.0,0.125,0,0.166667,0.0,0,0.0,0,0
2863,0.703704,0.0,0.5,0.125,0.5,0.093195,0.521739,0.0,0.0,0.125,0.0,0.0,1.0,0.0,0.214286,0.1,0.666667,0.444444,0,0,0,0.0,0.0,0.0,0.266667,0.0,0.0,0.0,0,0.0,0.416667,0.615385,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.333333,0.0,0,0.333333,0.0,0.571429,0,0,0.0,0,0.0,0.125,0,0.0,0.0,0,0.0,0,0
4763,0.37037,0.0,0.166667,0.0,0.375,0.134596,0.434783,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.142857,0.1,0.4,0.222222,0,0,0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0,0.0,0.291667,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.285714,0,0,0.0,0,0.666667,0.125,0,0.0,0.0,0,0.0,0,0
4099,0.148148,0.0,0.333333,0.0,0.25,0.102193,0.26087,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.2,0.555556,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0416667,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.142857,0,0,0.0,0,0.333333,0.0,0,0.0,0.0,0,0.0,0,0
2907,0.185185,0.2,0.0,0.0,0.0,0.169131,0.217391,0.0,0.0,0.125,0.285714,0.0,0.0,0.0,0.142857,0.0,0.3,0.222222,1,0,0,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0,0.0,0.291667,0.230769,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.142857,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.25,0,0
439739,0.666667,0.0,0.333333,0.25,0.5,0.0749569,0.434783,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.214286,0.1,0.6,0.333333,0,0,0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0,0.0,0.333333,0.538462,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.333333,0.0,0,0.444444,0.0,0.571429,0,0,0.0,0,0.0,0.125,0,0.166667,0.0,0,0.0,0,0
3640,0.666667,0.0,0.333333,0.375,0.5,0.081007,0.434783,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.214286,0.1,0.6,0.333333,0,0,0,0.0,0.0,0.0,0.266667,0.0,0.0,0.0,0,0.0,0.333333,0.538462,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.333333,0.0,0,0.333333,0.0,0.571429,0,0,0.0,0,0.0,0.125,0,0.166667,0.0,0,0.0,0,0
4894,0.666667,0.0,0.333333,0.375,0.5,0.0880691,0.434783,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.142857,0.1,0.6,0.333333,0,0,0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0,0.0,0.333333,0.384615,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.333333,0.0,0,0.333333,0.0,0.571429,0,0,0.0,0,0.0,0.125,0,0.166667,0.0,0,0.0,0,0
3036,0.481481,0.5,0.0,0.0,0.0,0.29661,0.478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.2,0.433333,0.111111,0,0,0,0.0,0.0,0.0,0.533333,0.0,0.0,0.0,0,0.0,0.333333,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.222222,0.0,0.285714,0,0,0.0,0,0.0,0.5,0,0.0,0.0,0,0.0,0,0
5759,0.222222,0.3,0.0,0.125,0.0,0.379329,0.26087,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.2,0.111111,0,0,0,0.0,0.0,0.0,0.133333,0.25,0.0,0.0,0,0.0,0.0833333,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.111111,0.0,0.142857,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0
