CID,na_in_C4,na_ex_Cl1,LeafAC_O2_C4_1,na_ex_C4,LeafAC_O2_C4_2,ms,C4_2_N3_3_1,FC_11_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_N3_2_1,FC_3_C4_0_/_/_0,na_ex_S2,FC_9_O2_0_/_/_0,rank,LeafAC_C4_N3_1,na_ex_Br1,LeafAC_C4_O2_1,FC_1_C4_0_H1_1_/_1_/_0_0,LeafAC_O2_N3_2,C4_2_O2_2_1,FC_22_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_13_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,N3_3_N3_3_1,FC_67_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_32_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,na_ex_O2,na_in_S2,LeafAC_O2_S4_2,FC_51_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,C4_2_C4_4_1,C4_2_C4_3_2,FC_50_P5_0_O2_1_C4_2_H1_3_H1_3_H1_3_O2_1_C4_2_H1_3_H1_3_H1_3_S2_1_/_1_1_1_1_1_1_1_1_1_1_2_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_102_C4_0_O2_1_C4_1_H1_2_Cl1_2_Cl1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_42_C4_0_H1_1_Cl1_1_/_1_1_/_0_0_0,FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_122_O2_0_N3_1_O2_2_O2_2_/_1_1_2_/_0_1_-1_0,FC_25_C4_0_Br1_1_/_1_/_0_0,FC_65_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_70_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,LeafAC_C4_C4_1,FC_82_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0
31268,0.133333,0.0,0.0,0.0,0.0,0.0158285,0.0,0.0,0.5,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.307692,0,0.0,0,0,0.0,0
31374,0.0,0.0,0.0,0.444444,0.166667,0.0296207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.111111,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.166667,0
9259,0.133333,0.0,0.0,0.0,0.0,0.0712679,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
9260,0.133333,0.0,0.0,0.0,0.0,0.0712679,0.0,0.0,0.5,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
10932,0.0333333,0.0,0.125,0.333333,0.166667,0.0416889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.222222,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.166667,0
4837,0.133333,0.0,0.0,0.0,0.0,0.0215752,0.0,0.0,1.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.307692,0,0.0,0,0,0.0,0
8082,0.166667,0.0,0.0,0.0,0.0,0.0144763,0.0,0.0,0.5,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.384615,0,0.0,0,0,0.0,0
12290,0.166667,0.0,0.0,0.0,0.166667,0.0696904,0.0,0.0,0.5,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.111111,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
8871,0.166667,0.0,0.0,0.0,0.166667,0.0696904,0.0,0.0,0.25,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.111111,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
743,0.1,0.0,0.25,0.222222,0.333333,0.0668137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.444444,0.0,0,0,0.0,0.0,0,0,0.0,0.0769231,0,0.0,0,0,0.0,0
7972,0.133333,0.0,0.0,0.111111,0.0,0.026045,0.285714,0.0,0.0,0.0,0.0,0.2,0.142857,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.307692,0,0.0,0,0,0.0,0
12755,0.166667,0.0,0.0,0.111111,0.166667,0.0573855,0.142857,0.0,0.0,0.0,0.0,0.0,0.142857,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.111111,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
2230,0.2,0.0,0.0,0.222222,0.166667,0.0420833,0.285714,0.0,0.0,0.1,0.0,0.0,0.142857,0.25,0.0,0.333333,0.0625,0.0,0.0,0.0,0.0,0,0,0.0,0.222222,0.0,0,0,0.0,0.166667,0,0,0.0,0.230769,0,0.0,0,0,0.0,0
5054,0.2,0.0,0.25,0.0,0.0,0.0685635,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.222222,0.0,0,0,0.0,0.333333,0,0,0.0,0.0,0,0.0,0,0,0.0,0
1049,0.166667,0.0,0.0,0.0,0.0,0.0557793,0.0,0.0,0.25,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
66057,0.133333,0.0,0.0,0.111111,0.0,0.019458,0.0,0.0,0.75,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.230769,0,0.0,0,0,0.166667,0
289,0.2,0.0,0.25,0.0,0.0,0.0685635,0.0,0.0,0.0,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.222222,0.0,0,0,0.0,0.333333,0,0,0.0,0.0,0,0.0,0,0,0.0,0
936,0.166667,0.0,0.0,0.111111,0.166667,0.073792,0.0,0.0,0.25,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0,0.0,0.111111,0.0,0,0,0.0,0.166667,0,0,0.0,0.0,0,0.0,0,0,0.0,0
20695,0.133333,0.0,0.0,0.0,0.166667,0.0850356,0.0,0.0,0.5,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0,0,0.0,0.111111,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
8028,0.133333,0.0,0.0,0.0,0.0,0.0246697,0.0,0.0,0.0,0.0,0.0,0.2,0.142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.307692,0,0.0,0,0,0.0,0
6569,0.0,0.0,0.0,0.444444,0.166667,0.0246697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.111111,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.333333,0
