CID,na_in_C4,na_ex_Cl1,LeafAC_O2_C4_1,LeafAC_C4_C4_1,LeafAC_O2_C4_2,ms,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,n_in,na_ex_S2,LeafAC_O2_S6_1,na_ex_C4,LeafAC_O2_P5_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_2_N3_2_1,LeafAC_C4_N3_1,LeafAC_C4_O2_1,FC_1_C4_0_H1_1_/_1_/_0_0,bd_in_2,FC_31_C4_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0,na_in_N3,FC_57_C4_0_F1_1_F1_1_/_1_1_/_0_0_0,FC_12_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,LeafAC_O2_S4_2,S2_2_S2_2_1,FC_237_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_/_0_0_0_0_0_0,N3_2_N3_2_1,FC_25_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_37_C4_0_I1_1_/_1_/_0_0,FC_41_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0
95705,0.0833333,0.0,0.0,0.111111,0.375,0.0857369,0.0,0.107143,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
14507058,0.375,0.0,0.0416667,0.277778,0.25,0.0455089,0.0,0.339286,0.0,0.0,0.291667,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.0833333,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.333333,0.0,0.0
18427648,0.5,0.0,0.0833333,0.0555556,0.25,0.0893611,0.25,0.5,0.0,0.0,0.208333,0.0,0.0,0.333333,0.0,0.0,0.166667,0.392857,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3285,0.354167,0.0,0.0833333,0.0555556,0.0,0.0548214,0.0,0.303571,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.214286,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2663,0.208333,0.0,0.0416667,0.333333,0.25,0.0519961,0.0,0.25,0.0,0.0,0.416667,0.0,0.0,0.0833333,0.25,0.0,0.0,0.107143,0.125,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2726,0.3125,0.0833333,0.0,0.0,0.0,0.0913036,0.0,0.303571,0.0,0.0,0.0833333,0.0,0.111111,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2160,0.375,0.0,0.0,0.0,0.0,0.0514887,0.0,0.321429,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.25,0.0,0.321429,0.291667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2729,0.333333,0.0833333,0.0,0.0,0.0,0.0943457,0.0,0.303571,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.25,0.0,0.285714,0.291667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2729,0.333333,0.0833333,0.0,0.0,0.0,0.0943457,0.0,0.303571,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.25,0.0,0.285714,0.291667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2729,0.333333,0.0833333,0.0,0.0,0.0,0.0943457,0.0,0.303571,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.25,0.0,0.285714,0.291667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2729,0.333333,0.0833333,0.0,0.0,0.0,0.0943457,0.0,0.303571,0.0,0.0,0.0833333,0.0,0.0,0.0,0.0,0.25,0.0,0.285714,0.291667,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
