CID,na_in_C4,LeafAC_O2_C4_1,na_ex_Cl1,LeafAC_C4_C4_1,LeafAC_O2_C4_2,dg_in_1,C4_2_N3_3_1,na_ex_Br1,C4_3_C4_3_2,C4_2_N3_2_1,na_ex_S2,C4_2_C4_2_1,na_ex_F1,FC_3_C4_0_/_/_0,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,LeafAC_O2_N3_2,ms,FC_25_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,C4_2_O2_2_1,N3_3_N3_3_1,LeafAC_C4_C4_2,dg_in_4,FC_61_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,LeafAC_C4_S2_1,C4_4_C4_4_1,na_ex_O2,FC_37_C4_0_O2_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_66_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_1_/_0_0_0_0_0_0_0_0,LeafAC_C4_C4_3,FC_94_C4_0_O2_1_C4_1_H1_2_H1_2_H1_2_/_2_1_1_1_1_/_0_0_0_0_0_0
15531,0.166667,0.0909091,0.0,0.0,0.0,0.0,0.0,0.5,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29534,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0909091,0,0,0,0
12486,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541547,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
16422,0.166667,0.0,0.166667,0.0,0.0,0.25,0.0,0.25,0.166667,0.0,0.5,0.0,0.0,0.0833333,0.0,0.0,0.209582,0.0,0.0,0,0.0,0.0,0,0,0.0,0.181818,0,0,0,0
25912,0.194444,0.0,0.0833333,0.0,0.25,0.25,0.0,0.25,0.166667,0.0,0.0,0.0,0.0,0.0833333,0.0,0.0,0.143416,0.0,0.0,0,0.0,0.0,0,0,0.0,0.181818,0,0,0,0
12002,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417297,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11842,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.166667,0.0,0.0,0.047619,0.0,0.0,0.0,0.0,0.417297,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11414,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0952381,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7236,0.166667,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0952381,0.0,0.0,0.0,0.0,0.137016,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
12754,0.166667,0.0,0.0833333,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0952381,0.0,0.0,0.0,0.0,0.222968,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
61259,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0952381,0.25,0.0,0.0,0.0,0.197141,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11372,0.277778,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0952381,0.0,0.166667,0.0,0.0,0.138926,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
12279,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417297,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7927,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.047619,0.0,0.0,0.0,0.0,0.293046,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
11560,0.166667,0.0,0.0,0.1,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.047619,0.0,0.0,0.0,0.0,0.137016,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
7928,0.166667,0.0,0.0833333,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.047619,0.0,0.0,0.0,0.0,0.222968,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
14082,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.047619,0.25,0.0,0.0,0.0,0.197141,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0
