CID,n_in,C4_3_C4_3_1,C4_2_O2_2_1,FC_29_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_45_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_2_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_11_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,na_ex_O2,N3_2_N3_2_1,ms,C4_2_C4_4_1,FC_57_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_7_O2_0_/_/_0,FC_35_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,LeafAC_O2_C4_1,FC_28_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0
46220502,0.410714,0.333333,0,0,0,0,0,0,0.318021,0,1,0,0,0,0
71226662,0.428571,0.444444,0,0,0,0,0.222222,0,0.449228,0,0,0,0,0,0
75163532,0.232143,0.111111,0,0,0,0,0.222222,0,0.538156,0,0,0,0,0,0
2159,0.160714,0.222222,0,0,0,0.5,0.444444,0,0.272518,0,0,0,0,0,0
24872560,0.267857,0.111111,0,0,0,0,0.222222,0,0.817629,0.666667,0,0,0,0,0
5464098,0.25,0.333333,0,0,0,0,0.333333,0,0.250583,0.333333,0,1,0,0.111111,0
118023034,0.482143,0.222222,0,0,0,0,0,0,0.403953,0,0,0,0,0,0
124081896,0.482143,0.666667,0.5,0,0,0,0.444444,0,0.649951,0,0,0.6,0,0,0
31593,0.160714,0,0,0,0,0,0.333333,0,0.520185,0,0,0,0,0,0
9837243,0.0178571,0,0,0,1,0,0.222222,0,0.0731843,0,0,0,0,0,0
25145656,0.375,0.222222,0,0,0,0,0.111111,0,0.557833,0,0,0,0,0,0
25267009,0.0892857,0.111111,0,1,0,0,0.444444,0,0.517864,0,0,0.2,0,0.333333,0
11962412,0.142857,0.222222,0,0,0,0,0.111111,0,0.743287,0,0,0,0,0,0
135565596,0.446429,0.333333,0.375,0,0,0.5,0.222222,0,0.372835,0,0,0.4,0,0,0
44591583,0.178571,0,0.125,0,0,0,0.111111,0,0.570292,0,0,0.4,0,0,0
57519532,0.392857,0.222222,0,0,0,0.5,0.222222,0,0.463782,0,0,0,0,0,0
67171867,0.25,0.222222,0,0,0,0,0.222222,1,0.537355,0,0,0,0,0.111111,0
16886,0.0892857,0.111111,0,1,0,0,0.333333,0,0.473327,0,0,0.2,0,0.222222,0
54726191,0.303571,0.444444,0.125,0,0,0,0.444444,0,0.551633,0,0,0.2,0,0.111111,0
58460047,0.232143,0.111111,0,0,0,0,0.222222,1,0.951444,0,0,0.2,0,0,0
