CID,na_in_C4,FC_13_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,C4_3_N3_3_1,C4_3_C4_4_1,C4_3_N3_2_1
904,0.181818,0.0,0.0,0.0,0.125
60961,0.318182,0.666667,0.4,0.0,0.25
135401907,0.136364,0.0,0.0,0.0,0.375
5578,0.409091,0.0,0.0,0.0,0.125
1986,0.0,0.0,0.0,0.0,0.125
243,0.181818,0.0,0.0,0.0,0.0
2083,0.272727,0.333333,0.0,0.0,0.0
441074,0.681818,0.333333,0.2,0.0,0.0
2331,0.181818,0.0,0.0,0.0,0.0
27200,0.318182,0.333333,0.0,0.0,0.25
2249,0.363636,0.333333,0.0,0.0,0.0
2756,0.227273,0.0,0.0,0.0,0.5
3120,0.227273,0.0,0.0,0.0,0.25
667467,0.636364,0.0,0.0,0.0,0.0
446220,0.590909,0.0,0.4,0.0,0.0
156391,0.409091,0.0,0.0,0.0,0.0
68617,0.636364,0.0,0.0,0.0,0.0
597,0.0909091,0.0,0.0,0.0,0.375
2950,0.545455,0.0,0.0,0.0,0.0
222786,0.727273,0.0,0.0,0.8,0.0
3016,0.590909,0.0,0.4,0.0,0.0
1548887,0.681818,0.0,0.0,0.0,0.0
3647,0.227273,0.0,0.0,0.0,0.125
3394,0.5,0.0,0.0,0.0,0.0
3325,0.227273,0.0,0.0,0.0,0.25
3371,0.454545,0.0,0.0,0.0,0.25
223368,0.681818,0.0,0.0,0.4,0.0
3639,0.227273,0.0,0.0,0.0,0.125
1983,0.181818,0.0,0.0,0.0,0.125
3672,0.272727,0.0,0.0,0.0,0.0
4946,0.5,0.333333,0.0,0.0,0.0
6989,0.181818,0.0,0.0,0.0,0.0
4740,0.318182,0.0,1.0,0.0,0.125
36679,0.227273,0.0,0.0,0.0,0.25
135398634,0.136364,0.0,0.0,0.0,0.625
5353830,0.272727,0.0,0.2,0.0,0.25
6047,0.272727,0.0,0.0,0.0,0.0
3718,0.590909,0.0,0.4,0.0,0.0
4168,0.318182,0.0,0.0,0.0,0.125
4173,0.0909091,0.0,0.4,0.0,0.0
4680,0.636364,0.0,0.0,0.0,0.0
4421,0.272727,0.0,0.2,0.0,0.125
7005,0.363636,0.0,0.0,0.0,0.0
4488,0.409091,0.0,0.0,0.0,0.375
54675779,0.727273,0.333333,0.0,1.0,0.0
9142,0.818182,0.0,0.0,0.0,0.0
4763,0.363636,0.0,0.0,0.6,0.5
1017,0.181818,0.0,0.0,0.0,0.0
1775,0.590909,0.0,0.0,0.6,0.375
4828,0.409091,0.333333,0.0,0.0,0.125
5994,0.681818,0.0,0.0,0.8,0.0
4754,0.181818,0.0,0.0,0.0,0.125
31423,0.636364,0.0,0.0,0.0,0.0
1046,0.0909091,0.0,0.0,0.0,0.0
338,0.181818,0.0,0.0,0.0,0.0
3478,0.818182,0.0,0.0,0.0,0.625
3033,0.5,0.0,0.0,0.0,0.25
5329,0.318182,0.0,0.0,0.0,0.125
5327,0.363636,0.0,0.0,0.0,0.375
5320,0.181818,0.0,0.0,0.0,0.0
5215,0.363636,0.0,0.0,0.0,0.25
39147,0.5,1.0,0.0,0.0,0.0
7950,0.181818,0.0,0.0,0.0,0.0
5426,0.5,0.0,0.6,0.0,0.25
1135,0.0909091,0.0,0.0,0.0,0.375
5324289,0.636364,0.0,0.2,0.6,0.0
1174,0.0909091,0.0,0.0,0.0,0.375
1175,0.136364,0.0,0.0,0.0,1.0
174174,0.590909,0.0,0.4,0.0,0.0
9502,0.227273,0.0,0.2,0.0,0.25
4044,0.454545,0.0,0.0,0.0,0.25
5505,0.318182,0.0,0.0,0.0,0.25
5284371,0.636364,0.333333,0.2,0.6,0.0
441071,0.863636,0.0,0.8,0.6,0.0
978,0.181818,0.0,0.0,0.0,0.0
4649,0.181818,0.0,0.0,0.0,0.0
2206,0.318182,0.0,0.6,0.0,0.0
5959,0.318182,0.333333,0.0,0.0,0.25
5753,0.727273,0.333333,0.0,0.8,0.0
2955,0.454545,0.0,0.0,0.0,0.0
4909,0.363636,0.0,0.0,0.6,0.25
5870,0.681818,0.0,0.0,0.4,0.0
30951,0.272727,0.0,0.0,0.0,0.0
3385,0.0909091,0.0,0.0,0.0,0.375
441140,0.5,0.0,0.0,0.6,0.0
16562,0.227273,0.0,0.0,0.0,0.25
3365,0.5,0.0,0.0,0.2,0.0
3828,0.409091,0.0,0.0,0.0,0.0
135398737,0.681818,0.0,0.2,0.0,0.375
6230,0.681818,0.0,0.0,0.2,0.0
938,0.136364,0.0,0.0,0.0,0.0
4748,0.818182,0.0,0.4,0.0,0.0
1043,0.181818,0.0,0.0,0.0,0.125
5147,0.181818,0.0,0.0,0.0,0.0
5333,0.181818,0.0,0.0,0.0,0.0
3475,0.545455,0.0,0.0,0.0,0.25
5572,0.818182,0.0,0.0,0.4,0.0
9170,0.727273,0.0,0.0,0.0,0.0
55245,1.0,0.0,0.0,0.2,0.0
