CID,na_in_C4,ms,FC_27_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_37_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_31_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_26_C4_0_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_2_1_1_1_/_0_0_0_0_0_0,FC_25_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,na_ex_Cl1,na_ex_S6,FC_36_C4_0_O2_1_H1_2_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,FC_24_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_S2_2_1,FC_20_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,C4_3_C4_4_1,FC_43_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,na_ex_S2,FC_54_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,N3_3_S6_4_1,FC_11_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,LeafAC_C4_C4_1
1986,0,0.389802,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25
190,0.115385,0.216989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0.269231,0.174739,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0
135401907,0.115385,0.262976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
978,0.153846,0.156395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6009,0.269231,0.0749714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
4075,0.153846,0.184798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4649,0.153846,0.184798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2174,0.423077,0.160094,0,1,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.5
2244,0.153846,0.189397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
3661,0.5,0.0604253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3661,0.5,0.0604253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2284,0.230769,0.165979,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0
2331,0.153846,0.124441,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2337,0.192308,0.0994231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25
243,0.153846,0.161192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7095,0.384615,0.0882263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2471,0.461538,0.158331,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.25
2482,0.269231,0.0660259,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25
7184,0.269231,0.0836277,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25
