CID,bd_in_2,FC_11_C4_0_Cl1_1_/_1_/_0_0,FC_5_N3_0_H1_1_/_1_/_0_0,C4_2_O2_2_1,C4_2_N3_2_2,C4_2_C4_4_1,FC_27_N3_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,C4_3_N3_2_1,FC_21_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_3_S2_2_1,FC_55_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,C4_2_S2_2_1,FC_29_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,C4_2_C4_3_1,na_ex_Br1,FC_25_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,na_ex_O2,na_ex_S4,FC_48_C4_0_H1_1_C4_1_H1_2_Cl1_2_Cl1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_52_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_54_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,dg_1,FC_47_C4_0_S4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,bd_in_3,LeafAC_C4_S4_1,FC_35_C4_0_Br1_1_/_1_/_0_0,LeafAC_Br1_C4_1,LeafAC_O2_S4_2
7005,0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.111111,0,0,0.111111,0,0,0,0,0,0,0,0,0,0,0,0
79858,0.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.333333,1,0,0.222222,0,0,0,0,0,0,0,0,0,1,1,0
10894,0.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.222222,0,0,0.111111,0,0,0,0,0,0,0,0,0,0,0,0
81814,0.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.222222,1,0,0.444444,0,0,0,0,0,0,0,0,0,1,1,0
1983,0.3,0.0,0.0,0.0,0.0,0.0,0,0.2,0,0.0,0,0.0,0,0.0,0.222222,0,0,0.222222,0,0,0,0,0,0,0,0,0,0,0,0
1986,0.2,0.0,0.0,0.0,0.0,0.0,0,0.2,0,1.0,0,0.0,0,0.0,0.0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0
2119,0.3,0.0,0.0,0.5,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.285714,0.333333,0,0,0.111111,0,0,0,0,0,0,0,0,0,0,0,0
2130,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0.0,0,0.857143,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2160,0.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.428571,0.222222,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2165,0.8,0.25,0.333333,0.0,0.0,0.0,0,0.4,0,0.0,0,0.0,0,0.142857,0.888889,0,1,0.111111,0,0,0,0,0,0,0,0,0,0,0,0
174174,0.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.571429,0.777778,0,0,0.222222,0,0,0,1,1,0,0,0,0,0,0,0
2265,0.6,0.0,0.333333,0.0,1.0,0.0,0,0.8,0,1.0,0,0.0,0,0.0,0.0,0,0,0.222222,0,0,0,0,1,0,0,0,0,0,0,0
77918,0.5,0.0,0.0,0.0,0.333333,0.0,0,0.0,0,0.0,0,0.0,0,0.142857,0.222222,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
