CID,na_in_C4,bd_in_2,na_ex_Cl1,ms,C4_3_C4_3_1,FC_2_C4_0_/_/_0,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_39_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_13_S2_0_/_/_0,na_in_O2,FC_43_C4_0_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,N3_2_O2_2_1,LeafAC_C4_C4_2,FC_73_C4_0_H1_1_N3_1_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0,LeafAC_O2_S4_2,FC_36_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_78_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_33_C4_0_H1_1_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_56_C4_0_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_58_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0
1986,0.0,0.142857,0.0,0.443586,0.0,0.1,0.0,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
2244,0.129032,0.214286,0.0,0.226953,0.0625,0.1,0.0,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
30951,0.193548,0.214286,0.25,0.236436,0.0,0.2,0.0,0.0,0.0,0.142857,0,0,1,0,0,0,0,0,0,0
2132,0.354839,0.214286,0.0,0.360784,0.0625,0.1,0.454545,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
60795,0.677419,0.428571,0.5,0.177173,0.0625,0.4,0.909091,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
74989,0.645161,0.5,0.25,0.197083,0.4375,0.4,0.363636,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2256,0.0322581,0.214286,0.25,0.16581,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2284,0.193548,0.214286,0.25,0.201639,0.0625,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2479,0.0967742,0.0,0.0,0.106366,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0
2343,0.419355,0.5,0.25,0.381006,0.0625,0.4,0.181818,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
2441,0.387097,0.5,0.0,0.388529,0.125,0.4,0.0909091,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2540,0.903226,0.857143,0.0,0.167804,0.3125,0.9,0.545455,0.0,0.0,0.571429,0,0,0,0,0,0,0,0,0,0
2554,0.387097,0.5,0.0,0.177906,0.125,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
6854,0.322581,0.428571,0.0,0.158715,0.1875,0.4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
25429,0.193548,0.285714,0.0,0.208366,0.0625,0.3,0.0,0.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5361486,0.354839,0.428571,0.0,0.341685,0.25,0.4,0.181818,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0
5281006,0.419355,0.285714,0.0,0.218956,0.25,0.2,0.0909091,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
2662,0.419355,0.571429,0.0,0.293317,0.0625,0.3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
38103,0.387097,0.214286,0.0,0.195277,0.25,0.1,0.272727,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
2727,0.193548,0.214286,0.25,0.271626,0.0,0.1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
222528,0.580645,0.0,0.0,0.031621,0.1875,0.0,0.818182,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2754,0.580645,0.357143,0.0,0.105992,0.0,0.4,1.0,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
2756,0.16129,0.142857,0.0,0.161878,0.0,0.1,0.272727,0.0,0.333333,0.0,0,0,0,0,0,0,0,0,0,0
2764,0.451613,0.285714,0.0,0.1789,0.1875,0.3,0.545455,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2769,0.612903,0.428571,0.25,0.161401,0.1875,0.2,0.545455,0.0,0.0,0.142857,1,0,0,0,0,0,0,0,0,0
5753,0.516129,0.0714286,0.0,0.0682418,0.25,0.1,0.636364,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5745,0.548387,0.0714286,0.0,0.104615,0.1875,0.1,0.727273,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
5280754,0.903226,0.0,0.0,0.056873,0.75,0.0,0.181818,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
5281708,0.419355,0.5,0.0,0.239981,0.1875,0.4,0.0,0.0,0.0,0.142857,0,0,0,0,0,0,0,0,0,0
2995,0.483871,0.428571,0.0,0.0711943,0.125,0.4,0.363636,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0
5743,0.516129,0.142857,0.0,0.109044,0.0625,0.1,0.363636,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
3019,0.16129,0.285714,0.25,0.39398,0.0,0.2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
3033,0.354839,0.428571,0.5,0.316631,0.125,0.3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
