CID,na_in_C4,na_ex_Cl1,bd_in_2,LeafAC_C4_C4_1,C4_2_C4_2_1,C4_2_O2_2_1,C4_3_C4_3_2,FC_11_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,C4_2_N3_3_1,dg_in_1,FC_30_C4_0_O2_1_C4_1_H1_2_H1_2_H1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,LeafAC_C4_O2_1,FC_28_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,na_ex_F1,na_in_S2,FC_78_C4_0_H1_1_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_63_C4_0_H1_1_H1_1_N3_1_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,LeafAC_O2_N3_1,FC_36_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,ms,FC_77_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_69_C4_0_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,C4_2_N3_2_1,FC_74_C4_0_Cl1_1_Cl1_1_/_1_1_/_0_0_0,FC_29_C4_0_H1_1_H1_1_Cl1_1_/_1_1_1_/_0_0_0_0,FC_42_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_71_C4_0_H1_1_O2_1_/_1_2_/_0_0_0,FC_27_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_79_N3_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_10_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_1_C4_0_H1_1_/_1_/_0_0,C4_3_C4_4_1,FC_39_C4_0_O2_1_N3_1_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,na_ex_Br1,FC_57_C4_0_H1_1_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_85_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_32_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,LeafAC_C4_N3_1,FC_81_C4_0_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,na_ex_S6,FC_50_N3_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_73_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_83_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_15_S2_0_/_/_0,LeafAC_Cl1_C4_1,dg_1,bd_in_3,FC_35_C4_0_Br1_1_/_1_/_0_0,LeafAC_Br1_C4_1,FC_82_N3_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0
298,0.409091,0.2,0.272727,0.0,0.142857,0.0,0.0,0.5,0.0,0.5,0,0.0,0,0.0,0,0,0,0.5,1,0.318036,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.222222,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.2,0,0,0,0,0
3958,0.681818,0.2,0.636364,0.0,0.285714,0.0,0.166667,0.5,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.332214,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.388889,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.2,0,0,0,0,0
4616,0.681818,0.1,0.636364,0.0,0.285714,0.0,0.166667,0.5,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.271909,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.444444,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.1,0,0,0,0,0
6251,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.150247,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
3365,0.590909,0.0,0.636364,0.0,0.0,0.0,0.166667,0.0,0.571429,0.0,0,0.0,0,0.666667,0,0,0,0.0,0,0.258936,0,0,1.0,0,0.0,0,0,0.0,0,0.5,0.388889,0.166667,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
3335,0.681818,0.0,0.545455,0.0,0.571429,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.188124,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.5,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
568,0.545455,0.0,0.545455,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.204592,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.444444,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
240,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.181301,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.277778,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
135401907,0.227273,0.0,0.272727,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.297754,0,0,0.5,0,0.0,0,0,0.0,0,0.0,0.111111,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
5373493,0.227273,0.0,0.181818,0.0,0.142857,0.0,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,1.0,0,0.335019,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.111111,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
6115,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.130838,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.277778,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
7111,0.545455,0.0,0.545455,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.154427,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.444444,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
135398634,0.227273,0.0,0.272727,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.282712,0,0,0.5,0,0.0,0,0,0.0,0,0.0,0.0555556,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
597,0.181818,0.0,0.181818,0.0,0.142857,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.233854,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.111111,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
10008,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.333333,0,0,0,0.0,0,0.204592,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.277778,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
7368,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0,0,0,0.0,0,0.298789,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.277778,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
7519,0.272727,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.333333,0,0.0,0,0,0,0.0,0,0.136661,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.277778,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
1302,0.5,0.0,0.454545,0.166667,0.0,0.0,0.166667,0.0,0.0,0.5,0,0.333333,0,0.0,0,0,0,0.0,0,0.173037,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.333333,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
6713927,0.590909,0.1,0.272727,0.166667,0.0,0.0,0.333333,0.0,0.0,0.0,0,1.0,0,0.0,0,0,0,0.0,0,0.217736,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0555556,0.5,0,0,0,0,1,0.0,0,0,0,0,0,0,0.1,0,0,0,0,0
7150,0.318182,0.0,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.5,0,0.333333,0,0.0,0,0,0,0.0,0,0.180439,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.277778,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
4485,0.590909,0.0,0.454545,0.333333,0.285714,0.0,0.333333,0.0,0.0,1.0,0,0.666667,0,0.0,0,0,0,0.5,0,0.207119,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.277778,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
5288826,0.727273,0.0,0.363636,0.0,0.142857,0.0,0.333333,0.5,0.142857,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.15704,0,0,0.0,0,0.0,0,0,0.0,0,0.5,0.388889,0.5,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.0,0,0,0,0,0
3016,0.681818,0.1,0.636364,0.0,0.285714,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.238187,0,0,0.5,0,0.0,0,0,0.0,0,0.0,0.444444,0.0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.1,0,0,0,0,0
69860,0.181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.216033,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0.0,0,0,0,0,0
4926,0.681818,0.0,0.545455,0.0,0.857143,0.0,0.0,0.0,0.142857,0.5,0,0.0,0,0.0,1,0,0,0.0,0,0.155681,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.444444,0.0,0,0,0,0,0,0.666667,0,0,0,0,0,1,0.0,0,0,0,0,0
5568,0.681818,0.0,0.545455,0.0,0.571429,0.0,0.166667,0.0,0.142857,0.5,0,0.0,0,1.0,1,0,0,0.0,0,0.214702,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.388889,0.0,0,0,0,0,0,0.666667,0,0,0,0,0,1,0.0,0,0,0,0,0
3696,0.772727,0.0,0.545455,0.0,1.0,0.0,0.0,0.0,0.142857,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.107979,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.444444,0.0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0.0,0,0,0,0,0
31374,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0,0,0,0.0,0,0.0850334,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.666667,0,0,1,0,0,0,0.0,0,0,0,0,0
11,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.440991,0,0,0.0,0,1.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.2,0,0,0,0,0
7964,0.272727,0.1,0.272727,0.0,0.285714,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.278863,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.277778,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.1,0,0,0,0,0
727,0.272727,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.646595,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.6,0,0,0,0,0
17348,0.545455,0.5,0.545455,0.0,0.285714,0.0,0.5,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.575124,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.277778,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.5,0,0,0,0,0
16318,0.545455,1.0,0.545455,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,1.0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1.0,0,0,0,0,0
4754,0.272727,0.0,0.272727,0.333333,0.142857,0.0,0.0,0.0,0.0,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.143976,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.222222,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
51605,0.681818,0.0,0.545455,0.166667,0.571429,0.5,0.0,0.0,0.0,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.168804,0,0,0.5,0,0.0,0,0,0.0,0,0.0,0.5,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0
