CID,FC_1_C4_0_H1_1_/_1_/_0_0,na_ex_C4
1548887,0.5,0.6
1302,0.333333,0.6
1775,0.666667,0.0
2247,0.916667,0.2
2727,0.166667,0.4
2733526,1.0,0.8
135398737,0.416667,0.2
3016,0.5,0.2
3019,0.0833333,0.2
3335,0.583333,0.2
3475,0.333333,0.2
3488,0.5,0.2
3639,0.0,0.0
3672,0.166667,1.0
3715,0.416667,0.6
3718,0.5,0.4
3825,0.583333,0.4
3512,0.0,0.8
448537,0.5,0.8
4748,0.416667,0.2
4754,0.166667,0.8
4911,0.166667,1.0
54676228,0.5,0.2
4196,0.5,1.0
5578,0.0833333,0.6
5408,0.166667,0.4
