CID,FC_1_C4_0_H1_1_/_1_/_0_0,na_ex_C4,C4_2_C4_2_1,C4_4_N3_2_1,LeafAC_O2_S6_2,FC_12_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,C4_3_N3_2_1,FC_19_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,C4_3_N3_2_2,FC_28_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,dg_1,bd_in_3,LeafAC_N3_C4_1,na_in_O2,C4_3_O2_2_1,na_ex_S6,FC_23_C4_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0,LeafAC_N3_S6_1,na_in_S6,C4_3_S6_4_1,FC_9_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,C4_2_C4_4_1,C4_4_C4_4_1,FC_20_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_30_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_/_3_1_1_1_1_/_0_0_0_0_0_0,C4_2_N3_2_2,na_in_N3,FC_15_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_32_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,na_ex_F1
1548887,0.5,0.6,0.142857,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,1
1302,0.333333,0.6,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0
1775,0.666667,0.0,0.571429,1,0.0,0.0,0.75,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.5,0.0,0,0
2247,0.916667,0.2,1.0,0,0.0,0.0,0.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,0.0,0,1
2727,0.166667,0.4,0.142857,0,0.5,0.0,0.5,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0.5,0.5,0,0
2733526,1.0,0.8,0.857143,0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0
135398737,0.416667,0.2,0.571429,0,0.0,0.0,0.75,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.0,0.0,0,0
3016,0.5,0.2,0.285714,0,0.0,0.0,0.0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.5,0.0,0,0
3019,0.0833333,0.2,0.0,0,0.5,0.0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0.5,0.0,0,0
3335,0.583333,0.2,0.571429,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0
3475,0.333333,0.2,0.428571,0,0.5,0.0,0.5,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0.75,0.0,0,0
3488,0.5,0.2,0.857143,0,0.5,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0.75,0.0,0,0
3639,0.0,0.0,0.0,0,1.0,0.0,0.25,0,0.0,0,0,0,0,0,0,1,1,1,1,1,1,0.0,0,0,0,0,0.5,0.0,0,0
3672,0.166667,1.0,0.142857,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0
3715,0.416667,0.6,0.142857,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.25,0.0,0,0
3718,0.5,0.4,0.428571,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.25,0.0,0,0
3825,0.583333,0.4,0.428571,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0
3512,0.0,0.8,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0
448537,0.5,0.8,0.285714,0,0.0,1.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0
4748,0.416667,0.2,0.857143,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.75,0.0,0,0
4754,0.166667,0.8,0.142857,0,0.0,0.0,0.25,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.25,0.0,0,0
4911,0.166667,1.0,0.142857,0,0.5,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,0,0,0.25,1.0,1,0
54676228,0.5,0.2,0.571429,0,0.5,0.5,0.75,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0,0,0,1,0.75,0.0,0,0
4196,0.5,1.0,0.571429,0,0.0,0.5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,1,1,0,0.0,0.0,0,0
5578,0.0833333,0.6,0.0,0,0.0,0.0,0.25,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.5,0.0,0,0
5408,0.166667,0.4,0.571429,0,0.0,0.0,0.0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0.0,0.0,0,0
