CID,bd_in_2,na_in_C4,na_in_O2,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_N3_2_1,C4_3_S2_2_1,FC_2_C4_0_/_/_0,FC_7_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_10_C4_0_F1_1_/_1_/_0_0,FC_11_C4_0_Cl1_1_/_1_/_0_0,FC_21_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_24_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_29_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,LeafAC_C4_C4_1
1017,0.3,0.190476,0.0,0.25,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1150,0.4,0.333333,0.0,0.25,0.111111,0.6,0.0,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1318,0.7,0.47619,0.0,0.75,0.444444,0.0,0.0,0.0,0.4,0.0,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775,0.6,0.619048,0.0,1.0,0.222222,0.4,0.0,0.0,0.6,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,0.3,0.190476,0.0,0.25,0.222222,0.4,0.0,0.0,0.2,0.0,0.166667,0.0,0.0,0.0,0.0,1.0,0.0,0.333333
1986,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.166667,0.0,0.0,0.0,0.0,1.0,0.0,0.333333
2119,0.3,0.380952,0.5,0.25,0.333333,0.4,0.0,0.5,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.666667
2130,0.0,0.380952,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2160,0.7,0.761905,0.0,0.5,0.222222,1.0,0.0,0.0,0.0,0.0,0.833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2165,0.8,0.666667,0.0,0.75,0.888889,0.4,0.2,0.0,0.4,0.0,0.833333,0.0,0.0,0.25,0.0,0.0,0.0,0.666667
