CID,dg_4,dg_in_1,dg_in_3,bd_in_2,na_in_S2,na_ex_N3,na_ex_O2,C4_2_C4_2_1,C4_2_C4_3_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_O2_2_1,FC_15_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,FC_16_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_17_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_23_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,LeafAC_C4_N3_1
92044400,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.363636,0.5,0.0,0.583333,0.5,0.0,0.0,0.0,0.0,0.0
118912822,0.0,0.0,0.5,0.571429,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122201421,0.0,0.0,0.5,0.857143,1.0,0.0,0.0,0.0909091,0.25,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0
122551841,0.0,0.0,0.5,1.0,0.5,0.0,0.2,0.181818,1.0,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0
124201820,0.0,0.0,0.5,0.857143,1.0,0.0,0.0,0.0909091,0.25,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0
131801483,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.363636,0.0,0.375,0.5,1.0,0.0,0.0,0.0,0.0,0.0
131986956,1.0,0.0,0.5,0.714286,0.0,0.0,0.2,0.636364,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132427808,0.0,1.0,0.75,0.571429,0.5,0.0,0.4,0.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
134160242,0.0,0.0,0.0,0.428571,1.0,0.0,0.6,0.272727,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
134160243,0.0,0.0,0.0,0.428571,1.0,0.0,0.6,0.272727,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0
135156947,0.0,0.0,0.0,0.857143,0.5,0.0,0.0,0.272727,0.5,0.125,0.416667,0.5,0.0,0.0,0.0,0.0,0.0
137628618,0.5,0.0,1.0,1.0,0.5,1.0,0.0,0.272727,0.75,0.75,0.166667,1.0,1.0,0.0,0.0,0.0,0.0
137628619,0.5,0.0,1.0,1.0,0.5,1.0,0.0,0.272727,0.75,0.75,0.166667,1.0,1.0,0.0,0.0,0.0,0.0
137628637,0.5,0.0,0.5,0.428571,0.5,1.0,1.0,0.272727,0.25,0.125,0.166667,1.0,1.0,0.0,1.0,0.0,1.0
137628657,0.0,0.0,0.5,0.714286,0.0,0.0,0.6,0.363636,0.25,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0
137628658,0.0,0.0,1.0,0.428571,0.0,0.0,0.4,0.636364,0.0,0.625,0.583333,0.5,0.0,0.0,0.0,0.0,0.0
138454768,0.5,0.0,1.0,0.714286,0.5,0.0,0.4,0.272727,0.25,1.0,0.0833333,0.5,0.0,0.0,1.0,0.0,1.0
139035048,0.0,0.0,0.5,0.571429,0.5,0.0,0.6,0.818182,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145874883,0.0,0.0,0.0,0.142857,0.5,0.0,0.6,1.0,0.0,0.125,0.333333,0.0,0.0,0.0,0.0,0.0,0.0
162644604,0.0,0.0,0.5,1.0,0.5,0.0,0.4,0.181818,0.5,0.125,0.5,1.0,0.0,1.0,0.0,0.0,0.0
162661974,0.0,0.0,0.5,1.0,0.5,0.0,0.4,0.181818,0.5,0.125,0.5,1.0,0.0,1.0,0.0,0.0,0.0
