CID,bd_in_2,C4_2_C4_2_2,C4_2_C4_3_2,C4_3_N3_2_1,C4_3_O2_2_1,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_/_/_0,FC_10_C4_0_F1_1_/_1_/_0_0,FC_11_C4_0_Cl1_1_/_1_/_0_0,FC_21_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_24_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0
1017,0.3,0.25,0.4,0.0,0.0,0.363636,0.0,0.0,0.0,0.0,0.0
1150,0.4,0.25,0.6,0.2,0.0,0.454545,0.5,0.0,0.0,0.0,0.0
1318,0.7,0.75,0.0,0.4,0.0,0.727273,0.666667,0.0,0.0,0.0,0.0
1775,0.6,1.0,0.4,0.6,0.0,0.909091,0.5,0.0,0.0,0.0,0.0
1983,0.3,0.25,0.4,0.2,0.0,0.363636,0.166667,0.0,0.0,0.0,1.0
1986,0.2,0.0,0.0,0.2,0.0,0.0,0.166667,0.0,0.0,0.0,1.0
2119,0.3,0.25,0.4,0.0,0.5,0.363636,0.333333,0.0,0.0,0.0,0.0
2130,0.0,0.0,0.0,0.0,0.0,0.272727,0.0,0.0,0.0,0.0,0.0
2160,0.7,0.5,1.0,0.0,0.0,0.818182,0.833333,0.0,0.0,0.0,0.0
2165,0.8,0.75,0.4,0.4,0.0,0.727273,0.833333,0.0,0.25,0.0,0.0
2265,0.6,0.0,0.0,0.8,0.0,0.272727,0.666667,0.0,0.0,0.0,0.0
2474,0.3,0.25,0.2,0.4,0.0,0.363636,0.166667,0.0,0.0,0.0,0.0
2520,0.6,0.5,0.4,0.0,0.0,0.545455,0.333333,0.0,0.0,0.0,0.0
2581,0.6,0.5,0.4,0.4,0.0,0.545455,0.833333,0.0,0.25,1.0,0.0
2585,0.9,0.75,1.0,0.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2725,0.6,0.5,0.6,0.2,0.0,0.818182,0.333333,0.0,0.25,0.0,0.0
2726,0.6,0.5,0.6,0.0,0.0,0.636364,0.666667,0.0,0.25,0.0,0.0
2727,0.3,0.25,0.4,0.4,0.0,0.363636,0.166667,0.0,0.25,0.0,0.0
2733,0.3,0.25,0.2,0.4,1.0,0.272727,0.333333,0.0,0.25,0.0,0.0
2756,0.2,0.0,0.0,0.8,0.0,0.0909091,0.166667,0.0,0.0,0.0,0.0
2764,0.4,0.0,0.6,0.0,0.0,0.363636,0.5,0.5,0.0,0.0,0.0
2995,0.6,0.5,0.8,0.0,0.0,0.727273,0.666667,0.0,0.0,0.0,0.0
3019,0.4,0.25,0.2,0.4,0.0,0.272727,0.333333,0.0,0.25,0.0,0.0
