CID,n,rank,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_C4,na_ex_Cl1,na_ex_F1,na_ex_N3,na_ex_O2,na_ex_S4,na_ex_S6,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_2_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_3_S6_4_1,C4_4_C4_4_1,C4_4_N3_2_1,C4_4_O2_2_1,N3_2_N3_3_1,N3_2_S6_4_1,N3_3_S6_4_1,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_/_/_0,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_4_N3_0_/_/_0,FC_5_C4_0_O2_1_/_2_/_0_0,FC_6_N3_0_H1_1_/_1_/_0_0,FC_7_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_8_C4_0_Cl1_1_/_1_/_0_0,FC_9_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_10_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_11_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_12_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_13_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_14_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_15_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_16_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_17_C4_0_F1_1_/_1_/_0_0,FC_18_O2_0_/_/_0,FC_19_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,FC_20_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_21_S2_0_/_/_0,FC_22_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_23_C4_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0,FC_24_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_25_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_26_C4_0_H1_1_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_27_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_28_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_29_C4_0_S4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_30_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_/_3_1_1_1_1_/_0_0_0_0_0_0,FC_31_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_32_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,LeafAC_C4_C4_1,LeafAC_C4_N3_1,LeafAC_C4_O2_1,LeafAC_C4_S4_1,LeafAC_Cl1_C4_1,LeafAC_F1_C4_1,LeafAC_N3_C4_1,LeafAC_N3_S6_1,LeafAC_O2_C4_1,LeafAC_O2_C4_2,LeafAC_O2_S4_2,LeafAC_O2_S6_2
1548887,0.571429,0.5,0.391304,0.431779,0,0.294118,0.75,0,0.5,0.368421,0.5,0,0.777778,0,0.52381,0,0,0,0,0.6,0,1,0,0.6,1,0,0.142857,0.4,0.777778,0.6,0,0,0,0,0,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.333333,0,0,1,0,1,0,0,0.5,0.5,1,0
1302,0.190476,0.25,0.130435,0.25618,0,0.117647,0.375,0,0.5,0.157895,0.25,0,0.444444,0,0.238095,0,0,0,0,0.6,0,0,0,0.6,0,0,0,0.4,0.666667,0.2,0,0,0,0,0,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0.5,0,0,0,0,0.333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0.333333,0,0,0,0,0,0.5,0.5,0,0
1775,0.285714,0.5,0.391304,0.374097,0,0.470588,0.25,0.5,0,0.526316,0.125,1,0.555556,0,0.428571,0.5,0,0,0,0,0,0,0,0.4,0,0,0.571429,0.8,0.222222,0.2,0,0,0,0,0,0,0,0.75,0.75,0,0,0,0,0,0,1,0,0,0,0,0.666667,0.5,0,0,1,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2247,1,1,1,0.19417,0,1,1,0,0,1,0.875,0,1,0,1,1,0,0,0,0.2,0,1,0,0.2,0,0,1,0.6,0.888889,1,0,0,0,0.571429,0,0.2,0,0,0.75,0.5,0.666667,0,0,0,0,0,0,0,0,0,0.916667,1,0.875,1,0,0.333333,0.333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,1,0,0,0,0,0,0
2727,0.190476,0,0.130435,0.554259,0,0.176471,0.125,0.5,0.5,0.263158,0,0,0.222222,0,0.0952381,0.5,0,0,1,0.4,1,0,0,0.6,0,0,0.142857,0.2,0.222222,0.2,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,1,0,0.166667,0,0,0,0.5,0.666667,0,1,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,1,0,0,0,0,0.5,0,0.5
2733526,0.714286,0.5,0.652174,0.104881,0,0.764706,0.5,0,0.5,0.684211,0.5,0,1,0,0.761905,0,1,0,0,0.8,0,0,0.5,0,0,0,0.857143,1,0.444444,0.6,0,0,0,0,1,0.6,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0.125,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.333333,1,0,0,0,0,0,0,0,0,0,0
135398737,0.47619,0.75,0.565217,0.314679,0,0.529412,0.75,0,0,0.578947,0.625,0,0.666667,0,0.52381,1,0,0,0,0.2,1,0,0,0,0,0,0.571429,0.4,0.333333,0.4,0,0,0,0.571429,0,0.4,0.5,0,0.75,0.5,0.333333,0,0,0,0,0,0,0,0,0,0.416667,1,0.5,0.666667,0,0.333333,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0
3016,0.333333,0.5,0.391304,0.455372,0,0.352941,0.625,0,0,0.473684,0.375,0,0.666667,0,0.428571,0.5,0,0,0,0.2,1,0,0,0.2,0,0,0.285714,0.6,0.555556,0.2,0,0.5,0,0,0,0.4,0.5,0,0,0.5,0.666667,0,0,0,0,0,0,0,0,0,0.5,0.75,0.125,0.333333,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0.5,0,0
3019,0.047619,0.25,0.0869565,0.846377,0,0.0588235,0.25,0.5,0,0.210526,0.125,0,0.333333,0,0.047619,0.5,0,0,1,0.2,1,0,0,0.4,0,0,0,0.2,0.333333,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,1,0,0,0,0,1,0,0.0833333,0.25,0,0.333333,0,0.333333,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,1,0,0,0,0,0,0,0.5
3335,0.285714,0.25,0.304348,0.302307,0,0.411765,0.25,0,0.5,0.368421,0.25,0,0.555556,0,0.428571,0,0,0,0,0.2,0,0,0,0.6,0,0,0.571429,0.6,0.444444,0.4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333,0.5,0.125,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0
3475,0.428571,0.5,0.434783,0.271511,0,0.411765,0.5,0.5,0,0.526316,0.375,0,0.222222,0,0.380952,0.75,0,0,1,0.2,0,0,0,0.6,0,0,0.428571,0.2,0.666667,0.2,0,0,0,0.285714,0,0.2,0,0,0.5,0,0,0,0,1,0,0,0,1,1,0,0.333333,0,0.625,0.333333,0.5,0.666667,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.5,0,0.5
3488,0.952381,0.5,0.782609,0.367366,0,0.764706,0.75,0.5,0,0.947368,0.375,0,0.555556,0,0.761905,0.75,0,0,1,0.2,1,0,0,1,0,0,0.857143,0.4,0.888889,0.4,0,0.5,0,0,0,0.2,0.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0.5,0.5,0.875,0,1,1,0.333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,1,0,0,0,0,1,0,0.5
3639,0.190476,0.25,0.0869565,1,0,0.0588235,0.25,0.5,0,0.210526,0.125,0,0.222222,0,0.047619,0.5,0,0,1,0,1,0,0.5,0.8,0,1,0,0,0.222222,0.2,0,1,0,0,0,0.2,0.5,0,0.25,0,0,0,0,1,0,0,0,0,1,0,0,0.25,0.125,0,0,0.666667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
3672,0.0952381,0,0,0.0606258,0,0.0588235,0.125,0,1,0,0.125,0,0.222222,0,0.0952381,0,0,0,0,1,0,0,0,0.4,0,0,0.142857,0.2,0.333333,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0
3715,0.571429,0.5,0.391304,0.471803,0,0.235294,0.875,0,0.5,0.368421,0.5,0,0.666667,0,0.47619,0.25,0,0,0,0.6,1,0,0,0.8,0,0,0.142857,0.4,0.666667,0.4,0,0,0,0,0,0.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.416667,0.75,0,0.333333,0.5,0,0.333333,1,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0.333333,0,1,0,0,0,0.5,1,0,0
3718,0.380952,0.5,0.347826,0.320349,0,0.294118,0.625,0,0.5,0.315789,0.5,0,0.555556,0,0.428571,0.25,0,0,0,0.4,0,0,0,0.6,0,0,0.428571,0.4,0.333333,0.6,0,0,0,0.142857,0,0.6,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0.5,0.75,0.125,0.333333,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,1,0,0
3825,0.285714,0.25,0.26087,0.302307,0,0.294118,0.375,0,0.5,0.315789,0.25,0,0.555556,0,0.380952,0,0,0,0,0.4,0,0,0,0.6,0,0,0.428571,0.6,0.333333,0.4,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.583333,0.5,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,1,0,0
3512,0.52381,0.5,0.26087,0.45154,0,0,0.875,0.5,0,0.368421,0.125,1,0.333333,0,0.333333,0,1,0,0,0.8,1,0,0,1,0,0,0,0,0.444444,0.2,0,0,0,0,0,0.6,1,0.75,0,0,0,1,0,0,0,0,1,0,0,0,0,0.5,0.125,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333,0,1,0,1,0,0,0,0,1,0,0
448537,0.333333,0.25,0.26087,0.136655,0,0.235294,0.5,0,0,0.421053,0.125,0,0.666667,0,0.380952,0,0,0,0,0.8,0,0,0,0.4,0,0,0.285714,0.4,0.444444,0.6,0,0,0,0,0,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,1,0,0,0
4748,0.666667,0.75,0.695652,0.288076,0,0.705882,0.75,0,0.5,0.631579,0.75,0,0.555556,0,0.666667,0.75,0,1,0,0.2,1,0,0,0.2,0,0,0.857143,0.4,0.333333,0.4,0,0,0,1,0,0.2,0.5,0,0,0,0.666667,0,1,0,0,0,0,0,0,0,0.416667,0.75,0.875,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0
4754,0,0,0,0.16733,0,0.117647,0,0,1,0,0.125,0,0.222222,0,0,0.25,1,0,0,0.8,0,0,0,0.2,0,0,0.142857,0.2,0.222222,0.2,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0.166667,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0.5,0,0
4911,0.285714,0,0.0869565,0.269579,0,0.117647,0.125,0.5,1,0.105263,0.125,0,0.222222,0,0.0952381,0.25,0,0,1,1,0,0,0,0.8,0,0,0.142857,0.2,0.222222,0.2,0,0,0,0.285714,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.166667,0,0,0.333333,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.666667,0,0,0,0,0,0,0,0.5,0.5,0,0.5
54676228,0.47619,0.5,0.434783,0.551121,0,0.352941,0.625,0.5,0,0.526316,0.375,0,0.666667,0,0.380952,0.75,0,0,1,0.2,0,0,0,0.8,0,0,0.571429,0.4,0,0.4,0,0,1,0,0,0.6,0.5,0,0.75,0,0.333333,0,0,1,0,0,0,0,0,1,0.5,0.75,0,0.333333,0.5,0.333333,0,0,1,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0.5
4196,0.904762,1,0.695652,0.0873039,0,0.529412,0.875,1,0.5,0.526316,1,0,0.444444,0,0.857143,0,0,0,0,1,0,0,0.5,0.4,0,0,0.571429,0.2,1,0.4,1,0,0,0,0,1,0.5,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.75,0.875,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.666667,1,0,0,0,0,0,0,0.5,0.5,0,0
5578,0.380952,0.25,0.217391,0.258928,0,0.117647,0.625,0,0,0.368421,0.125,0,0.555556,0,0.238095,0.5,0,0,0,0.6,0,0,1,0.6,0,0,0,0,0.444444,0.4,0,0.5,0,0,0,0.4,0.5,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0.0833333,0.25,0.125,0.666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
5408,0.380952,0.75,0.391304,0,0,0.294118,0.5,1,0,0.368421,0.625,0,0,0,0.52381,0,0,0,0,0.4,0,0,0,0.4,0,0,0.571429,0,0.777778,0,0.666667,0,0,0,0,0.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,1,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.666667,0,0,0,0,0,0,0,0.5,0.5,0,0
