CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_ex_C4,na_ex_Cl1,na_ex_N3,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_3_1,C4_3_O2_2_1,C4_4_O2_2_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_O2_2_1,LeafAC_C4_C4_1,LeafAC_C4_N3_1,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_N3_C4_1,LeafAC_N3_C4_3,LeafAC_O2_C4_1,LeafAC_O2_C4_2,LeafAC_O2_N3_1,LeafAC_O2_N3_2,FC_1_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_2_C4_0_H1_1_/_1_/_0_0,FC_3_O2_0_/_/_0,FC_4_C4_0_/_/_0,FC_5_C4_0_O2_1_/_2_/_0_0,FC_6_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_7_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_8_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_9_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_10_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_11_C4_0_Cl1_1_/_1_/_0_0,FC_12_C4_0_H1_1_Cl1_1_/_1_1_/_0_0_0,FC_13_O2_0_N3_1_O2_2_O2_2_/_1_1_2_/_0_1_-1_0,FC_14_C4_0_H1_1_C4_1_H1_2_H1_2_Cl1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_15_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_16_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_17_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_18_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_19_C4_0_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_20_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_21_C4_0_H1_1_H1_1_C4_1_H1_2_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_22_N3_0_/_/_0,FC_23_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_24_N3_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_25_N3_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_26_O2_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_27_C4_0_H1_1_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_2_1_1_1_/_0_0_0_0_0_0_0,FC_28_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_29_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_2_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_30_C4_0_H1_1_C4_1_N3_2_/_1_1_3_/_0_0_0_0,FC_31_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_O2_2
0_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
4_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
5_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
6_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
7_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
8_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
9_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
10_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
11_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
12_373.15_p,5,1,4,4,88.4,0,3,1,0,0,4,0,0,1,0,4,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
