CID,a
13,213.5
240,178.7
241,80.08
243,249.2
244,205.3
289,245.5
307,253
323,301.71
335,191.0
342,202.2
727,311
785,286
798,254
931,217.9
942,247
949,193
996,181.75
1049,115.25
1057,309
1140,110.6
1183,285
1254,214.6
2256,205
2272,293
2345,321.3
2537,209
2758,176
2879,201.9
3026,340
3031,270
3036,260
3314,225
3610,334
4133,222
4684,220
4685,173.9
4837,146
4933,351
5054,280
6115,184.1
6492,172
6501,273.5
6544,215.32
6616,159.5
6623,360.5
6627,305
6629,153
6654,156
6780,377
6781,295
6787,413
6819,345
6877,268
6893,221.5
6895,213
6896,216
6917,91.5
6986,210
6989,233
6998,197
7000,224
7015,299
7017,286
7044,155.5
7047,237.7
7057,306
7061,216.3
7070,402
7095,256.1
7102,302
7111,401
7148,218.0
7237,144.5
7239,180.1
7240,208.8
7242,200.3
7245,174.9
7250,214
7251,241
7255,243
7257,272
7259,214
7296,71.8
7361,171
7362,161.7
7367,220.8
7368,103.46
7372,201
7406,152.4
7407,165.4
7410,202.1
7412,201
7439,230.5
7467,237
7477,262.5
7498,191
7500,136.2
7501,145.3
7503,174
7505,190.7
7515,196.25
7516,243.5
7519,155.5
7521,159.5
7525,138.5
7583,258
7674,172
7693,204
7703,234
7716,298
7732,243
7768,270
7809,138.3
7810,162.4
7811,195
7812,232
7813,200.4
7837,189
7838,153.9
7922,261
7923,202.0
7929,139.1
7930,195
7932,230.5
7933,214
7934,203.3
7937,144
7947,164.7
7950,208
7953,170.4
7961,156.2
7962,100.9
7964,131.6
7965,134.5
7966,161.84
7967,155.6
7975,129.4
8027,129.7
8028,65
8029,31.5
8030,84.0
8078,80.7
8079,83
8082,106
8083,128
8119,138
8227,157
8298,198
8343,384
8370,325
8404,207.6
8413,300
8418,341.3
8438,263
8449,210
8467,285
8554,283.7
8561,342
8635,256
8640,300.7
8686,162.5
8698,250
8712,195
8894,88
9215,345.5
9253,49.2
9265,118.48
9649,470
10049,212
10364,237.5
10387,152
10439,210.6
10492,212
10757,247
10760,258
10871,333
10943,173
10947,329
11121,215
11443,251
11487,302
12145,210
12661,127
13263,337
13904,339
15910,350
16043,295
16562,280
16704,260
16724,230.5
17049,164
17581,268
19244,214.6
19284,360
22044,242
24670,257
26447,210
27867,227
31217,245
31237,328
31268,86.56
31275,101.2
31404,265
33934,370
64685,212
89594,247
122903,269.9
159055,209
165675,214.6
171144,324
220520,470
439568,212
439570,230.5
440968,156
442021,470
443159,210
637511,253
637563,234
657014,212
1201518,212
1549040,234
6552009,212
9543187,209
12242824,212
16213094,171.2
25141463,157
44630107,212
45039692,214.6
69897601,470
101008927,157
