CID,a
13,16.92
227,145
240,-57.12
241,5.558
243,122.35
244,-15.2
307,-7.5
338,159
727,112.5
785,170.5
798,52
931,80.2
936,128.8
942,-79
949,2.1
992,174
996,40.91
1049,-41.6
1054,207
1057,133
1065,177
1115,185.5
1140,-94.9
1183,82
1254,-8
1480,153
1486,138
2078,40.5
2087,104
2244,135
2256,177.0
2286,10
2345,19
2519,236.2
2537,176.5
2728,40.9
2758,1.5
2943,155.5
3026,-35
3030,114.9
3031,144.5
3036,108.5
3048,175.5
3061,255.5
3120,158.5
3249,116.5
3291,64.5
3293,0
3314,-9.15
3589,95.5
3598,165.5
3610,68.25
4115,87
4650,115.7
4684,42.8
4685,53.1
4837,106
4931,77
4933,92
4937,229.7
4944,87
4947,148
5052,264.5
5054,109.8
5147,140
5770,264.5
5953,174.5
5988,185.5
5993,105.5
6028,70
6042,164
6115,-6.0
6129,145
6221,84.5
6281,255.5
6294,109.5
6466,234
6492,32.9
6521,76.5
6544,-8.1
6616,52
6623,160
6627,-22
6641,40
6654,-62.5
6781,-40.5
6824,103
6877,13
6917,13.9
6989,49.6
6998,-7
7015,51
7044,-43
7047,-14.78
7057,112
7095,69
7102,51.0
7111,120
7148,21
7158,180
7175,96.1
7184,68.5
7187,104.5
7204,118.5
7237,-25.16
7239,-16.7
7245,9.8
7257,71.5
7296,-142.5
7361,-14.6
7362,-38.1
7389,232
7406,-96.0
7407,-23.2
7410,19.4
7412,-0.5
7456,125.2
7477,22
7498,-1.5
7500,-94.95
7501,-30.65
7503,-39.4
7505,-12.82
7516,19.5
7519,-37.3
7583,26.865
7652,39
7674,-30.0
7693,31.3
7703,21.3
7716,-14.4
7768,69.3
7809,13.3
7810,7.5
7837,-41.5
7838,-100
7922,119.6
7923,52.56
7929,-47.85
7933,33.5
7937,-5.8
7947,-44.8
7950,62.8
7953,-44.5
7961,-30.6
7962,-126.6
7964,-45.2
7965,-17.7
7966,25.93
7967,-31
7975,-66.65
8027,-23.4
8028,-108.44
8029,-85.61
8030,-39.4
8078,6.47
8082,-7
8083,-4.8
8119,-37
8268,77.5
8342,195
8343,-55
8346,25
8380,-40
8404,-35.8
8418,216
8434,117
8438,37
8447,180
8449,45
8467,76.7
8478,165
8606,172.5
8630,200.5
8635,24.4
8640,49.2
8749,93
8800,171
8894,-49.2
8981,120
9215,111
9250,-80
9253,-93.4
9265,-8.0
9414,85
9649,178
10049,202
10364,1
10492,202
10757,56.5
10777,88
10871,178.5
10943,-24.8
11443,20.5
11485,87
11487,53.5
11493,77.5
12145,19.5
12568,37
13728,135
15965,218.5
16043,127.5
16115,151
16247,93.5
16248,119
18480,111
19244,-8
19583,161.5
21954,299
22188,176
22311,-60
24670,12.2
24685,90
24744,143
27756,-80
31211,40.5
31237,3
31268,-57.79
31275,11.75
31404,70
33599,-50
33934,-4
60963,175.5
61103,104
64685,202
89594,-79
94175,174.5
159055,176.5
165675,-8
168842,90
220520,178
221493,198
222528,177
222547,175.5
439550,170
439551,234
439568,202
440968,-62.5
441074,174.5
441207,255.5
442021,178
444679,170
445354,63
574516,164
637511,-7.5
637552,174.5
637563,21.3
657014,202
667449,174.5
969491,175.5
1201518,202
1548943,65
1549040,21.3
3032576,174.5
3036746,174.5
5273469,39
5280793,116.5
5280795,84.5
5287554,54
5315257,116.5
5317112,174.5
5353527,84.5
5353610,116.5
5365543,-80
5385558,111
5463081,-80
5484444,174.5
5702050,116.5
6040503,111
6372069,116.5
6432478,116.5
6432644,84.5
6478437,175.5
6536972,116.5
6540731,116.5
6552009,202
6604605,174.5
6850753,300
6994089,10
7067801,116.5
9543187,176.5
10448938,174.5
10909559,-80
11003810,116.5
11112419,90
11761472,177
11954021,105.5
12242824,202
12303031,105.5
12310947,104
12310951,104
12358480,200
12358489,175.5
12358497,200
12358706,116.5
12456033,-80
15558051,39
15558252,255.5
16129778,200
16129878,200
16131300,200
16133892,200
16134267,200
16213094,-77
18594026,172.5
24096961,174.5
24112890,116.5
24832091,247.5
24847841,264.5
24860538,104
24860539,105.5
24867865,174.5
44575418,234
44630107,202
44630173,116.5
44630304,234
45039692,-8
46174049,200
46782954,185.5
46783411,255.5
54676825,112
54679407,112
54680660,112
58855793,116.5
66577029,116.5
69897601,178
71299657,116.5
71300666,264.5
71308193,116.5
71311077,116.5
71312306,200
71316037,175.5
86280331,116.5
87070941,116.5
91692850,185.5
91746237,116.5
91884638,116.5
92535137,104
101260859,200
101611446,104
101820673,175.5
122164949,116.5
122172962,116.5
129010310,116.5
129659218,-80
134129492,200
134129658,116.5
134687881,105.5
134687882,175.5
134687884,200
134694848,116.5
134715773,116.5
