CID,n,cs,ch,bl_2,ms,dg_co_1,dg_co_2,dg_co_3,dg_co_4,dg_nc_1,dg_nc_2,dg_nc_3,dg_nc_4,bd_co_2,bd_co_3,bd_in_2,bd_in_3,bd_ex_2,bd_ex_3,ns_co_C3,ns_co_C2,ns_co_O2,ns_co_N3,ns_co_N2,ns_co_C4,ns_nc_O1,ns_nc_C2,ns_nc_N2,ns_nc_C3,ns_nc_C1,ns_nc_N1,ns_nc_O2,ns_nc_N3,ns_nc_C4,ec_co_C2_C3_2,ec_co_C2_C2_1,ec_co_C2_C3_1,ec_co_C2_C2_2,ec_co_C2_O2_1,ec_co_C3_C3_2,ec_co_C3_C3_1,ec_co_C3_O2_1,ec_co_C3_N3_1,ec_co_C2_N2_1,ec_co_C4_C4_1,ec_co_C3_C4_1,ec_co_C2_N3_1,ec_co_C2_N2_2,ec_co_C3_N2_1,ec_co_N2_N2_1,ec_co_C4_O2_1,ec_co_C2_C4_1,ec_co_O2_O2_1,ec_co_C3_N2_2,ec_in_N2_C3_1,ec_in_C3_N2_1,ec_in_C3_C2_1,ec_in_C2_C2_2,ec_in_O2_C2_1,ec_in_C2_O2_1,ec_in_C2_C2_1,ec_in_N3_C2_1,ec_in_C2_C3_1,ec_in_C4_C2_1,ec_in_C2_C3_2,ec_in_C3_C3_1,ec_in_C3_O2_1,ec_in_C2_N2_1,ec_in_C3_N3_1,ec_in_O2_O2_1,ec_in_C3_C4_1,ec_ex_C3_C2_1,ec_ex_C2_O1_1,ec_ex_C3_C1_1,ec_ex_C2_C1_1,ec_ex_C2_C2_1,ec_ex_C2_O1_2,ec_ex_C3_N1_1,ec_ex_C2_C1_2,ec_ex_C3_O1_2,ec_ex_C2_C3_1,ec_ex_C3_O1_1,ec_ex_C4_C1_1,ec_ex_O2_C1_1,ec_ex_C3_O2_1,ec_ex_C3_C3_1,ec_ex_C2_N1_3,ec_ex_C3_C1_2,ec_ex_N2_N1_1,ec_ex_C3_N2_1,ec_ex_N3_C2_1,ec_ex_N2_C1_1,ec_ex_N3_C1_1,ec_ex_C3_N3_1,ec_ex_C3_C4_1,ec_ex_O2_C3_1,ec_ex_C2_N1_1,ec_ex_N3_C3_1,ec_ex_O2_C4_1,ec_ex_C3_C3_2,ec_ex_O2_C2_1,ec_ex_O2_O1_1,ec_ex_C4_O2_1,nsH
244,8,6,2,0,125,0,5,1,0,1,1,0,0,3,0,0,0,0,0,1,5,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
7589,16,6,4,2,122.5,0,4,2,0,4,4,2,0,3,0,0,0,0,0,2,4,0,0,0,0,0,2,2,2,4,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
307,10,6,4,1,124,0,5,1,0,1,3,0,0,3,0,1,0,1,0,1,5,0,0,0,0,1,3,0,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8028,5,5,0,0,128,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
6893,9,6,1,0,122.222,0,3,3,0,3,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
17049,9,3,6,1,128.889,0,2,1,0,1,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
7501,8,6,2,0,120,0,5,1,0,1,1,0,0,3,0,0,0,1,0,1,5,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
25141463,20,10,6,1,125,0,3,7,0,4,5,1,0,1,0,0,0,2,0,6,3,0,1,0,0,2,5,0,1,2,0,0,0,0,0,0,4,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
8341,17,14,1,0,125.882,0,7,7,0,3,0,0,0,6,0,0,0,2,0,7,7,0,0,0,0,2,0,0,0,0,1,0,0,0,3,2,3,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
7929,8,6,1,0,120,0,4,2,0,2,0,0,0,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
