CID,rank,n_in,ms,dg_2,dg_3,dg_in_2,bd_in_2,na_in_C4,na_ex_C4,na_ex_O2,na_ex_Si4,C4_2_C4_2_2,C4_2_C4_3_2,FC_2_C4_0_H1_1_/_1_/_0_0,FC_9_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_10_C4_0_/_/_0,LeafAC_C4_C4_1,LeafAC_C4_Si4_1,LeafAC_O2_C4_1
0,0,0.0416667,0,0.05,0,0,0,0.047619,0.222222,0,0,0,0,0,0,0,0.25,0,0
1,0,0.0833333,0.0144048,0.1,0,0,0,0.0952381,0.222222,0,0,0,0,0,0,0,0.25,0,0
2,0,0.125,0.0250518,0.15,0,0.05,0,0.142857,0.222222,0,0,0,0,0,0,0,0.25,0,0
3,0,0.166667,0.0332418,0.2,0,0.1,0,0.190476,0.222222,0,0,0,0,0,0,0,0.25,0,0
4,0,0.208333,0.0397373,0.25,0,0.15,0,0.238095,0.222222,0,0,0,0,0,0,0,0.25,0,0
5,0,0.25,0.0450149,0.3,0,0.2,0,0.285714,0.222222,0,0,0,0,0,0,0,0.25,0,0
6,0,0.291667,0.0493878,0.35,0,0.25,0,0.333333,0.222222,0,0,0,0,0,0,0,0.25,0,0
7,0,0.375,0.0562137,0.45,0,0.35,0,0.428571,0.222222,0,0,0,0,0,0,0,0.25,0,0
8,0,0.458333,0.0612969,0.55,0,0.45,0,0.52381,0.222222,0,0,0,0,0,0,0,0.25,0,0
9,0,0.5,0.063381,0.6,0,0.5,0,0.571429,0.222222,0,0,0,0,0,0,0,0.25,0,0
10,0,0.541667,0.0652291,0.65,0,0.55,0,0.619048,0.222222,0,0,0,0,0,0,0,0.25,0,0
11,0,0.833333,0.0782867,0.8,1,0.9,0,0.952381,0.555556,0,0,0,0,0,0,0,1,0,0
12,0,0,0.0144048,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,0,0
13,0,0,0.0144048,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,0,0
14,0,0,0.0250518,0,0,0,0,0,0.388889,0,0,0,0,0,0,0,0.625,0,0
15,0,0.0416667,0.0250518,0.05,0,0,0,0.047619,0.333333,0,0,0,0,0,0,0,0.5,0,0
16,0,0.0833333,0.0250518,0.1,0,0,0,0.0952381,0.277778,0,0,0,0,0,0,0,0.375,0,0
17,0,0.0416667,0.0332418,0,0.25,0,0,0.047619,0.388889,0,0,0,0,0,0,0,0.625,0,0
18,0,0.0416667,0.0332418,0.05,0,0,0,0.047619,0.388889,0,0,0,0,0,0,0,0.625,0,0
19,0,0.0833333,0.0332418,0.05,0.25,0,0,0.0952381,0.333333,0,0,0,0,0,0,0,0.375,0,0
