CID,a
4,374
6,432
11,440
13,571
34,425
174,398
176,485
177,185
180,465
196,422
222,630
240,192
241,498
243,570
244,436
261,230
263,345
264,452
281,605
284,520
289,510
297,537
300,470
335,555
338,540
342,575
356,220
398,428
402,270
460,335
527,207
650,365
674,400
679,215
700,410
702,400
712,430
753,393
768,538
783,560
785,515
787,265
795,480
875,425
887,440
931,540
936,480
938,580
942,240
949,371
957,253
980,490
996,715
999,543
1030,420
1031,371
1032,485
1049,482
1068,205
1127,200
1133,350
1140,480
1146,190
1567,295
1732,590
1983,540
2345,480
2347,425
2537,466
2879,555
3024,515
3026,402
3102,650
3301,385
3346,365
3776,456
4101,390
4133,451
4284,358
4650,560
4685,640
4735,450
4837,320
5054,607
5281,395
5447,260
5541,433
5565,335
5801,190
5930,531
5976,249
5984,360
6054,410
6061,196
6108,300
6115,630
6163,360
6173,244
6174,244
6228,440
6276,320
6278,537
6318,545
6323,537
6324,472
6325,490
6326,305
6327,632
6328,355
6329,430
6332,511
6334,450
6337,519
6338,472
6339,385
6341,385
6342,524
6343,299
6344,605
6348,90
6354,429
6360,460
6363,355
6365,458
6366,530
6367,390
6368,455
6369,640
6370,522
6372,632
6375,417
6378,430
6386,470
6388,632
6394,254
6397,395
6398,380
6399,490
6410,238
6417,560
6428,680
6490,393
6492,503
6497,470
6527,385
6535,452
6537,370
6544,460
6547,64
6549,235
6556,420
6557,220
6558,378
6560,415
6561,165
6562,295
6564,557
6567,416
6568,406
6569,505
6570,491
6571,610
6573,557
6575,410
6579,424
6581,395
6584,505
6585,200
6586,504
6587,410
6588,335
6590,481
6593,585
6616,265
6658,421
6780,650
6781,457
6782,423
6810,450
6811,570
6893,545
6896,520
6901,610
6917,364
6923,335
6944,420
6945,487
6946,521
6947,550
6954,300
6977,465
6996,385
7000,430
7002,529
7017,530
7040,620
7044,255
7047,480
7048,464
7061,630
7070,350
7071,560
7095,540
7098,310
7102,450
7108,471
7187,80
7220,210
7237,463
7239,648
7242,480
7247,500
7248,580
7250,520
7251,560
7257,269
7259,520
7261,475
7262,540
7265,500
7276,498
7282,278
7285,304
7288,452
7293,400
7294,468
7295,465
7302,455
7343,450
7354,290
7360,280
7361,390
7362,315
7367,211
7390,510
7397,492
7406,420
7407,574
7410,535
7411,525
7412,197.2
7415,215
7416,480
7443,420
7463,435
7473,450
7489,496
7497,250
7499,269
7500,432
7501,490
7503,585
7505,550
7516,174
7519,475
7525,185
7570,240
7582,255
7583,610
7612,640
7618,324
7621,165
7622,210
7636,252
7641,340
7670,480
7672,300
7720,270
7728,504
7732,515
7751,452
7757,280
7761,435
7765,230
7766,445
7767,265
7768,375
7771,599
7773,112
7809,528
7810,595
7812,685
7813,480
7814,400
7833,393
7834,370
7835,385
7838,264
7840,490
7843,365
7844,385
7845,414
7847,234
7850,390
7852,320
7853,371
7854,510
7855,481
7858,378
7860,285
7865,449
7868,391
7869,305
7870,306
7881,420
7884,400
7892,264
7895,505
7896,394
7900,270
7902,220
7903,421
7904,385
7909,460
7912,316
7914,443
7915,425
7918,316
7923,477
7929,527
7934,480
7935,560
7947,550
7949,590
7958,396
7961,566
7962,258
7964,590
7965,293
7966,300
7967,420
7975,538
7991,400
7996,240
7997,455
7998,475
8003,260
8005,245
8007,312
8008,501
8011,494
8016,350
8019,285
8020,235
8021,312
8023,202
8025,440
8028,321
8029,390
8030,395
8034,191
8038,421
8051,393
8053,209
8054,380
8058,225
8063,222
8064,350
8066,335
8071,202
8076,235
8078,260
8079,244
8081,300
8083,310
8086,374
8087,310
8094,255
8095,379
8103,290
8110,425
8111,358
8113,662
8114,188
8115,369
8117,229
8125,256
8128,550
8129,275
8133,238
8134,215
8141,205
8146,204
8148,260
8150,190
8160,340
8170,220
8172,371
8174,255
8177,223
8178,210
8179,174
8183,225
8193,250
8197,321
8207,260
8221,450
8252,460
8254,350
8255,465
8257,380
8258,350
8294,225
8295,480
8331,470
8343,350
8404,385
8413,526
8418,538
8441,518
8445,450
8449,500
8471,230
8472,250
8489,500
8492,522
8496,700
8554,490
8560,385
8640,460
8657,395
8663,550
8697,371
8723,385
8785,460
8821,345
8843,225
8846,267
8857,427
8858,340
8868,295
8892,380
8900,220
8909,175
9015,421
9016,438
9033,322
9076,425
9253,320
9257,490
9321,270
9550,100
9635,680
10041,450
10401,204
10686,470
10687,599
10800,340
10824,515
10900,460
10907,417
10928,500
10997,475
11016,321
11124,469
11164,415
11173,305
11178,420
11241,540
11251,475
11345,449
11418,296
11428,360
11429,390
11443,620
11487,634
11524,295
11529,425
11552,175
11566,295
11582,220
11583,423
11597,253
11614,265
11641,530
11732,330
11734,500
11756,435
11776,425
11899,500
11904,494
11906,634
12021,458
12146,334
12161,515
12198,431
12228,535
12278,380
12307,175
12348,360
12374,320
12375,208
12512,375
12661,275
13192,454
13381,210
13387,245
14260,239
14817,142
15287,255
15413,375
15450,277
15600,210
15891,540
16402,305
16720,580
17258,252
17596,234
17869,255
18049,490
18635,255
19041,205
19460,230
21210,260
22230,1010
22386,330
23960,270
23973,250
23986,20
23994,460
24404,38
24722,464
