CID,a
297,5
11638,6.8
6327,8.1
6323,10
887,6
6329,4.9
6342,3
176,4
11643,14.4
6345,13.3
6344,14
177,4
7865,4.5
6324,3
6337,3.8
6332,6.8
702,3.3
6341,3.5
1032,2.9
6368,4
11,6.2
34,4.9
3301,4.2
9890,6.2
6388,6.8
6278,7.5
6325,2.7
6339,2.6
6338,3.6
11641,9
7855,3
6581,2.4
6369,5.5
6366,6.5
6575,8
8301,10
6594,8.4
6326,2.5
8254,3.4
180,2.5
527,2.6
6584,3.1
8025,2.8
674,2.8
7918,2.7
7295,7.5
7847,2.8
9033,3.6
6354,3
7923,1.4
6334,2.1
10899,2.6
6361,2.8
1031,2.2
3776,2
398,2.6
7852,2
264,2
6590,2
6564,3.4
1030,2.6
6406,2.2
8252,2
7850,2.9
5326315,4.5
7841,4.4
7858,2.5
7853,2.2
31368,2
24726,5.3
6565,2.6
10903,2
6569,1.4
261,1.9
6561,1.6
8857,2
11124,2.5
8020,2.2
6570,2.1
7904,2.6
7294,2.8
6351,2.4
6378,2.3
19593658,3.6
7835,3.8
7843,1.6
6360,1.8
8005,1.8
8002,2.6
263,1.4
6560,1.7
6568,1.7
6386,2.4
8007,1.7
6385,1.7
7844,1.6
5287573,1.7
62695,1.8
8255,1.8
5463022,2.3
11241,3.2
637532,4.6
637922,4.2
7845,2
31369,4
15447,1
3283,1.9
7895,1.5
7997,1.7
7915,1.8
11614,1.7
10957,1.7
7749,1.9
8021,1.8
8054,1.7
31263,1.3
8868,1.4
8121,1.6
8111,2
8821,1.4
8023,1.7
6658,1.7
8028,2
7834,1.7
18632,1.5
31275,2
8083,1.4
8024,1.7
447466,2.1
7361,1.8
8029,2.3
7362,2.1
8003,1.5
6556,1.4
10041,1.4
10977,1.6
61143,1.5
6276,1.2
31260,1.2
22386,1.2
6405,1.2
11428,1.2
8060,2.2
8004,1.5
11239,1.5
12340,1.7
11509,1
7359,1.2
31272,1.7
8038,1.3
7758,1.7
31256,1.8
8858,1.4
31247,1.4
7967,1.1
7360,1.5
637564,1.3
8058,1.1
7282,1.2
6403,1.2
6589,1.2
5365552,2
7964,1.3
8114,1.3
7914,1.4
8051,1.1
12348,1.1
31276,1
7912,1.1
7765,1.6
7798,0.9
7346,1
8172,0.9
8846,1.5
8078,1.3
7296,1
252322,1.2
66775,1.3
6115,1.3
7239,2.2
6895,2.5
6,2
6811,1.7
8900,1.1
11260,1.1
7720,0.9
8697,0.8
31241,0.9
7959,0.9
9265,1.1
7962,1.2
15431,1.1
1140,1.2
356,1
11255,1.1
8909,1.5
13187,0.9
15504,0.9
7500,1
7929,1.1
7237,1
7809,1.1
7501,1.1
8141,0.8
7635,0.8
10686,0.9
7668,0.8
7406,0.9
15600,0.8
7705,0.8
10870,0.8
8680,0.8
7366,0.7
66666,1.1
931,0.9
7095,0.6
15586,9
10900,5.6
10554,2
637923,4.2
7893,1.5
6557,1.5
7909,1.2
31245,1.1
7910,1
241,1.3
8034,1
11582,1
10907,0.8
7958,0.8
92723,0.8
14020,0.7
7734,0.8
