CID,a
13,-0.3372421588772416
196,-6.6252516539898965
227,-3.552826458417537
240,0.10380372437559843
241,1.9768083373838778
242,-3.154895755823174
243,-3.154895755823174
244,-1.0268721001987633
253,-7.684029654543083
262,-0.6143937085294873
263,0.8450980406346775
264,0.217483946845994
307,-1.5391020069685708
311,-7.568636235841013
338,-4.08613318810376
356,1.1492191129633902
379,-2.4306249197814593
424,-6.568636235841013
453,-7.701146923590294
525,-7.368556230986828
614,-7.39577394691553
650,1.7543483357874792
785,-4.721017883134556
798,-1.9136398133463142
931,-1.070581023192242
936,-3.3767403693803897
942,-1.4202162890951833
949,-0.15490195378153632
957,-1.100179442875869
965,-6.2549252084179425
980,-3.3010213098612007
988,-7.819874124835946
992,-3.9585678353197347
996,-0.4559319432413108
1017,-6.189767482004916
1049,1.318063335171557
1057,-3.319655419989432
1101,-7.818156412055227
1110,-6.696803942579511
1130,-7.99225222199926
1140,1.4533183401999583
1183,-3.9280811896361936
1254,-2.1152040698265098
1486,-6.825326853737155
2078,-4.657379957446652
2087,-3.9207825642534333
2244,-4.598427154323554
2256,-6.52432881167557
2286,-6.920818753952375
2345,-3.649732593952082
2519,-6.040958607678906
2537,-0.18708663667569086
2758,0.27875360323858933
2943,-5.600326278518962
3026,-4.696587929403258
3030,-4.90274269030658
3048,-5.229147988357856
3061,-8.0
3062,-8.0
3120,-7.738737131207507
3225,-7.993234547548007
3283,2.7307822756744615
3291,-6.257274868695302
3314,-1.6556075298015935
3327,-4.404393565134397
3589,-3.397929151445705
3598,-7.99641023281086
3610,-5.075204004202088
4101,-3.214663045465919
4115,-4.376647318462008
4139,-6.1487416512809245
4650,-0.999999956570554
4678,-7.6020599913279625
4684,-1.0604806974624785
4685,0.240549250778545
4931,-3.1307624114643278
4933,-6.037157318798758
4937,-6.85078088734462
4947,-6.568636235841013
5054,-3.3106822596894405
5143,-6.94692155651658
5251,-3.511435183258263
5344,-7.216096420727265
5455,-4.76421912967244
5541,-2.6055465679898875
5780,-7.701146923590294
5960,-6.568636235841013
5993,-5.010550182333308
6028,-2.3736586059252684
6049,-7.999913149788351
6050,-2.8860533069792282
6115,-0.17587415957228938
6129,-5.863279432843593
6184,1.0530784438677512
6221,-7.906578314837765
6276,0.3424226827962721
6281,-8.0
6294,-5.866461091629782
6360,3.416640507339945
6386,1.6095944093319263
6403,2.5037906830707954
6406,0.04139268910635669
6410,0.7371926435001483
6466,-8.0
6492,0.3617278379058297
6505,-3.5228642690388767
6506,-3.163036941378279
6544,-0.35852587958050147
6549,-0.798602848365431
6556,2.838219221913929
6557,2.74036268950214
6558,2.1398790864327073
6560,1.0170333397163713
6561,2.238046103153899
6562,2.1903316981983103
6568,1.2624510899677488
6569,1.9571281977247483
6570,2.1818435879733444
6589,2.371067862290217
6613,-7.819874124835946
6616,0.3979400104092155
6623,-7.301029995663981
6629,-2.4854509192240632
6641,-5.124360062995832
6654,0.6766936105391708
6658,1.5854607296213044
6675,-8.0
6781,-2.677778637202043
6787,-6.280668713016273
6810,-1.244125068135501
6819,-5.149966742310231
6824,-6.179798540514359
6877,-2.638270275749634
6895,-0.6777806845853916
6904,-7.818156412055227
6945,-1.7447272536220488
6946,-2.5575186630882665
6947,-0.946921518083442
6989,-1.7958797459101088
6998,-0.2269452993120531
7015,-3.9207825642534333
7027,-7.892790030352131
7044,0.3617278379058297
7047,-1.2218486772339487
7057,-3.5917430703912827
7095,-2.049148054779719
7102,-3.494836450189588
7158,-5.000869458712629
7175,-3.512847478353144
7184,-3.600308976294625
7187,-4.154839922348054
7237,0.822821645956179
7239,0.1335389115635593
7245,0.40312052289239686
7257,-2.1992822345433454
7294,1.937517892067496
7296,2.1398790864327073
7321,-6.218963061378868
7344,0.5740312688858374
7354,0.3263358629773103
7361,-0.2153827002358524
7362,0.34439227565024405
7406,0.6532125147404425
7407,0.27875360323858933
7410,-0.40120948229747744
7412,-0.15490195378153632
7416,-0.6108338979091625
7439,-0.9393021218816524
7456,-3.625233329714798
7473,-1.8041000709701653
7475,-5.493494967595128
7477,-1.8538716541115285
7489,-7.997402019280091
7500,0.9822712334919586
7501,0.8061799746624723
7502,0.23299611293188763
7503,0.08990511497024734
7505,-0.11463877431361194
7516,-1.585026484992875
7519,0.5490032632526084
7533,-6.266802734893431
7579,-5.600326278518962
7583,-1.6478172888689107
7618,-5.443697499232713
7622,-1.0296530772715706
7636,-0.7495799732925403
7674,0.1846914336561248
7693,1.2878017301540892
7716,-2.8927866374397455
7720,-0.8664610596963659
7751,0.6875289621064095
7757,-0.049635140755104716
7766,1.0334237558890742
7768,-2.721244113292755
7794,-0.6020599739561835
7809,0.9464522655043565
7819,0.8494194144111773
7838,0.6720978588597483
7843,3.260071387987461
7844,3.3527611917257585
7868,1.650307523229094
7870,-1.1549018979436787
7884,0.49968708399275347
7892,2.3242824553182753
7895,1.54900326214847
7900,1.096910013355492
7902,0.5024271213501386
7909,1.2988530766279451
7912,1.8998205024817933
7914,2.1731862684414214
7915,1.7808211759254118
7918,0.7075701769494941
7922,-2.8239058456574235
7923,-0.6020599739561835
7929,0.9185545310741511
7933,-0.9030899522483864
7937,0.7520484485881014
7947,0.39445168257740365
7950,-0.619788740192791
7953,0.298853078592091
7958,0.217483946845994
7962,1.662757831775986
7964,1.079181246409537
7965,1.0043213742126371
7966,-0.18243462382995312
7967,0.6989700052046077
7975,1.0492180230579446
7986,-5.327902142064283
7997,1.5550944486992926
8003,2.710963119003725
8004,2.802773725298815
8007,1.9680157140403904
8012,1.6580113967525618
8021,2.3747483460284284
8027,0.9216864760037152
8028,2.209515014569439
8029,2.778151250390882
8030,1.9014583214506036
8033,1.3996737216540638
8038,1.2504200025528798
8042,-4.029141943003498
8051,0.5854607306365383
8058,2.184691430845984
8064,-1.9788102873164666
8067,1.1398790867159427
8076,0.7250945218993494
8078,1.9863237770955842
8082,1.5065050325401663
8083,1.0043213742126371
8086,-3.9030552448230598
8095,0.3010299978354536
8103,-0.03245201910124048
8111,-0.634511996389511
8113,-3.552826458417537
8115,0.19033170097219135
8117,-2.2441243824080335
8119,0.9079485221491012
8121,-1.1112589832067128
8125,1.2405492485321943
8128,-3.1674847006571665
8129,-0.6649434604825696
8133,-0.05551732291466681
8134,-0.6020599739561835
8141,0.6483600119568742
8146,-0.8996294204146225
8147,-0.8794260358930542
8148,0.4132997657580645
8150,0.47129171252614965
8172,-2.879422778696901
8174,-2.0700699295814204
8175,-0.9871627331303171
8177,-1.6595556868519443
8178,-2.45593071481012
8179,-0.2839966480133839
8183,-1.7986026025384507
8184,-2.5272420884142663
8190,-2.6497500428555134
8193,-3.0715990263762905
8200,-4.332453660488484
8221,-5.567030709125595
8255,3.3632358044855755
8268,-6.38933983691012
8294,-0.9546769820877153
8331,-6.251811972993799
8342,-5.954677021213342
8343,-6.818156412055227
8346,-6.958607314841775
8376,-5.095284454721319
8379,-7.99891561870778
8380,-6.400116927926312
8393,-2.8961928594159163
8404,-0.434152169525002
8418,-5.182434630440219
8434,-4.03193753992355
8438,-1.9999995657057352
8449,-1.0457574423057354
8467,-4.982549270489463
8471,1.7564078726250567
8489,-1.0132282209611305
8518,-7.763714722551971
8606,-7.0
8635,-1.5670305488693574
8640,-2.3788226792441933
8711,-0.6989699826212953
8800,-6.290272235440231
8821,1.5865873047842665
8843,-1.0395291748978523
8846,0.736396503073513
8857,1.9694159124005794
8858,0.9143431576484232
8868,-0.10790539174164161
8894,1.8543060418618211
8900,1.662757831775986
8909,0.7788744727253593
8946,-1.767003635634539
8988,-7.39577394691553
9250,3.0718820073098057
9253,2.502153892885026
9265,1.3344537513519932
10041,3.1105897103026154
10049,-1.2992961963421443
10405,-0.25806091440314743
10430,-0.3565473136434836
10461,-0.9586072753604602
10492,-1.2992961963421443
10908,1.6720978580281205
10943,0.33243846193557963
10977,1.5171958980819786
11137,-3.8238797889439144
11429,-1.3001621874472375
11487,-3.1739187153403536
11552,1.6989700044228777
11583,1.0644579896013102
11597,2.2641091563294498
11610,1.7730546934374993
12220,3.2041199826586393
12375,0.5276299021600462
12968,-1.6197885773323975
13143,1.6232492905013038
13165,-1.2814982280936358
13190,-0.3071530719135514
13381,0.22271647374814899
13507,-8.0
13728,-7.3979400086720375
14215,-1.0530566802293546
14260,-1.8239084514147608
14749,-8.0
14899,-1.6382719751587604
14950,-8.0
15122,0.5352941213089352
15600,0.1553360405020861
15965,-8.0
16003,-1.9829662431105723
16043,-4.494714325855868
16115,-7.856985199745905
16248,-6.552841968657781
16606,-1.3665314434217084
16653,-2.2518111974686317
16704,0.46239799939652326
16724,-0.9393021218816524
17049,0.5051499796770762
17095,-1.1951792532076078
18052,1.3010299958811284
19244,-2.1152040698265098
19284,-5.681936665037238
21954,-7.070581074285707
24685,-3.8538409443951815
24744,-7.999565922520682
24749,-8.0
30322,-8.0
31237,-4.292344676468813
31250,-8.0
31253,0.32014628818901797
31260,0.37474834784257005
31263,0.1335389115635593
31268,1.7972675408999819
31272,1.060697840731259
31275,1.5809249757896073
31278,-5.235823867609669
31285,0.7323937606272176
31292,-6.167491087293763
31374,0.3010299978354536
31404,-2.2873494567176316
32898,-1.6840294447390354
33599,-6.269217724333611
33934,-5.258848401148215
60963,-5.229147988357856
61103,-3.9207825642534333
62695,3.2041199826586393
64685,-1.2992961963421443
82170,-7.701146923590294
89594,-1.4202162890951833
92092,-7.818156412055227
98495,-1.244125068135501
104775,0.217483946845994
107526,-8.0
131204,-7.6020599913279625
145742,-7.39577394691553
159055,-0.18708663667569086
165675,-2.1152040698265098
168842,-7.993234547548007
171144,-4.159204101152906
171548,-7.684029654543083
200164,-6.6252516539898965
221493,-8.0
222547,-5.229147988357856
439550,-7.95703092660682
439551,-8.0
439568,-1.2992961963421443
439570,-0.9393021218816524
440968,0.6766936105391708
441207,-8.0
444266,-4.872571222148401
444679,-7.95703092660682
444972,-3.8124510791387287
445070,-4.404393565134397
445354,-7.070581074285707
445639,-6.2549252084179425
447466,1.4771212548644272
637511,-1.5391020069685708
637517,-6.2549252084179425
637566,-1.5228786005155344
638011,-1.0395291748978523
642197,0.5352941213089352
643460,-3.511435183258263
643779,-1.0395291748978523
657014,-1.2992961963421443
736366,-5.954677021213342
969491,-5.229147988357856
1201518,-1.2992961963421443
1548943,-7.634512015109101
1549025,-1.481485928517744
1549026,-1.481485928517744
1549107,-4.404393565134397
1549108,-4.404393565134397
1549109,-4.404393565134397
1549236,-3.511435183258263
1549237,-3.511435183258263
2724385,-8.0
5280795,-7.906578314837765
5353527,-7.906578314837765
5748353,-7.819874124835946
5748487,-7.6020599913279625
6426645,-8.0
6432115,0.5352941213089352
6432644,-7.906578314837765
6478437,-5.229147988357856
6552009,-1.2992961963421443
6604642,-8.0
6971047,-7.39577394691553
6994089,-6.920818753952375
9543187,-0.18708663667569086
9807916,-8.0
10255083,-8.0
11112419,-7.993234547548007
11954021,-5.010550182333308
12242824,-1.2992961963421443
12303031,-5.010550182333308
12310947,-3.9207825642534333
12310951,-3.9207825642534333
12358489,-5.229147988357856
15558252,-8.0
18594026,-7.0
24860538,-3.9207825642534333
24860539,-5.010550182333308
44575418,-8.0
44630107,-1.2992961963421443
44630304,-8.0
45039692,-2.1152040698265098
46783411,-8.0
54670067,-7.995979726746758
54675810,-7.993362840931414
54676825,-8.0
54676860,-7.993362840931414
54679076,-7.995979726746758
54679407,-8.0
54680660,-8.0
71308275,-7.701146923590294
71316037,-5.229147988357856
92535137,-3.9207825642534333
134687881,-5.010550182333308
134687882,-5.229147988357856
