CID,n,M,C_in,C_ex,O_in,O_ex,H,C1O_in,C1O_ex,C2O_in,C2O_ex,C1C_in,C1C_ex,C2C_in,C2C_ex,#degree1_in,#degree1_ex,#degree2_in,#degree2_ex,#degree3_in,#degree3_ex,#degree4_in,#degree4_ex,#double_bond_in,#double_bond_ex,#triple_bond_in,#triple_bond_ex,Diameter,Bc_121_in,Bc_121_ex,Bc_122_in,Bc_122_ex,Bc_123_in,Bc_123_ex,Bc_131_in,Bc_131_ex,Bc_132_in,Bc_132_ex,Bc_141_in,Bc_141_ex,Bc_221_in,Bc_221_ex,Bc_222_in,Bc_222_ex,Bc_223_in,Bc_223_ex,Bc_231_in,Bc_231_ex,Bc_232_in,Bc_232_ex,Bc_241_in,Bc_241_ex,Bc_331_in,Bc_331_ex,Bc_332_in,Bc_332_ex,Bc_341_in,Bc_341_ex,Bc_441_in,Bc_441_ex,2-branch_height,2-branch_leaf_number
7778,13,126.154,6,5,1,1,20,1,1,0,1,5,3,0,1,0,4,6,1,1,1,0,0,0,2,0,0,0.769231,0,0,0,1,0,0,0,3,0,0,0,0,4,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2
86749,11,123.636,4,6,0,1,20,0,1,0,0,3,5,0,1,0,5,3,1,0,1,1,0,0,1,0,0,0.636364,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2
5282109,13,126.154,6,5,1,1,18,1,1,0,1,4,3,1,1,0,4,6,1,1,1,0,0,1,2,0,0,0.769231,0,0,0,1,0,0,0,3,0,0,0,0,4,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
5319723,11,123.636,5,5,0,1,16,0,1,0,0,3,3,1,2,0,4,3,2,2,0,0,0,1,2,0,0,0.727273,0,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2
5352162,16,125,8,6,1,1,24,2,0,0,1,5,5,1,1,0,5,7,1,2,1,0,0,1,2,0,0,0.75,0,1,0,0,0,0,0,3,0,1,0,0,4,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
62321,16,125,6,8,1,1,24,2,0,0,1,4,6,0,2,0,6,5,2,1,1,1,0,0,3,0,0,0.625,0,1,0,1,0,0,0,2,0,1,0,1,2,1,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2
60985,16,125,7,7,1,1,26,2,0,0,1,5,6,0,1,0,6,6,0,2,2,0,0,0,2,0,0,0.6875,0,0,0,0,0,0,0,5,0,1,0,0,4,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
5354882,13,126.154,6,5,1,1,18,1,1,0,1,4,3,1,1,0,4,6,1,1,1,0,0,1,2,0,0,0.769231,0,0,0,1,0,0,0,3,0,0,0,0,4,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
6086514,16,125,7,7,1,1,24,2,0,0,1,4,6,1,1,0,6,6,0,2,2,0,0,1,2,0,0,0.6875,0,0,0,0,0,0,0,5,0,1,0,0,4,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2
8294,14,125.714,4,8,1,1,20,1,1,0,1,3,5,0,2,0,6,4,1,0,2,1,0,0,3,0,0,0.571429,0,0,0,1,0,0,0,3,0,1,0,1,2,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,1,2
