CID,n,M,C,O,S,H,C1O,C1C,C2C,C1S,#degree1,#degree2,#degree3,#degree4,#degree5,#degree6,#double_bond,#triple_bond,Diameter,Bc_121,Bc_122,Bc_123,Bc_131,Bc_132,Bc_141,Bc_221,Bc_222,Bc_223,Bc_231,Bc_232,Bc_241,Bc_331,Bc_332,Bc_341,Bc_441,C_1,C_2,C_3,C_1_1,C_1_2,C_1_3,C_2_2,C_1_1_1,C_1_1_2,C_1_1_1_1,O_1,O_2,O_1_1,S_1,S_2,S_1_1,2-branch_height,2-branch_number
263,5,128,4,1,0,10,1,3,0,0,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6560,5,128,4,1,0,10,1,3,0,0,3,1,1,0,0,0,0,0,0.6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
6568,5,128,4,1,0,10,1,3,0,0,3,1,1,0,0,0,0,0,0.6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
6386,5,128,4,1,0,10,1,3,0,0,4,0,0,1,0,0,0,0,0.4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
6276,6,126.667,5,1,0,12,1,4,0,0,2,4,0,0,0,0,0,0,0.833333,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1
22386,6,126.667,5,1,0,12,1,4,0,0,3,2,1,0,0,0,0,0,0.666667,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11428,6,126.667,5,1,0,12,1,4,0,0,3,2,1,0,0,0,0,0,0.666667,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
8723,6,126.667,5,1,0,12,1,4,0,0,3,2,1,0,0,0,0,0,0.666667,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
31260,6,126.667,5,1,0,12,1,4,0,0,3,2,1,0,0,0,0,0,0.666667,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6405,6,126.667,5,1,0,12,1,4,0,0,4,1,0,1,0,0,0,0,0.5,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1
