CID,n,M,C,O,H,C1O,C2O,C1C,C2C,#degree1,#degree2,#degree3,#degree4,#degree5,#degree6,#double_bond,#triple_bond,Diameter,Bc_121,Bc_122,Bc_123,Bc_131,Bc_132,Bc_141,Bc_221,Bc_222,Bc_223,Bc_231,Bc_232,Bc_241,Bc_331,Bc_332,Bc_341,Bc_441,C_1,C_2,C_3,C_1_1,C_1_2,C_1_3,C_2_2,C_1_1_1,C_1_1_2,C_1_1_1_1,O_1,O_2,O_1_1,2-branch_height,2-branch_number
7778,13,126.154,11,2,20,2,1,8,1,4,7,2,0,0,0,2,0,0.769231,0,1,0,3,0,0,5,0,0,2,1,0,0,0,0,0,3,0,0,4,2,0,0,1,1,0,0,1,1,1,2
86749,11,123.636,10,1,20,1,0,8,1,5,4,1,1,0,0,1,0,0.636364,1,0,0,2,0,2,2,0,0,0,1,2,0,0,0,0,4,0,0,3,1,0,0,0,1,1,1,0,0,1,2
5282109,13,126.154,11,2,18,2,1,7,2,4,7,2,0,0,0,3,0,0.769231,0,1,0,3,0,0,5,0,0,1,2,0,0,0,0,0,3,0,0,3,3,0,0,0,2,0,0,1,1,1,2
5319723,11,123.636,10,1,16,1,0,6,3,4,5,2,0,0,0,3,0,0.727273,1,1,0,1,1,0,2,0,0,3,1,0,0,0,0,0,1,2,0,3,2,0,0,0,2,0,1,0,0,1,2
5352162,16,125,14,2,24,2,1,10,2,5,8,3,0,0,0,3,0,0.75,1,0,0,3,1,0,5,0,0,3,2,0,0,0,0,0,4,0,0,5,2,0,0,0,3,0,0,1,1,1,2
62321,16,125,14,2,24,2,1,10,2,6,7,2,1,0,0,3,0,0.625,1,1,0,2,1,1,3,0,0,2,1,3,0,0,0,0,4,1,0,4,2,0,0,0,2,1,0,1,1,1,2
60985,16,125,14,2,26,2,1,11,1,6,6,4,0,0,0,2,0,0.6875,0,0,0,5,1,0,4,0,0,3,1,0,1,0,0,0,5,0,0,4,1,0,0,2,2,0,0,1,1,1,2
5354882,13,126.154,11,2,18,2,1,7,2,4,7,2,0,0,0,3,0,0.769231,0,1,0,3,0,0,5,0,0,1,2,0,0,0,0,0,3,0,0,3,3,0,0,0,2,0,0,1,1,1,2
6086514,16,125,14,2,24,2,1,10,2,6,6,4,0,0,0,3,0,0.6875,0,0,0,5,1,0,4,0,0,2,2,0,1,0,0,0,5,0,0,3,2,0,0,1,3,0,0,1,1,1,2
8294,14,125.714,12,2,20,2,1,8,2,6,5,2,1,0,0,3,0,0.571429,0,1,0,3,1,1,2,0,0,1,1,3,0,0,0,0,4,1,0,2,2,0,0,0,2,1,0,1,1,1,2
