CID,n,M,C,O,H,C1O,C1C,#degree1,#degree2,#degree3,#degree4,#degree5,#degree6,#double_bond,#triple_bond,Diameter,Bc_121,Bc_122,Bc_123,Bc_131,Bc_132,Bc_141,Bc_221,Bc_222,Bc_223,Bc_231,Bc_232,Bc_241,Bc_331,Bc_332,Bc_341,Bc_441,C_1,C_2,C_3,C_1_1,C_1_2,C_1_3,C_2_2,C_1_1_1,C_1_1_2,C_1_1_1_1,O_1,O_2,O_1_1,2-branch_height,2-branch_number
263,5,128,4,1,10,1,3,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0
6560,5,128,4,1,10,1,3,3,1,1,0,0,0,0,0,0.6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,1
6568,5,128,4,1,10,1,3,3,1,1,0,0,0,0,0,0.6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,1
6386,5,128,4,1,10,1,3,4,0,0,1,0,0,0,0,0.4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0
6276,6,126.667,5,1,12,1,4,2,4,0,0,0,0,0,0,0.833333,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,1,1
22386,6,126.667,5,1,12,1,4,3,2,1,0,0,0,0,0,0.666667,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0
11428,6,126.667,5,1,12,1,4,3,2,1,0,0,0,0,0,0.666667,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0
8723,6,126.667,5,1,12,1,4,3,2,1,0,0,0,0,0,0.666667,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0
31260,6,126.667,5,1,12,1,4,3,2,1,0,0,0,0,0,0.666667,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0,0,0,0
6405,6,126.667,5,1,12,1,4,4,1,0,1,0,0,0,0,0.5,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,1,1
11732,6,126.667,5,1,12,1,4,4,0,2,0,0,0,0,0,0.5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,1,1
8103,7,125.714,6,1,14,1,5,2,5,0,0,0,0,0,0,0.857143,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,1,2
8129,8,125,7,1,16,1,6,2,6,0,0,0,0,0,0,0.875,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,1,2
957,9,124.444,8,1,18,1,7,2,7,0,0,0,0,0,0,0.888889,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,1,0,0,1,2
7720,9,124.444,8,1,18,1,7,3,5,1,0,0,0,0,0,0.666667,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,1,0,0,1,2
8914,10,124,9,1,20,1,8,2,8,0,0,0,0,0,0,0.9,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,1,0,0,1,2
8174,11,123.636,10,1,22,1,9,2,9,0,0,0,0,0,0,0.909091,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,1,2
7843,4,120,4,0,10,0,3,2,2,0,0,0,0,0,0,0.75,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1
6360,4,120,4,0,10,0,3,3,0,1,0,0,0,0,0,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8003,5,120,5,0,12,0,4,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6556,5,120,5,0,12,0,4,3,1,1,0,0,0,0,0,0.6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,1,1
10041,5,120,5,0,12,0,4,4,0,0,1,0,0,0,0,0.4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8058,6,120,6,0,14,0,5,2,4,0,0,0,0,0,0,0.833333,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,1
7892,6,120,6,0,14,0,5,3,2,1,0,0,0,0,0,0.666667,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0
7282,6,120,6,0,14,0,5,3,2,1,0,0,0,0,0,0.666667,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0
6403,6,120,6,0,14,0,5,4,1,0,1,0,0,0,0,0.5,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1,1
6589,6,120,6,0,14,0,5,4,0,2,0,0,0,0,0,0.5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,1
8900,7,120,7,0,16,0,6,2,5,0,0,0,0,0,0,0.857143,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,1,2
11582,7,120,7,0,16,0,6,3,3,1,0,0,0,0,0,0.714286,1,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,1,1
11507,7,120,7,0,16,0,6,3,3,1,0,0,0,0,0,0.714286,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,1,1
12048,7,120,7,0,16,0,6,3,3,1,0,0,0,0,0,0.571429,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0
11542,7,120,7,0,16,0,6,4,2,0,1,0,0,0,0,0.571429,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0
11260,7,120,7,0,16,0,6,4,1,2,0,0,0,0,0,0.571429,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0
7907,7,120,7,0,16,0,6,4,1,2,0,0,0,0,0,0.571429,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0
11229,7,120,7,0,16,0,6,4,2,0,1,0,0,0,0,0.571429,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0
