CID,a
179, -0.36
196, 0.08
261, 0.88
262, -0.92
263, 0.88
264, 0.79
311, -1.64
356, 5.18
379, 3.05
424, -3.89
453, -2.20
525, -1.26
611, -3.69
650, -1.34
957, 3.00
965, 7.64
988, -1.69
1101, -1.46
1110, -0.59
2086, 1.13
2682, 6.83
2969, 4.09
3283, 0.89
3327, 5.77
3485, -0.33
4093, 0.93
4109, 0.60
4678, -1.92
5251, 1.33
5281, 8.23
5455, 1.73
5541, 0.25
5543, 4.6
5780, -2.20
5960, -3.89
5962, -3.05
5971, 2.15
5977, 2.03
6049, -3.86
6050, 2.54
6184, 1.78
6251, -3.10
6276, 1.51
6322, -4.20
6360, 2.76
6386, 0.35
6387, 2.14
6403, 3.82
6404, 1.31
6406, -0.03
6410, 0.94
6505, 4.92
6549, 2.97
6556, 2.72
6557, 2.42
6558, 0.73
6560, 0.76
6568, 0.61
6569, 0.29
6570, 0.41
6589, 3.42
6613, -1.69
6658, 1.38
6901, 4.78
6904, -1.46
7216, 3.15
7294, 0.80
7343, 1.94
7344, -0.18
7354, 2.88
7616, 2.79
7618, -1.00
7622, 4.46
7636, 4.09
7720, 2.73
7751, 0.94
7757, -0.69
7762, 1.85
7765, 0.84
7766, 1.21
7794, 3.53
7802, 1.73
7819, 2.22
7843, 2.89
7844, 2.40
7868, 4.55
7870, 0.58
7892, 3.21
7895, 0.91
7896, -0.29
7897, -0.72
7900, -0.49
7902, -0.55
7904, 0.73
7909, 1.31
7910, 1.43
7912, 1.4
7914, 1.52
7915, 1.02
7944, 2.48
7958, 2.56
7997, 1.24
8003, 3.39
8007, 0.97
8012, 2.28
8021, 0.58
8033, 3.2
8038, 1.78
8042, 7.17
8051, 1.98
8054, 0.10
8058, 3.90
8063, 1.31
8064, -0.83
8066, -0.93
8067, 2.74
8068, 1.33
8071, -0.21
8076, -0.32
8086, -0.82
8087, -0.64
8095, 0.24
8103, 2.03
8112, -1.39
8113, 1.43
8115, 1.29
8117, -1.47
8125, 4.57
8128, -0.32
8129, 2.62
8133, 0.83
8134, -1.18
8141, 5.65
8146, -0.54
8147, 0.75
8148, 2.83
8150, -0.36
8160, 1.57
8172, -1.98
8174, 4.57
8175, 3.76
8177, 0.56
8178, -1.46
8179, 0.39
8184, 4.72
8188, 2.48
8190, -0.96
8193, 5.13
8195, 6.18
8200, -2.02
8255, 2.34
8285, -1.69
8294, 3.93
8471, 1.45
8821, 1.32
8843, 3.45
8846, 2.36
8857, 0.73
8858, 1.37
8868, 0.25
8900, 4.66
8902, 1.67
8907, 8.16
8909, 3.21
10041, 3.11
10405, 2.88
10430, 1.16
10461, 2.14
10560, 2.18
10908, 1.76
10977, 2.73
10989, 4.25
11552, 1.23
11583, 1.38
11584, 0.97
11597, 3.39
11610, 3.99
12210, 2.15
12220, 1.85
12306, 0.36
12375, 0.66
12437, 0.19
12968, 3.21
13165, -0.21
13381, 5.70
14215, 3.83
14260, 7.3
14899, 5.07
15331, -1.5
15600, 5.01
16003, 3.84
16181, 4.15
16591, 3.70
17095, 6.59
18052, 0.98
19499, 0.72
23327, -3.69
24749, -3.00
31250, 11.8
31253, 4.33
31256, -0.098
31260, 1.16
31261, 0.40
31263, 0.40
31272, 1.78
31276, 2.25
31285, 5.15
31288, 1.30
31292, 6.70
31374, -0.77
32898, 3.71
33032, -3.69
62695, 1.85
82170, -2.20
92092, -1.46
104775, 0.79
107526, -3.00
131204, -1.92
200164, 0.08
444266, -0.48
444972, 0.46
445070, 5.77
445639, 7.64
447466, 0.60
637090, 0.72
637517, 7.64
637566, 3.56
638011, 3.45
643460, 1.33
643779, 3.45
643792, 0.72
1549025, 4.04
1549026, 4.04
1549107, 5.77
1549108, 5.77
1549109, 5.77
1549236, 1.33
1549237, 1.33
5287702, -4.20
5353395, 1.13
5353758, 0.60
5360521, 0.60
5748353, -1.69
5748487, -1.92
9570071, 1.13
71308275, -2.20
