CID,a
179, 15
196, 151.5
263, -88.6
264, -7.9
311, 153
356, -56.73
379, 16.5
424, 270.5
453, 111
525, 130.97
604, 131
611, 213
650, -1.2
957, -14.7
965, 16.3
1101, 165
1110, 188
3283, -116.3
3485, -14
5251, 134.5
5455, 155.5
5541, -78
5565, 12
5780, 111
5960, 270.5
5971, -80
6049, 245
6050, -75
6184, -58.2
6251, 167
6276, -79
6322, 244
6360, -138.3
6386, 25.81
6403, -99.9
6404, 53
6406, -19
6410, -8
6505, -80
6506, -55
6556, -159.8
6557, -145.95
6558, -85
6560, -108
6561, -65.9
6562, -81
6568, -114
6569, -86.67
6570, -7
6589, -128.8
6658, -47.55
6904, 165
7294, -75.6
7344, -26
7497, -70
7618, 21.5
7622, -70
7636, -90
7641, -67.8
7720, -70
7751, -26
7757, -80
7762, -97
7766, -43
7769, 9
7773, 49
7794, 147
7819, -61
7843, -138.3
7844, -185.33
7870, -50
7892, -153.6
7895, -76.8
7900, -95
7902, -65
7904, -93.2
7909, -85
7910, -90
7912, -61
7914, -86.8
7915, -73.4
7918, -73.4
7944, -99.3
7958, -41.5
7959, -63.8
7986, -10
7997, -93
8003, -129.67
8004, -165.2
8007, -50
8012, -115.9
8021, -50
8033, -40
8038, -98.8
8040, 30
8042, 3
8051, -35.5
8054, -65.1
8058, -95.35
8063, -91.5
8064, 20.43
8067, -75.69
8071, -58
8074, -70.3
8076, -70
8086, 42
8095, -61.7
8096, 134
8103, -44.6
8111, -39
8113, 27.9
8115, -51.9
8117, -10.4
8121, -31
8125, -101.7
8128, 2
8129, -34.6
8133, -74.8
8141, -53.47
8146, -54.0
8147, -32.8
8148, -59.5
8150, -68
8160, -63.5
8172, -7
8174, 7
8175, -3.9
8177, -68.1
8178, -44
8179, -45
8183, -35.2
8184, 19
8190, -18.7
8193, 24
8195, -7
8200, -9.4
8221, 59.5
8255, -140.7
8285, 258
8471, -114.7
8821, -71.2
8831, -20
8846, -64.6
8857, -83.8
8858, -59
8868, -45
8900, -90.549
8909, -95.2
8946, 51.5
10041, -16.37
10405, -3.8
10430, -29.3
10461, 13.5
10690, 131
10977, -99
11552, -51
11583, -55.5
11597, -139.7
11610, -119.7
12220, -139.3
12375, -74
12437, -1.2
13143, -54
13190, -49.2
13381, -66.3
14260, -12
14899, -100
15600, -29.7
15793, 52.9
16402, 42
17095, -13
18052, -80
23327, 213
24749, 146
31245, -100
31250, 40
31256, -44
31260, -117.2
31263, -45
31271, 7.49
31272, -77
31278, 27
31285, -81.3
31288, -32
31292, 107
31374, -18.59
33022, 25
33032, 213
34023, -89
62695, -139.3
82170, 111
92092, 165
107526, 146
444266, 132.5
445639, 16.3
447466, -69
637517, 16.3
637566, -15
643460, 134.5
1549236, 134.5
5283468, 25
5364833, 25
12178130, 25
71308275, 111
