CID,a
261, 33.68
263, 52.35
264, 40.45
356, 41.49
957, 70.98
6360, 19.12
6385, 29.64
6403, 27.68
6554, 34.41
6556, 26.43
6557, 26.39
6558, 33.85
6559, 36.65
6568, 49.72
6569, 34.79
6589, 29.2
7282, 30.28
7288, 38.52
7344, 49.4
7762, 42.68
7765, 43.2
7892, 27.89
7895, 38.4
7896, 67.78
7909, 40.61
7912, 34.58
7997, 39.72
8002, 36.64
8003, 26.43
8007, 35.72
8008, 39.33
8021, 31.31
8058, 31.56
8076, 48.21
8102, 45.1
8103, 61.84
8105, 82.4
8129, 66.81
8130, 33.78
8133, 56.59
8142, 53.262
8174, 81.5
8182, 61.52
8193, 90.8
8209, 98.9
8471, 34.84
8857, 35.6
8900, 36.57
8902, 44.04
8914, 76.86
10485, 31.81
10908, 39.03
11006, 81.35
11535, 23.426
12348, 48.56
12375, 43.2
12388, 66.68
12389, 71.3
12391, 76.77
15600, 51.42
24874, 32.85
25914, 40.14
31272, 43.86
