CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_C4,na_ex_Cl1,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_3_S6_4_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_O2_2_1,link_edge_C4_3_S2_2_1,link_edge_C4_3_S6_4_1,LeafAC_C4_C4_1,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_O2_C4_2,LeafAC_O2_S6_2,FC_1_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_2_C4_0_H1_1_/_1_/_0_0,FC_3_C4_0_O2_1_/_2_/_0_0,FC_4_C4_0_/_/_0,FC_5_O2_0_/_/_0,FC_6_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_7_N3_0_H1_1_/_1_/_0_0,FC_8_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_9_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_10_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_11_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_12_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_13_C4_0_Cl1_1_/_1_/_0_0,FC_14_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_15_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_16_S2_0_/_/_0,FC_17_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_18_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_19_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_20_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_O2_2,CS_connecting_vertices_S2_2
Poly(1_4-butadiene),0,0,0.0769231,0.111111,0.142353,0,0.176471,0,0,0,0.157895,0,0,0.0833333,0,0.0869565,0,0,0,0,0,0,0,0.2,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.214286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poly(hexamethyleneAzelamide),0.535714,0,0.576923,0.833333,0.201001,0,0.823529,0.25,0,0,0.842105,0,0,0,0,0.565217,1,0,0,0,0,0,0.5,0.733333,0,0.25,0,0,1,0,0,0,0,1,0,0,0,0.785714,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.8125,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Poly(ethylene-2_6-naphthalenedicarboxylate),0.5,0.5,0.538462,0.277778,0.771849,0,0.529412,0.75,0,0,0.578947,0.5,0,0.416667,0,0.521739,0,1,0,0,0,0,0.5,0.133333,0.25,0.5,0.5,0,0,0.5,1,0,0,0,0.5,0,0,0.0714286,0,0,0,0,0,0.5,1,0,0,0.5,0,0,0,0,0,1,0,0.125,0.375,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0
Poly(vinylP-isopropylBenzoate),0.357143,0.25,0.307692,0,0.411345,0,0.294118,0.5,0,0,0.368421,0.25,0,0.25,0,0.304348,0,0.5,0,0,0.75,0,0.25,0.0666667,0.25,0.5,0.25,0,0,0,0.333333,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0.5,0,0.0625,0.3125,0.5,0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0,0
Poly(methylAcrylate),0.0714286,0,0.0384615,0,0.485294,0,0,0.25,0,0.5,0,0.125,0,0,0,0.0434783,0,0,0,0,0.25,0,0.5,0,0,0.25,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.0625,0.0625,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0
Poly(n-butylMethacrylate),0.214286,0,0.153846,0,0.242647,0,0.176471,0.125,0.5,0.5,0.157895,0.125,0,0,0,0.130435,0,0.5,0,0,0.75,0,0.25,0.0666667,0,0,0,0.666667,0,0.25,0,0,0.5,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666667,0,0,0.5,0,0.125,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
Poly[thio(p-phenylene)],0.107143,0.25,0.192308,0,1,0,0.235294,0.25,0,0,0.210526,0.25,0,0.25,0,0.173913,0,0,1,0,0,0,0,0.0666667,0.25,0.25,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Poly(dimethylItaconate),0.25,0,0.115385,0,0.554622,0,0.0588235,0.25,0.5,1,0.0526316,0,1,0,0,0.130435,0,0,0,0,0.5,0,1,0,0,0.125,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0.125,0,0,0.125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
Poly(1-butene),0,0,0,0,0,0,0,0.125,0,0,0.0526316,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0,0
poly(etherEtherKetone),0.642857,0.75,0.730769,0.222222,0.738408,0,0.764706,0.875,0,0,0.736842,0.75,0,0.75,0,0.73913,0,1,0,0,0,0,0.25,0.2,0.75,0.75,0.75,0,0,0,0.666667,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5,0,0,0.75,0.5,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Poly[oxy(p-phenylene)],0.107143,0.25,0.192308,0,0.717647,0,0.235294,0.25,0,0,0.210526,0.25,0,0.25,0,0.173913,0,0.5,0,0,0,0,0,0.0666667,0.25,0.25,0.25,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.25,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Poly(isobutylMethacrylate),0.214286,0,0.115385,0,0.242647,0,0.117647,0.125,0.5,0.5,0.105263,0.125,0,0,0,0.0869565,0,0.5,0,0,1,0,0.25,0,0,0,0,0.666667,0,0.25,0,0,0.5,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.0625,0,0.5,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
