CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_ex_C4,na_ex_Cl1,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_3_1,C4_3_O2_2_1,C4_3_S2_2_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_O2_2_1,link_edge_C4_3_S2_2_1,LeafAC_C4_C4_1,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_O2_C4_2,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_3_C4_0_/_/_0,FC_4_O2_0_/_/_0,FC_5_C4_0_O2_1_/_2_/_0_0,FC_6_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_7_C4_0_Cl1_1_/_1_/_0_0,FC_8_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_9_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_11_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_12_N3_0_/_/_0,FC_13_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_14_S2_0_/_/_0,FC_15_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_16_C4_0_C4_1_H1_2_H1_2_Cl1_2_C4_1_H1_2_H1_2_Cl1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_17_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_18_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_19_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_O2_2,CS_connecting_vertices_S2_2
Poly(1_4-butadiene),0,0,0.105263,0.285714,0.119565,0,0.214286,0,0,0,0.2,0,0,0.111111,0,0.117647,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(p-methoxy-o-chloroStyrene),0.388889,0.333333,0.315789,0,0.611957,0,0.214286,0.571429,0,0,0.333333,0.333333,0,0.333333,0,0.352941,0,0,0,0.166667,0.5,0.5,0,0.25,0.833333,0.166667,0,0,0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.5,0,0.333333,0.166667,0.166667,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(p-xylylene),0.222222,0.333333,0.315789,0.142857,0.298913,0,0.357143,0.285714,0,0,0.333333,0.333333,0,0.333333,0,0.352941,0,0,0,0,0,0,0.333333,0.25,0.666667,0.333333,0,0,0,0,0,0,0,0,0.333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(n-butylMethacrylate),0.333333,0,0.210526,0,0.203804,0,0.214286,0.142857,1,0.333333,0.2,0.166667,0,0,0,0.176471,0,0.2,0,0.5,0,0.5,0.166667,0,0,0,1,0.5,0,0,0.5,0,0.166667,0,0,0,0,0,1,0,0,0,0,0,0.666667,0,0,0.5,0,0.333333,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,1,0,0
Poly[thio(p-phenylene)],0.166667,0.333333,0.263158,0,0.839921,0,0.285714,0.285714,0,0,0.266667,0.333333,0,0.333333,0,0.235294,0,0,1,0,0,0,0.166667,0.25,0.333333,0.333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.333333,0,0.333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
EthylCellulose,0.722222,0.333333,0.473684,0,0.267559,0,0.357143,0.714286,0,1,0.133333,0.833333,0,0,0,0.235294,0,1,0,1,0,0,0,0,0.166667,0,0,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0.416667,0.166667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Poly(1-butene),0,0,0,0,0,0,0,0.142857,0,0,0.0666667,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0
Poly(beta-vinylNaphthalene),0.444444,0.666667,0.526316,0,0.380435,0,0.5,0.571429,0,0,0.466667,0.666667,0,0.555556,0,0.588235,0,0,0,0,0,0,0.333333,0.5,0.833333,0.5,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.666667,0.166667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(methylAlpha-chloroacrylate),0.166667,0,0.0526316,0,0.875,0,0,0.142857,1,0.333333,0,0.166667,0,0,0,0.0588235,0,0,0,0.166667,0.5,1,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.5,0.5,0,0.166667,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(alpha-methylStyrene),0.277778,0.333333,0.315789,0,0.251716,0,0.357143,0.142857,1,0,0.333333,0.333333,0,0.333333,0,0.352941,0,0,0,0.166667,0,0,0.333333,0.5,0.166667,0.166667,1,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333,0,0,0,0.416667,0.166667,0.166667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(etherEtherKetone),1,1,1,0.571429,0.620205,0,0.928571,1,0,0,0.933333,1,0,1,0,1,0,0.4,0,0,0,0.5,0.5,0.75,1,1,0,0,0.5,0,0,0,0.666667,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.5,1,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Poly(cyclohexylMethacrylate),0.444444,0.333333,0.421053,0,0.217391,0,0.428571,0.285714,1,0,0.466667,0.333333,0,0,0,0.411765,0,0.2,0,0.166667,0,0.5,0.666667,0,0.333333,0,1,0,0,0,0.5,0,0.333333,0,0,0,0,0,1,0,0,0,0,0,0.333333,0,0,0.5,0.0833333,1,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(isobutylMethacrylate),0.333333,0,0.157895,0,0.203804,0,0.142857,0.142857,1,0.333333,0.133333,0.166667,0,0,0,0.117647,0,0.2,0,0.666667,0,0.5,0,0,0,0,1,0.5,0,0,0.5,0,0.166667,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0,0.166667,0,0.5,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(alpha-vinylNaphthalene),0.444444,0.666667,0.526316,0,0.380435,0,0.5,0.571429,0,0,0.466667,0.666667,0,0.555556,0,0.588235,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.666667,0.166667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(m-chloroStyrene),0.277778,0.333333,0.315789,0,0.649457,0,0.285714,0.428571,0,0,0.333333,0.333333,0,0.333333,0,0.352941,0,0,0,0,0.5,0,0.166667,0.25,0.666667,0.333333,0,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.416667,0.166667,0.166667,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly[oxy(2_6-diphenyl-1_4-phenylene)],0.833333,1,0.894737,0,0.52244,0,0.857143,0.857143,0,0,0.8,1,0,1,0,0.941176,0,0.2,0,0,0,0,0.666667,1,0.666667,0.666667,0,0,0.75,1,0,0,0.333333,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Poly[oxy(2_6-dimethyl-1_4-phenylene)],0.277778,0.333333,0.263158,0,0.390026,0,0.142857,0.571429,0,0,0.266667,0.333333,0,0.333333,0,0.235294,0,0.2,0,0.333333,0,0,0,0,0.333333,0.333333,0,0,0.25,1,0,0,0.333333,0,0,0,0,0,0,0,0,0,0.5,0,0.666667,0,0,0,0.166667,0,0.333333,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Polyisobutylene,0,0,0,0,0,0,0,0,1,0,0.0666667,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.666667,0,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,0
Poly(chloro-p-xylylene),0.277778,0.333333,0.315789,0.142857,0.649457,0,0.285714,0.428571,0,0,0.333333,0.333333,0,0.333333,0,0.352941,0,0,0,0,0.5,0,0.166667,0.25,0.833333,0.166667,0,0,0,1,0,0,0,0,0.333333,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.25,0.333333,0.333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(vinylCyclohexane),0.222222,0.333333,0.315789,0,0.0543478,0,0.357143,0.285714,0,0,0.333333,0.333333,0,0,0,0.352941,0,0,0,0,0,0,0.666667,0,0.666667,0,0,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.166667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(N-vinylCarbazole),0.611111,1,0.684211,0,0.449415,0,0.571429,0.857143,0,0,0.533333,1,0,0.666667,0,0.705882,1,0,0,0,0,0,0.5,0.75,0.666667,0.333333,0,0,0.5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.75,0.166667,0.666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(vinylAcetate),0.111111,0,0.0526316,0,0.407609,0,0.0714286,0.142857,0,0.333333,0,0.166667,0,0,0,0,0,0.2,0,0.333333,0,0.5,0,0,0.333333,0,0,0,0,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,0,0.333333,0,0,0.5,0.0833333,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0
Polyisoprene,0.0555556,0,0.105263,0.285714,0.0919732,0,0.142857,0.142857,0,0,0.2,0,0,0.111111,0,0.117647,0,0,0,0.166667,0,0,0.333333,0,0.166667,0.166667,0,0,0,0,0,0,0,0,0.666667,0,0.5,1,0,0,0,0,0,0,0.333333,0,0,0,0.0833333,0.333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(oxy-2_2-dichloromethyltrimethylene),0.222222,0,0.105263,0.285714,0.816576,0,0.142857,0,1,0,0.2,0,0,0,0,0.0588235,0,0.2,0,0.333333,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.333333,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,1,0
Poly(3_4-dichlorostyrene),0.333333,0.333333,0.315789,0,1,0,0.214286,0.571429,0,0,0.333333,0.333333,0,0.333333,0,0.352941,0,0,0,0,1,0,0,0.25,0.833333,0.166667,0,0,0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.333333,0.166667,0.166667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(o-methylStyrene),0.277778,0.333333,0.315789,0,0.251716,0,0.285714,0.428571,0,0,0.333333,0.333333,0,0.333333,0,0.352941,0,0,0,0.166667,0,0,0.166667,0.5,0.666667,0,0,0,0.25,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333,0,0,0,0.416667,0.166667,0.166667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Polystyrene,0.222222,0.333333,0.315789,0,0.298913,0,0.357143,0.285714,0,0,0.333333,0.333333,0,0.333333,0,0.352941,0,0,0,0,0,0,0.333333,0.5,0.5,0.166667,0,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.166667,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(ethylAlpha-chloroacrylate),0.222222,0,0.105263,0,0.7,0,0.0714286,0.142857,1,0.333333,0.0666667,0.166667,0,0,0,0.0588235,0,0.2,0,0.333333,0.5,0.5,0,0,0,0,1,0,0,0,0.5,0,0.166667,0,0,0,0,0,1,0,0,0,0,0,0.333333,0,0.5,0.5,0,0.166667,0,0,0.5,0,0.5,0.333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(tetramethyleneTerephthalate),0.666667,0.333333,0.631579,1,0.520186,0,0.642857,0.571429,0,0,0.733333,0.333333,0,0.333333,0,0.588235,0,0.4,0,0,0,1,0.666667,0.25,0.333333,0.333333,0,1,0.5,0,0,0,0.333333,0,1,0,0,0,0,1,1,0,0.5,0,0,0,0,1,0.333333,0.666667,0.333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Poly(methylMethacrylate),0.166667,0,0.0526316,0,0.326087,0,0,0.142857,1,0.333333,0,0.166667,0,0,0,0.0588235,0,0,0,0.333333,0,1,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0.333333,1,0,0.5,0,0.166667,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(p-hydroxybenzoate),0.277778,0.333333,0.315789,0.142857,0.744147,0,0.285714,0.428571,0,0,0.333333,0.333333,0,0.333333,0,0.294118,0,0.2,0,0,0,0.5,0.166667,0.25,0.333333,0.333333,0,0,0.25,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0.333333,0,0.333333,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Poly[1_1-ethaneBis(4-phenyl)carbonate],0.777778,0.666667,0.736842,0.571429,0.543478,0,0.642857,0.857143,0,0,0.733333,0.666667,0,0.666667,0,0.705882,0,0.4,0,0.166667,0,0.5,0.333333,0.5,0.666667,0.666667,0,0,0.5,0,0,0,0.666667,0,0,0,0,0,0,0,1,0,1,0,0.333333,0,0,0.5,0.666667,0,0.666667,1,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
Poly[1_1-cyclohexaneBis(4-phenyl)carbonate],1,1,1,0.571429,0.4375,0,1,0.714286,1,0,1,0.666667,1,0.666667,0,1,0,0.4,0,0,0,0.5,1,0.5,0.666667,0.666667,1,0,0,0,1,0,0.666667,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.5,0.666667,0.833333,0.833333,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Poly(ethyleneTerephthalate),0.555556,0.333333,0.526316,0.714286,0.662055,0,0.5,0.571429,0,0,0.6,0.333333,0,0.333333,0,0.470588,0,0.4,0,0,0,1,0.333333,0.25,0.333333,0.333333,0,1,0.5,0,0,0,0.333333,0,0.333333,0,0,0,0,1,1,0,0.5,0,0,0,0,1,0.333333,0.333333,0.333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Poly(p-chloroStyrene),0.277778,0.333333,0.315789,0,0.649457,0,0.285714,0.428571,0,0,0.333333,0.333333,0,0.333333,0,0.352941,0,0,0,0,0.5,0,0.166667,0.25,0.666667,0.333333,0,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.416667,0.166667,0.166667,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(4-methyl-1-pentene),0.111111,0,0.0526316,0,0,0,0.0714286,0.142857,0,0.333333,0,0.166667,0,0,0,0.0588235,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666667,0,0,0,0.0833333,0.166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
