CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_C4,na_ex_Cl1,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_3_1,C4_2_O2_2_1,C4_2_S6_4_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_3_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_3_S6_4_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_O2_2_1,link_edge_C4_2_S6_4_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_N3_3_1,link_edge_C4_3_O2_2_1,link_edge_C4_3_S2_2_1,link_edge_C4_3_S6_4_1,LeafAC_C4_C4_1,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_O2_C4_1,LeafAC_O2_C4_2,LeafAC_O2_S6_2,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_3_C4_0_/_/_0,FC_4_C4_0_O2_1_/_2_/_0_0,FC_5_O2_0_/_/_0,FC_6_N3_0_H1_1_/_1_/_0_0,FC_7_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_8_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_9_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_10_N3_0_/_/_0,FC_11_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_12_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_13_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_14_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_15_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_16_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_17_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_18_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_19_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_20_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_21_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0,FC_22_S2_0_/_/_0,FC_23_C4_0_Cl1_1_/_1_/_0_0,FC_24_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_O2_2,CS_connecting_vertices_S2_2,CS_connecting_vertices_S6_4
Poly(p-phenylene),0.0487805,0.142857,0.108108,0,0.569412,0,0.157895,0.111111,0,0,0.125,0.142857,0,0.2,0,0.121212,0,0,0,0,0,0,0,0.0714286,0.25,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.222222,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poly(1_4-butadiene),0,0,0.0540541,0.157895,0.142353,0,0.157895,0,0,0,0.125,0,0,0.0666667,0,0.0606061,0,0,0,0,0,0,0,0.214286,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Polyisobutylene,0,0,0,0.0526316,0,0,0,0,0.5,0,0.0416667,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0
Poly(vinylAcetate),0.0487805,0,0.027027,0.0526316,0.485294,0,0.0526316,0.0555556,0,0.5,0,0.0714286,0,0,0,0,0,0.5,0,0,0.333333,0,0.25,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.25,0,0.0555556,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Polyisoprene,0.0243902,0,0.0540541,0.157895,0.109502,0,0.105263,0.0555556,0,0,0.125,0,0,0.0666667,0,0.0606061,0,0,0,0,0.166667,0,0,0.142857,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.0555556,0.125,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Poly[oxy(p-phenylene)],0.0731707,0.142857,0.135135,0.0526316,0.717647,0,0.210526,0.111111,0,0,0.166667,0.142857,0,0.2,0,0.121212,0,0.5,0,0,0,0,0,0.0714286,0.25,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.222222,0,0.166667,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0
Poly[thio(p-phenylene)],0.0731707,0.142857,0.135135,0.0526316,1,0,0.210526,0.111111,0,0,0.166667,0.142857,0,0.2,0,0.121212,0,0,1,0,0,0,0,0.0714286,0.25,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.222222,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,1,0
Poly(methacrylicAcid),0.0487805,0,0,0.0526316,0.485294,0,0,0,0.5,0,0.0416667,0,0,0,0,0,0,0,0,0,0.333333,0,0.5,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.5,0.25,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,1,0,0,0,0
Poly(methylAcrylate),0.0487805,0,0.027027,0.0526316,0.485294,0,0,0.111111,0,0.5,0,0.0714286,0,0,0,0.030303,0,0,0,0,0.166667,0,0.5,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0.0555556,0.0625,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
Poly(p-hydroxybenzoate),0.121951,0.142857,0.162162,0.105263,0.885973,0,0.210526,0.166667,0,0,0.208333,0.142857,0,0.2,0,0.151515,0,0.5,0,0,0,0,0.25,0.0714286,0.25,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0.222222,0,0.166667,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0
