CID,a
Perfluoropolymer1,0.058876811594202896
Perfluoropolymer2,0.05661231884057971
Perfluoropolymer3,0.11775362318840579
PhenoxyResin,0.11005434782608696
Poly(2_3_4_5_6-pentafluoroStyrene),0.11231884057971014
Poly(2_4-dichloroStyrene),0.125
Poly(2_4-dimethylStyrene),0.11548913043478261
Poly(2_5-dichloroStyrene),0.11911231884057971
Poly(2_5-difluoroStyrene),0.1105072463768116
Poly(2_5-dimethylStyrene),0.12952898550724637
Poly(2_5-dimethyl-p-xylylene),0.11005434782608696
Poly(2-fluoro-5-methylStyrene),0.11503623188405797
Poly(2-methyl-4-chloroStyrene),0.13043478260869565
Poly(2-methyl-5-t-butylStyrene),0.10416666666666667
Poly(3_4-dichlorostyrene),0.12273550724637682
Poly(3_4-dimethylStyrene),0.11503623188405797
Poly(3_5-dimethylStyrene),0.1118659420289855
Poly(3-cyclohexyl-1-propene),0.09873188405797101
Poly(3-cyclopentyl-1-propene),0.09193840579710146
Poly(3-fluoro-4-chloroStyrene),0.12001811594202899
Poly(3-methyl-4-chloroStyrene),0.11639492753623189
Poly(3-phenoxypropyleneOxide),0.08378623188405797
Poly(3-phenyl-1-propene),0.09193840579710146
Poly(3-phenylquinoxaline-2_7-diyl-3-phenylquinoxaline-7_2-diyl-1_4-phenylene),0.23324275362318841
Poly(4-cyclohexyl-1-butene),0.08288043478260869
Poly(4-methoxy-2-methylStyrene),0.10552536231884058
Poly(bisphenol-ATerephthalate),0.15760869565217392
Poly(bromo-p-xylylene),0.10099637681159421
Poly(chloro-p-xylylene),0.10099637681159421
Poly(cyano-p-xylylene),0.10552536231884058
Poly(cyclohexylMethacrylate),0.1118659420289855
Poly(cyclohexylmethylsilane),0.1068840579710145
Poly(ethyleneIsophthalate),0.08786231884057971
Poly(ethyleneOxybenzoate),0.10190217391304347
Poly(ethyleneTerephthalate),0.0973731884057971
Poly(ethylene-1_4-naphthalenedicarboxylate),0.09375
Poly(ethylene-1_5-naphthalenedicarboxylate),0.09692028985507246
Poly(ethylene-2_6-naphthalenedicarboxylate),0.12092391304347826
Poly(ethyl-p-xylylene),0.07608695652173914
Poly(hexamethyleneIsophthalamide),0.12364130434782608
Poly(m-chloroStyrene),0.10552536231884058
Poly(methyl-p-xylylene),0.08967391304347826
Poly(m-hydroxymethylStyrene),0.1213768115942029
Poly(m-methylStyrene),0.10869565217391304
Poly(m-phenyleneIsophthalamide),0.18795289855072464
Poly(m-phenyleneIsophthalate),0.1272644927536232
Poly(m-xylyleneAdipamide),0.10552536231884058
Poly(N-vinylCarbazole),0.13269927536231885
