CID,a
34,14.31
176,4.76
177,13.57
222,9.25
242,4.204
243,4.204
262,14.9
264,4.82
379,4.895
674,10.732
700,9.50
702,15.9
712,13.27
757,3.83
760,3.30
785,10.85
787,5.94
878,10.33
904,0.50
938,4.75
949,5.07
965,5.02
980,7.15
996,9.99
1001,9.83
1030,14.8
1065,8.56
1118,1.92
1183,7.4
1480,2.88
1489,4.95
1567,9.72
2244,3.49
2519,14.0
3314,10.19
3337,9.6
3931,4.77
4033,6.43
4060,8.51
4101,4.89
4436,10.35
4454,12.9
4680,8.07
4764,9.7
4792,12.6
5032,9.65
5143,1.31
5240,3.18
5251,4.76
5304,8.26
5503,3.6
5798,5.48
5935,6.43
5953,8.56
5976,7.21
5979,8.26
6081,9.2
6082,9.2
6084,8.07
6115,4.6
6329,10.657
6343,10.61
6385,10.68
6387,11.22
6417,5.03
6558,10.68
6581,4.25
6585,8.20
6619,6.91
6893,4.70
6896,3.95
6899,6.79
6914,6.23
6947,7.230
7005,9.34
7013,4.93
7240,2.661
7242,4.44
7249,10.36
7250,4.89
7251,3.85
7259,4.53
7267,10.41
7365,8.48
7423,2.466
7472,6.59
7515,4.848
7618,7.76
7628,9.24
7670,5.12
7732,5.36
7771,10.60
7807,3.86
7811,6.82
7812,3.982
7813,5.10
7858,15.5
7896,15.1
7912,11.07
7930,6.66
7932,3.521
7933,9.12
7934,4.69
7935,4.98
7948,10.19
7970,5.63
7991,4.842
8019,14.8
8094,4.4
8119,11.07
8158,4.95
8378,12.9
8471,10.78
8497,3.46
8518,0.65
8640,3.92
8663,9.51
8842,17.11
9294,9.65
9411,9.30
9492,5.21
9649,8.28
9731,4.65
9740,2.45
10413,4.72
10430,4.77
10687,10.54
10698,10.88
11079,10.35
11312,3.69
11335,10.59
11872,4.23
12460,7.3
13032,5.30
15546,3.38
15797,10.16
16907,8.08
17869,8.44
19402,3.40
19499,4.817
21225,10.35
27924,12.6
28003,9.53
30487,7.3
31070,10.50
31236,15.10
39965,2.2
40619,2.44
61012,8.96
64142,8.98
64143,8.98
71288,9.65
82332,10.35
88899,3.95
94175,8.56
104775,4.82
114708,12.5
122634,12.6
220520,8.28
290670,12.5
441071,8.26
441074,8.56
442021,8.28
442070,12.5
445639,5.02
456194,12.9
637090,4.817
637517,5.02
637552,8.56
643460,4.76
643792,4.817
667449,8.56
689043,4.62
1549236,4.76
1549237,4.76
3032576,8.56
3036746,8.56
3037032,4.72
3417419,7.81
5257909,2.88
5280450,4.77
5282457,4.77
5282797,4.77
5284371,10.60
5288826,8.21
5317112,8.56
5359318,9.65
5460332,4.77
5484444,8.56
6604605,8.56
10448938,8.56
11859396,8.26
16051935,8.21
16212360,2.72
16213494,9.65
16760122,12.5
18000154,8.26
22833295,8.26
22833501,12.6
23700088,4.95
24096961,8.56
24832117,12.5
57333099,9.2
57501501,12.5
69897601,8.28
134686830,12.9
134688660,12.6
134692532,12.5
135474890,4.98
135492483,4.98
135741327,4.98
137796001,12.5
